Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.5009,0.0,0.0
2015-12-01,,,,,0.0275,1.5284,0.0,0.0
2015-12-02,,,,,0.0357,1.4927,0.0,0.0
2015-12-03,,,,,0.0158,1.5085,0.0,0.0
2015-12-04,,,,,0.0237,1.4848,0.0,0.0
2015-12-07,,,,,0.0387,1.4461,0.0,0.0
2015-12-08,,,,,0.0078,1.4539,0.0,0.0
2015-12-09,,,,,0.0068,1.4607,0.0,0.0
2015-12-10,,,,,0.0054,1.4661,0.0,0.0
2015-12-11,,,,,0.0331,1.433,0.0,0.0
2015-12-14,,,,,0.0246,1.4084,0.0,0.0
2015-12-15,,,,,0.0092,1.3992,0.0,0.0
2015-12-16,,,,,0.0191,1.3801,0.0,0.0
2015-12-17,,,,,0.0058,1.3743,0.0,0.0
2015-12-18,,,,,0.0126,1.3617,0.0,0.0
2015-12-21,,,,,0.015,1.3467,0.0,0.0
2015-12-22,,,,,0.0121,1.3346,0.0,0.0
2015-12-23,,,,,0.0266,1.3612,0.0,0.0
2015-12-24,,,,,0.0175,1.3787,0.0,0.0
2015-12-28,,,,,0.0271,1.3516,0.0,0.0
2015-12-29,,,,,0.0192,1.3708,0.0,0.0
2015-12-30,,,,,0.0221,1.3487,0.0,0.0
2015-12-31,,,,,0.0123,1.361,0.0,0.0
2016-01-04,,,,,0.0031,1.3641,0.0,0.0
2016-01-05,,,,,0.0068,1.3573,0.0,0.0
2016-01-06,,,,,0.0304,1.3269,0.0,0.0
2016-01-07,,,,,0.0294,1.2975,0.0,0.0
2016-01-08,,,,,0.0037,1.2938,0.0,0.0
2016-01-11,,,,,0.039,1.2548,0.0,0.0
2016-01-12,,,,,0.0295,1.2253,0.0,0.0
2016-01-13,,,,,0.0271,1.1982,0.0,0.0
2016-01-14,,,,,0.0077,1.2059,0.0,0.0
2016-01-15,,,,,0.0519,1.154,0.0,0.0
2016-01-19,,,,,0.0198,1.1342,0.0,0.0
2016-01-20,,,,,0.0102,1.124,0.0,0.0
2016-01-21,,,,,0.0206,1.1446,0.0,0.0
2016-01-22,,,,,0.0586,1.2032,0.0,0.0
2016-01-25,,,,,0.0302,1.173,0.0,0.0
2016-01-26,,,,,0.0249,1.1979,0.0,0.0
2016-01-27,,,,,0.0182,1.2161,0.0,0.0
2016-01-28,,,,,0.0182,1.2343,0.0,0.0
2016-01-29,,,,,0.0314,1.2657,0.0,0.0
2016-02-01,,,,,0.047,1.2187,0.0,0.0
2016-02-02,,,,,0.032,1.1867,0.0,0.0
2016-02-03,,,,,0.033,1.2197,0.0,0.0
2016-02-04,,,,,0.002,1.2217,0.0,0.0
2016-02-05,,,,,0.0115,1.2102,0.0,0.0
2016-02-08,,,,,0.0076,1.2026,0.0,0.0
2016-02-09,,,,,0.0543,1.1483,0.0,0.0
2016-02-10,,,,,0.0014,1.1469,0.0,0.0
2016-02-11,,,,,0.0025,1.1494,0.0,0.0
2016-02-12,,,,,0.064,1.2134,0.0,0.0
2016-02-16,,,,,0.0344,1.179,0.0,0.0
2016-02-17,,,,,0.0365,1.2155,0.0,0.0
2016-02-18,,,,,0.0111,1.2044,0.0,0.0
2016-02-19,,,,,0.0175,1.1869,0.0,0.0
2016-02-22,,,,,0.0291,1.216,0.0,0.0
2016-02-23,,,,,0.0259,1.1901,0.0,0.0
2016-02-24,,,,,0.0277,1.2178,0.0,0.0
2016-02-25,,,,,0.0081,1.2259,0.0,0.0
2016-02-26,,,,,0.0135,1.2124,0.0,0.0
2016-02-29,,,,,0.0199,1.2323,0.0,0.0
2016-03-01,,,,,0.0026,1.2297,0.0,0.0
2016-03-02,,,,,0.0056,1.2353,0.0,0.0
2016-03-03,,,,,0.0005,1.2358,0.0,0.0
2016-03-04,,,,,0.0241,1.2599,0.0,0.0
2016-03-07,,,,,0.0405,1.3004,0.0,0.0
2016-03-08,,,,,0.0137,1.2867,0.0,0.0
2016-03-09,,,,,0.0345,1.3212,0.0,0.0
2016-03-10,,,,,0.0142,1.307,0.0,0.0
2016-03-11,,,,,0.0093,1.3163,0.0,0.0
2016-03-14,,,,,0.0222,1.2941,0.0,0.0
2016-03-15,,,,,0.0173,1.2768,0.0,0.0
2016-03-16,,,,,0.0311,1.3079,0.0,0.0
2016-03-17,,,,,0.0141,1.322,0.0,0.0
2016-03-18,,,,,0.0109,1.3111,0.0,0.0
2016-03-21,,,,,0.0172,1.3283,0.0,0.0
2016-03-22,,,,,0.0115,1.3398,0.0,0.0
2016-03-23,,,,,0.0349,1.3049,0.0,0.0
2016-03-24,,,,,0.0159,1.3208,0.0,0.0
2016-03-28,,,,,0.0021,1.3187,0.0,0.0
2016-03-29,,,,,0.0103,1.3084,0.0,0.0
2016-03-30,,,,,0.0015,1.3099,0.0,0.0
2016-03-31,,,,,0.0004,1.3095,0.0,0.0
2016-04-01,,,,,0.0394,1.2701,0.0,0.0
2016-04-04,,,,,0.0265,1.2436,0.0,0.0
2016-04-05,,,,,0.0035,1.2471,0.0,0.0
2016-04-06,,,,,0.0376,1.2847,0.0,0.0
2016-04-07,,,,,0.0144,1.2703,0.0,0.0
2016-04-08,,,,,0.0519,1.3222,0.0,0.0
2016-04-11,,,,,0.0258,1.348,0.0,0.0
2016-04-12,,,,,0.0211,1.3691,0.0,0.0
2016-04-13,,,,,0.0002,1.3689,0.0,0.0
2016-04-14,,,,,0.0047,1.3642,0.0,0.0
2016-04-15,,,,,0.0294,1.3348,0.0,0.0
2016-04-18,,,,,0.0112,1.3236,0.0,0.0
2016-04-19,,,,,0.0259,1.3495,0.0,0.0
2016-04-20,,,,,0.039,1.3885,0.0,0.0
2016-04-21,,,,,0.0198,1.3687,0.0,0.0
2016-04-22,,,,,0.0156,1.3843,0.0,0.0
2016-04-25,,,,,0.007,1.3773,0.0,0.0
2016-04-26,,,,,0.0277,1.405,0.0,0.0
2016-04-27,,,,,0.0168,1.4218,0.0,0.0
2016-04-28,,,,,0.0141,1.4359,0.0,0.0
2016-04-29,,,,,0.0102,1.4257,0.0,0.0
2016-05-02,,,,,0.0227,1.403,0.0,0.0
2016-05-03,,,,,0.0216,1.3814,0.0,0.0
2016-05-04,,,,,0.0011,1.3803,0.0,0.0
2016-05-05,,,,,0.0049,1.3852,0.0,0.0
2016-05-06,,,,,0.0226,1.4078,0.0,0.0
2016-05-09,,,,,0.0289,1.3789,0.0,0.0
2016-05-10,,,,,0.0389,1.4178,0.0,0.0
2016-05-11,,,,,0.0385,1.4563,0.0,0.0
2016-05-12,,,,,0.0061,1.4502,0.0,0.0
2016-05-13,,,,,0.0187,1.4315,0.0,0.0
2016-05-16,,,,,0.0112,1.4427,0.0,0.0
2016-05-17,,,,,0.0156,1.4583,0.0,0.0
2016-05-18,,,,,0.0091,1.4674,0.0,0.0
2016-05-19,,,,,0.0013,1.4661,0.0,0.0
2016-05-20,,,,,0.0056,1.4605,0.0,0.0
2016-05-23,,,,,0.0014,1.4591,0.0,0.0
2016-05-24,,,,,0.0032,1.4623,0.0,0.0
2016-05-25,,,,,0.0124,1.4747,0.0,0.0
2016-05-26,,,,,0.0033,1.4714,0.0,0.0
2016-05-27,,,,,0.005,1.4764,0.0,0.0
2016-05-31,,,,,0.0131,1.4633,0.0,0.0
2016-06-01,,,,,0.0042,1.4675,0.0,0.0
2016-06-02,,,,,0.0044,1.4719,0.0,0.0
2016-06-03,,,,,0.0093,1.4626,0.0,0.0
2016-06-06,,,,,0.0169,1.4795,0.0,0.0
2016-06-07,,,,,0.0215,1.501,0.0,0.0
2016-06-08,,,,,0.0262,1.5272,0.0,0.0
2016-06-09,,,,,0.0098,1.5174,0.0,0.0
2016-06-10,,,,,0.0266,1.4908,0.0,0.0
2016-06-13,,,,,0.007,1.4838,0.0,0.0
2016-06-14,,,,,0.01,1.4738,0.0,0.0
2016-06-15,,,,,0.0119,1.4619,0.0,0.0
2016-06-16,,,,,0.0331,1.4288,0.0,0.0
2016-06-17,,,,,0.0396,1.4684,0.0,0.0
2016-06-20,,,,,0.035,1.5034,0.0,0.0
2016-06-21,,,,,0.0008,1.5042,0.0,0.0
2016-06-22,,,,,0.0128,1.4914,0.0,0.0
2016-06-23,,,,,0.0264,1.5178,0.0,0.0
2016-06-24,,,,,0.0582,1.4596,0.0,0.0
2016-06-27,,,,,0.0229,1.4367,0.0,0.0
2016-06-28,,,,,0.0394,1.4761,0.0,0.0
2016-06-29,,,,,0.0488,1.5249,0.0,0.0
2016-06-30,,,,,0.0209,1.504,0.0,0.0
2016-07-01,,,,,0.0346,1.5386,0.0,0.0
2016-07-05,,,,,0.0452,1.4934,0.0,0.0
2016-07-06,,,,,0.0207,1.5141,0.0,0.0
2016-07-07,,,,,0.0426,1.4715,0.0,0.0
2016-07-08,,,,,0.0065,1.478,0.0,0.0
2016-07-11,,,,,0.0004,1.4776,0.0,0.0
2016-07-12,,,,,0.0407,1.5183,0.0,0.0
2016-07-13,,,,,0.0445,1.4738,0.0,0.0
2016-07-14,,,,,0.0149,1.4887,0.0,0.0
2016-07-15,,,,,0.0079,1.4808,0.0,0.0
2016-07-18,,,,,0.0227,1.4581,0.0,0.0
2016-07-19,,,,,0.01,1.4681,0.0,0.0
2016-07-20,,,,,0.0012,1.4693,0.0,0.0
2016-07-21,,,,,0.0176,1.4517,0.0,0.0
2016-07-22,,,,,0.0013,1.453,0.0,0.0
2016-07-25,,,,,0.0109,1.4421,0.0,0.0
2016-07-26,1.44,1.44,1.44,1.44,0.0024,1.4397,6.0,0.0
2016-07-27,,,,,0.0271,1.4126,0.0,6.0
2016-07-28,,,,,0.0269,1.3857,0.0,6.0
2016-07-29,,,,,0.0116,1.3973,0.0,6.0
2016-08-01,,,,,0.0252,1.3721,0.0,6.0
2016-08-02,,,,,0.0105,1.3616,0.0,6.0
2016-08-03,,,,,0.025,1.3866,0.0,6.0
2016-08-04,,,,,0.0105,1.3971,0.0,6.0
2016-08-05,,,,,0.0043,1.3928,0.0,6.0
2016-08-08,,,,,0.013,1.4058,0.0,6.0
2016-08-09,,,,,0.0017,1.4041,1.0,6.0
2016-08-10,,,,,0.0163,1.3878,0.0,7.0
2016-08-11,,,,,0.0408,1.4286,0.0,7.0
2016-08-12,,,,,0.0126,1.4412,0.0,7.0
2016-08-15,,,,,0.0263,1.4675,0.0,7.0
2016-08-16,,,,,0.0235,1.491,0.0,7.0
2016-08-17,,,,,0.0161,1.5071,0.0,7.0
2016-08-18,,,,,0.019,1.5261,0.0,7.0
2016-08-19,,,,,0.005,1.5311,0.0,7.0
2016-08-22,,,,,0.035,1.4961,0.0,7.0
2016-08-23,,,,,0.0168,1.5129,0.0,7.0
2016-08-24,,,,,0.0227,1.4902,0.0,7.0
2016-08-25,,,,,0.0084,1.4986,0.0,7.0
2016-08-26,,,,,0.0067,1.5053,0.0,7.0
2016-08-29,,,,,0.02,1.4853,0.0,7.0
2016-08-30,,,,,0.0172,1.4681,0.0,7.0
2016-08-31,,,,,0.0418,1.4263,0.0,7.0
2016-09-01,,,,,0.0306,1.3957,0.0,7.0
2016-09-02,,,,,0.0328,1.4285,0.0,7.0
2016-09-06,,,,,0.0172,1.4457,0.0,7.0
2016-09-07,,,,,0.018,1.4637,0.0,7.0
