Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-04-01,0.0,2.2909,2.2824,,,2.2824,0.0,0.0
2010-04-05,0.0,2.3223,2.3223,,,2.3223,0.0,0.0
2010-04-06,0.0,2.3336,2.3336,,,2.3336,0.0,0.0
2010-04-07,0.0,2.4129,2.4129,,,2.4129,0.0,0.0
2010-04-08,0.0,2.4331,2.4331,,,2.4331,0.0,0.0
2010-04-09,0.0,2.4353,2.4353,,,2.4353,0.0,0.0
2010-04-12,0.0,2.4394,2.4394,,,2.4394,0.0,0.0
2010-04-13,0.0,2.4362,2.4362,,,2.4362,0.0,0.0
2010-04-14,0.0,2.4645,2.4645,,,2.4645,0.0,0.0
2010-04-15,0.0,2.4781,2.4781,,,2.4781,0.0,0.0
2010-04-16,0.0,2.4456,2.4456,,,2.4456,0.0,0.0
2010-04-19,0.0,2.4166,2.4126,,,2.4126,0.0,0.0
2010-04-20,0.0,2.4298,2.4298,,,2.4298,0.0,0.0
2010-04-21,0.0,2.4483,2.4483,,,2.4483,0.0,0.0
2010-04-22,0.0,2.4579,2.4579,,,2.4579,0.0,0.0
2010-04-23,0.0,2.4925,2.4925,,,2.4925,0.0,0.0
2010-04-26,0.0,2.4856,2.4856,,,2.4856,0.0,0.0
2010-04-27,0.0,2.4696,2.4696,,,2.4696,0.0,0.0
2010-04-28,0.0,2.4776,2.4776,,,2.4776,0.0,0.0
2010-04-29,0.0,2.4971,2.4971,,,2.4971,0.0,0.0
2010-04-30,0.0,2.523,2.5226,,,2.5226,0.0,0.0
2010-05-03,0.0,2.5561,2.5561,,,2.5561,0.0,0.0
2010-05-04,0.0,2.4707,2.4707,,,2.4707,0.0,0.0
2010-05-05,0.0,2.4028,2.4028,,,2.4028,0.0,0.0
2010-05-06,0.0,2.3388,2.3388,,,2.3388,0.0,0.0
2010-05-07,0.0,2.3181,2.3181,,,2.3181,0.0,0.0
2010-05-10,0.0,2.3593,2.3593,,,2.3593,0.0,0.0
2010-05-11,0.0,2.3685,2.3685,,,2.3685,0.0,0.0
2010-05-12,0.0,2.381,2.381,,,2.381,0.0,0.0
2010-05-13,0.0,2.356,2.356,,,2.356,0.0,0.0
2010-05-14,0.0,2.2763,2.2763,,,2.2763,0.0,0.0
2010-05-17,0.0,2.2003,2.2003,,,2.2003,0.0,0.0
2010-05-18,0.0,2.1891,2.1891,,,2.1891,0.0,0.0
2010-05-19,0.0,2.1646,2.1646,,,2.1646,0.0,0.0
2010-05-20,0.0,2.1195,2.1195,,,2.1195,0.0,0.0
2010-05-21,0.0,2.1216,2.1216,,,2.1216,0.0,0.0
2010-05-24,0.0,2.1228,2.1215,,,2.1215,0.0,0.0
2010-05-25,0.0,2.0858,2.0858,,,2.0858,0.0,0.0
2010-05-26,0.0,2.1334,2.1334,,,2.1334,0.0,0.0
2010-05-27,0.0,2.2102,2.2102,,,2.2102,0.0,0.0
2010-05-28,0.0,2.2103,2.2103,,,2.2103,0.0,0.0
2010-06-01,0.0,2.1758,2.1758,,,2.1758,0.0,0.0
2010-06-02,0.0,2.2099,2.2099,,,2.2099,0.0,0.0
2010-06-03,0.0,2.2503,2.2503,,,2.2503,0.0,0.0
2010-06-04,0.0,2.1674,2.1674,,,2.1674,0.0,0.0
2010-06-07,0.0,2.1779,2.1779,,,2.1779,0.0,0.0
2010-06-08,0.0,2.1708,2.1698,,,2.1708,0.0,0.0
2010-06-09,0.0,2.2139,2.2139,,,2.2139,0.0,0.0
2010-06-10,0.0,2.2433,2.2433,,,2.2433,0.0,0.0
2010-06-11,0.0,2.224,2.224,,,2.224,0.0,0.0
2010-06-14,0.0,2.2363,2.2363,,,2.2363,0.0,0.0
2010-06-15,0.0,2.2638,2.2638,,,2.2638,0.0,0.0
2010-06-16,0.0,2.2834,2.2834,,,2.2834,0.0,0.0
2010-06-17,0.0,2.2893,2.2893,,,2.2893,0.0,0.0
2010-06-18,0.0,2.2841,2.2841,,,2.2841,0.0,0.0
2010-06-21,0.0,2.286,2.286,,,2.286,0.0,0.0
2010-06-22,0.0,2.2471,2.2471,,,2.2471,0.0,0.0
2010-06-23,0.0,2.2007,2.2007,,,2.2007,0.0,0.0
2010-06-24,0.0,2.204,2.204,,,2.204,0.0,0.0
2010-06-25,0.0,2.2489,2.2489,,,2.2489,0.0,0.0
2010-06-28,0.0,2.2337,2.2337,,,2.2337,0.0,0.0
2010-06-29,0.0,2.1791,2.1791,,,2.1791,0.0,0.0
2010-06-30,0.0,2.1683,2.1683,,,2.1683,0.0,0.0
2010-07-01,0.0,2.1082,2.1082,,,2.1082,0.0,0.0
2010-07-02,0.0,2.0861,2.0861,,,2.0861,0.0,0.0
2010-07-06,0.0,2.0865,2.0865,,,2.0865,0.0,0.0
2010-07-07,0.0,2.1387,2.1387,,,2.1387,0.0,0.0
2010-07-08,0.0,2.1715,2.1715,,,2.1715,0.0,0.0
2010-07-09,0.0,2.1822,2.1822,,,2.1822,0.0,0.0
2010-07-12,0.0,2.152,2.152,,,2.152,0.0,0.0
2010-07-13,0.0,2.2049,2.2049,,,2.2049,0.0,0.0
2010-07-14,0.0,2.1993,2.1993,,,2.1993,0.0,0.0
2010-07-15,0.0,2.1937,2.1937,,,2.1937,0.0,0.0
2010-07-16,0.0,2.1851,2.1851,,,2.1851,0.0,0.0
2010-07-19,0.0,2.1845,2.1845,,,2.1845,0.0,0.0
2010-07-20,0.0,2.1836,2.1836,,,2.1836,0.0,0.0
2010-07-21,0.0,2.1761,2.1761,,,2.1761,0.0,0.0
2010-07-22,0.0,2.2304,2.2302,,,2.2304,0.0,0.0
2010-07-23,0.0,2.2222,2.2222,,,2.2222,0.0,0.0
2010-07-26,0.0,2.2214,2.2214,,,2.2214,0.0,0.0
2010-07-27,0.0,2.1918,2.1918,,,2.1918,0.0,0.0
2010-07-28,0.0,2.1921,2.1921,,,2.1921,0.0,0.0
2010-07-29,0.0,2.2257,2.2257,,,2.2257,0.0,0.0
2010-07-30,0.0,2.241,2.241,,,2.241,0.0,0.0
2010-08-02,0.0,2.2903,2.2903,,,2.2903,0.0,0.0
2010-08-03,0.0,2.3156,2.3156,,,2.3156,0.0,0.0
2010-08-04,0.0,2.3171,2.3171,,,2.3171,0.0,0.0
2010-08-05,0.0,2.3068,2.3068,,,2.3068,0.0,0.0
2010-08-06,0.0,2.2769,2.2769,,,2.2769,0.0,0.0
2010-08-09,0.0,2.2948,2.2948,,,2.2948,0.0,0.0
2010-08-10,0.0,2.2732,2.2732,,,2.2732,0.0,0.0
2010-08-11,0.0,2.2187,2.2187,,,2.2187,0.0,0.0
2010-08-12,0.0,2.1534,2.1534,,,2.1534,0.0,0.0
2010-08-13,0.0,2.1421,2.1421,,,2.1421,0.0,0.0
2010-08-16,0.0,2.1457,2.1457,,,2.1457,0.0,0.0
