Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-04-01,,,,,0.0,2.406,0.0,0.0
2014-04-02,,,,,0.0149,2.3911,0.0,0.0
2014-04-03,,,,,0.0325,2.4236,0.0,0.0
2014-04-04,,,,,0.013,2.4366,0.0,0.0
2014-04-07,,,,,0.0026,2.434,0.0,0.0
2014-04-08,,,,,0.0343,2.4683,0.0,0.0
2014-04-09,,,,,0.008,2.4763,0.0,0.0
2014-04-10,,,,,0.0149,2.4614,0.0,0.0
2014-04-11,,,,,0.0056,2.4558,0.0,0.0
2014-04-14,,,,,0.0304,2.4862,0.0,0.0
2014-04-15,,,,,0.0119,2.4981,0.0,0.0
2014-04-16,,,,,0.0121,2.486,0.0,0.0
2014-04-17,,,,,0.0069,2.4791,0.0,0.0
2014-04-21,,,,,0.0027,2.4764,0.0,0.0
2014-04-22,,,,,0.0084,2.468,0.0,0.0
2014-04-23,,,,,0.0008,2.4672,0.0,0.0
2014-04-24,,,,,0.0136,2.4808,0.0,0.0
2014-04-25,,,,,0.0185,2.4623,0.0,0.0
2014-04-28,,,,,0.0208,2.4415,0.0,0.0
2014-04-29,,,,,0.0198,2.4613,0.0,0.0
2014-04-30,,,,,0.0194,2.4419,0.0,0.0
2014-05-01,,,,,0.0025,2.4394,0.0,0.0
2014-05-02,,,,,0.0138,2.4532,0.0,0.0
2014-05-05,,,,,0.0154,2.4378,0.0,0.0
2014-05-06,,,,,0.0146,2.4232,0.0,0.0
2014-05-07,,,,,0.0379,2.4611,0.0,0.0
2014-05-08,,,,,0.0027,2.4584,0.0,0.0
2014-05-09,,,,,0.0113,2.4471,0.0,0.0
2014-05-12,,,,,0.0159,2.463,0.0,0.0
2014-05-13,,,,,0.0122,2.4752,0.0,0.0
2014-05-14,,,,,0.0112,2.4864,0.0,0.0
2014-05-15,,,,,0.0024,2.484,0.0,0.0
2014-05-16,,,,,0.0025,2.4865,0.0,0.0
2014-05-19,,,,,0.0065,2.48,0.0,0.0
2014-05-20,,,,,0.0118,2.4918,0.0,0.0
2014-05-21,,,,,0.0192,2.511,0.0,0.0
2014-05-22,,,,,0.0035,2.5075,0.0,0.0
2014-05-23,,,,,0.0143,2.5218,0.0,0.0
2014-05-27,,,,,0.0104,2.5114,0.0,0.0
2014-05-28,,,,,0.0041,2.5073,0.0,0.0
2014-05-29,,,,,0.0024,2.5097,0.0,0.0
2014-05-30,,,,,0.0177,2.492,0.0,0.0
2014-06-02,,,,,0.0139,2.4781,0.0,0.0
2014-06-03,,,,,0.0005,2.4776,0.0,0.0
2014-06-04,,,,,0.0086,2.469,0.0,0.0
2014-06-05,,,,,0.0883,2.5573,0.0,0.0
2014-06-06,,,,,0.0106,2.5467,0.0,0.0
2014-06-09,,,,,0.0107,2.5574,0.0,0.0
2014-06-10,,,,,0.0045,2.5529,0.0,0.0
2014-06-11,,,,,0.0056,2.5585,0.0,0.0
2014-06-12,,,,,0.0446,2.6031,0.0,0.0
