Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-12,1.8705,1.8705,1.8705,,,1.8705,0.0,0.0
2007-02-13,1.8301,1.8301,1.8301,,,1.8301,0.0,0.0
2007-02-14,1.7817,1.7817,1.7817,,,1.7817,0.0,0.0
2007-02-15,1.7719,1.7719,1.7719,,,1.7719,0.0,0.0
2007-02-16,1.7958,1.7958,1.7958,,,1.7958,0.0,0.0
2007-02-19,1.7958,1.7958,1.7958,,,1.7958,0.0,0.0
2007-02-20,1.7736,1.7736,1.7736,,,1.7736,0.0,0.0
2007-02-21,1.8072,1.8072,1.8072,,,1.8072,0.0,0.0
2007-02-22,1.8458,1.8458,1.8458,,,1.8458,0.0,0.0
2007-02-23,1.8761,1.8761,1.8761,,,1.8761,0.0,0.0
2007-02-26,1.8787,1.8787,1.8787,,,1.8787,0.0,0.0
2007-02-27,1.8751,1.8751,1.8751,,,1.8751,0.0,0.0
2007-02-28,1.8953,1.8953,1.8953,,,1.8953,0.0,0.0
2007-03-01,1.8871,1.8871,1.8871,,,1.8871,0.0,0.0
2007-03-02,1.8573,1.8573,1.8573,,,1.8573,0.0,0.0
2007-03-05,1.8247,1.8247,1.8247,,,1.8247,0.0,0.0
2007-03-06,1.8518,1.8518,1.8518,,,1.8518,0.0,0.0
2007-03-07,1.882,1.882,1.882,,,1.882,0.0,0.0
2007-03-08,1.8813,1.8813,1.8813,,,1.8813,0.0,0.0
2007-03-09,1.8521,1.8521,1.8521,,,1.8521,0.0,0.0
2007-03-12,1.833,1.833,1.833,,,1.833,0.0,0.0
2007-03-13,1.8368,1.8368,1.8368,,,1.8368,0.0,0.0
2007-03-14,1.8353,1.8353,1.8353,,,1.8353,0.0,0.0
2007-03-15,1.8216,1.8216,1.8216,,,1.8216,0.0,0.0
2007-03-16,1.8361,1.8361,1.8361,,,1.8361,0.0,0.0
2007-03-19,1.8411,1.8411,1.8411,,,1.8411,0.0,0.0
2007-03-20,1.8282,1.8282,1.8282,,,1.8282,0.0,0.0
2007-03-21,1.8323,1.8323,1.8323,,,1.8323,0.0,0.0
2007-03-22,1.8765,1.8765,1.8765,,,1.8765,0.0,0.0
2007-03-23,1.8949,1.8949,1.8949,,,1.8949,0.0,0.0
2007-03-26,1.9307,1.9307,1.9307,,,1.9307,0.0,0.0
2007-03-27,1.9309,1.9309,1.9309,,,1.9309,0.0,0.0
2007-03-28,1.9297,1.9297,1.9297,,,1.9297,0.0,0.0
2007-03-29,1.9559,1.9559,1.9559,,,1.9559,0.0,0.0
2007-03-30,1.952,1.952,1.952,,,1.952,0.0,0.0
2007-04-02,1.9583,1.9583,1.9583,,,1.9583,0.0,0.0
2007-04-03,1.9427,1.9427,1.9427,,,1.9427,0.0,0.0
2007-04-04,1.9724,1.9724,1.9724,,,1.9724,0.0,0.0
2007-04-05,1.9858,1.9858,1.9858,,,1.9858,0.0,0.0
2007-04-09,1.9443,1.9443,1.9443,,,1.9443,0.0,0.0
2007-04-10,1.9642,1.9642,1.9642,,,1.9642,0.0,0.0
2007-04-11,1.973,1.973,1.973,,,1.973,0.0,0.0
2007-04-12,1.9937,1.9937,1.9937,,,1.9937,0.0,0.0
2007-04-13,1.989,1.989,1.989,,,1.989,0.0,0.0
2007-04-16,1.9447,1.9447,1.9447,,,1.9447,0.0,0.0
2007-04-17,1.9101,1.9101,1.9101,,,1.9101,0.0,0.0
2007-04-18,1.9303,1.9303,1.9303,,,1.9303,0.0,0.0
2007-04-19,1.9253,1.9253,1.9253,,,1.9253,0.0,0.0
2007-04-20,1.9454,1.9454,1.9454,,,1.9454,0.0,0.0
2007-04-23,1.9794,1.9794,1.9794,,,1.9794,0.0,0.0
2007-04-24,1.9511,1.9511,1.9511,,,1.9511,0.0,0.0
2007-04-25,1.9872,1.9872,1.9872,,,1.9872,0.0,0.0
2007-04-26,1.9714,1.9714,1.9714,,,1.9714,0.0,0.0
2007-04-27,1.9968,1.9968,1.9968,,,1.9968,0.0,0.0
2007-04-30,1.9779,1.9779,1.9779,,,1.9779,0.0,0.0
2007-05-01,1.9722,1.9722,1.9722,,,1.9722,0.0,0.0
2007-05-02,1.9601,1.9601,1.9601,,,1.9601,0.0,0.0
2007-05-03,1.9546,1.9546,1.9546,,,1.9546,0.0,0.0
2007-05-04,1.9414,1.9414,1.9414,,,1.9414,0.0,0.0
2007-05-07,1.9289,1.9289,1.9289,,,1.9289,0.0,0.0
2007-05-08,1.94,1.94,1.94,,,1.94,0.0,0.0
2007-05-09,1.9469,1.9469,1.9469,,,1.9469,0.0,0.0
2007-05-10,1.9591,1.9591,1.9591,,,1.9591,0.0,0.0
2007-05-11,1.9691,1.9691,1.9691,,,1.9691,0.0,0.0
2007-05-14,1.9617,1.9617,1.9617,,,1.9617,25.0,25.0
2007-05-15,1.9776,1.9776,1.9776,,,1.9776,25.0,25.0
2007-05-16,1.9775,1.9775,1.9775,,,1.9775,25.0,25.0
2007-05-17,2.0316,2.0316,2.0316,,,2.0316,25.0,25.0
2007-05-18,2.0127,2.0127,2.0127,,,2.0127,25.0,25.0
2007-05-21,2.0228,2.0228,2.0228,,,2.0228,0.0,25.0
2007-05-22,1.9853,1.9853,1.9853,,,1.9853,25.0,25.0
2007-05-23,2.0044,2.0044,2.0044,,,2.0044,0.0,25.0
2007-05-24,2.0159,2.0159,2.0159,,,2.0159,25.0,25.0
2007-05-25,2.04,2.04,2.04,,,2.04,25.0,25.0
2007-05-28,2.04,2.04,2.04,,,2.04,25.0,25.0
2007-05-29,1.9564,1.9564,1.9564,,,1.9564,25.0,25.0
2007-05-30,1.9955,1.9955,1.9955,,,1.9955,0.0,25.0
2007-05-31,2.0032,2.0032,2.0032,,,2.0032,25.0,25.0
2007-06-01,2.0311,2.0311,2.0311,,,2.0311,25.0,25.0
2007-06-04,2.0485,2.0485,2.0485,,,2.0485,0.0,25.0
2007-06-05,2.0346,2.0346,2.0346,,,2.0346,0.0,25.0
2007-06-06,2.0484,2.0484,2.0484,,,2.0484,0.0,25.0
2007-06-07,2.0662,2.0662,2.0662,,,2.0662,0.0,25.0
2007-06-08,2.0261,2.0261,2.0261,,,2.0261,0.0,25.0
2007-06-11,2.0461,2.0461,2.0461,,,2.0461,0.0,25.0
2007-06-12,2.0322,2.0322,2.0322,,,2.0322,0.0,25.0
2007-06-13,2.0548,2.0548,2.0548,,,2.0548,0.0,25.0
2007-06-14,2.0802,2.0802,2.0802,,,2.0802,0.0,25.0
2007-06-15,2.0706,2.0706,2.0706,,,2.0706,0.0,25.0
2007-06-18,2.0813,2.0813,2.0813,,,2.0813,0.0,25.0
2007-06-19,2.0727,2.0727,2.0727,,,2.0727,0.0,25.0
2007-06-20,2.0716,2.0716,2.0716,,,2.0716,0.0,25.0
2007-06-21,2.0657,2.0657,2.0657,,,2.0657,0.0,25.0
2007-06-22,2.0851,2.0851,2.0851,,,2.0851,0.0,25.0
2007-06-25,2.0859,2.0859,2.0859,,,2.0859,0.0,25.0
2007-06-26,2.0524,2.0524,2.0524,,,2.0524,0.0,25.0
2007-06-27,2.0569,2.0569,2.0569,,,2.0569,0.0,25.0
2007-06-28,2.0576,2.0576,2.0576,,,2.0576,0.0,25.0
2007-06-29,2.0898,2.0898,2.0898,,,2.0898,0.0,25.0
2007-07-02,2.1032,2.1032,2.1032,,,2.1032,0.0,25.0
2007-07-03,2.1054,2.1054,2.1054,,,2.1054,0.0,25.0
2007-07-04,2.1054,2.1054,2.1054,,,2.1054,0.0,25.0
2007-07-05,2.1153,2.1153,2.1153,,,2.1153,0.0,25.0
2007-07-06,2.1271,2.1271,2.1271,,,2.1271,0.0,25.0
2007-07-09,2.1181,2.1181,2.1181,,,2.1181,0.0,25.0
2007-07-10,2.1309,2.1309,2.1309,,,2.1309,0.0,25.0
2007-07-11,2.1188,2.1188,2.1188,,,2.1188,0.0,25.0
2007-07-12,2.1168,2.1168,2.1168,,,2.1168,0.0,25.0
2007-07-13,2.1238,2.1238,2.1238,,,2.1238,0.0,25.0
2007-07-16,2.0647,2.0647,2.0647,,,2.0647,0.0,25.0
