Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-05-01,0.0,0.0,0.0,,,2.3899,0.0,0.0
2013-05-02,0.0,0.0,0.0,,,2.4549,0.0,0.0
2013-05-03,0.0,0.0,0.0,,,2.4884,0.0,0.0
2013-05-06,0.0,0.0,0.0,,,2.5011,0.0,0.0
2013-05-07,0.0,0.0,0.0,,,2.4977,0.0,0.0
2013-05-08,0.0,0.0,0.0,,,2.5106,0.0,0.0
2013-05-09,0.0,0.0,0.0,,,2.5216,0.0,0.0
2013-05-10,0.0,0.0,0.0,,,2.5099,0.0,0.0
2013-05-13,0.0,0.0,0.0,,,2.4873,0.0,0.0
2013-05-14,0.0,0.0,0.0,,,2.4801,0.0,0.0
2013-05-15,0.0,0.0,0.0,,,2.4872,0.0,0.0
2013-05-16,0.0,0.0,0.0,,,2.4946,0.0,0.0
2013-05-17,0.0,0.0,0.0,,,2.5117,0.0,0.0
2013-05-20,0.0,0.0,0.0,,,2.5164,0.0,0.0
2013-05-21,0.0,0.0,0.0,,,2.4996,0.0,0.0
2013-05-22,0.0,0.0,0.0,,,2.4767,0.0,0.0
2013-05-23,0.0,0.0,0.0,,,2.472,0.0,0.0
2013-05-24,0.0,0.0,0.0,,,2.474,0.0,0.0
2013-05-28,0.0,0.0,0.0,,,2.4975,0.0,0.0
2013-05-29,0.0,0.0,0.0,,,2.4591,0.0,0.0
2013-05-30,0.0,0.0,0.0,,,2.4558,0.0,0.0
2013-05-31,0.0,0.0,0.0,,,2.4022,0.0,0.0
2013-06-03,0.0,0.0,0.0,,,2.428,0.0,0.0
2013-06-04,0.0,0.0,0.0,,,2.4549,0.0,0.0
2013-06-05,0.0,0.0,0.0,,,2.4578,0.0,0.0
2013-06-06,0.0,0.0,0.0,,,2.4814,0.0,0.0
2013-06-07,0.0,0.0,0.0,,,2.4971,0.0,0.0
2013-06-10,0.0,0.0,0.0,,,2.4856,0.0,0.0
2013-06-11,0.0,0.0,0.0,,,2.4605,0.0,0.0
2013-06-12,0.0,0.0,0.0,,,2.4682,0.0,0.0
2013-06-13,0.0,0.0,0.0,,,2.5047,0.0,0.0
2013-06-14,0.0,0.0,0.0,,,2.5284,0.0,0.0
2013-06-17,0.0,0.0,0.0,,,2.5095,0.0,0.0
2013-06-18,0.0,0.0,0.0,,,2.5335,0.0,0.0
2013-06-19,0.0,0.0,0.0,,,2.5327,0.0,0.0
2013-06-20,0.0,0.0,0.0,,,2.4479,0.0,0.0
2013-06-21,0.0,0.0,0.0,,,2.4131,0.0,0.0
2013-06-24,0.0,0.0,0.0,,,2.4146,0.0,0.0
2013-06-25,0.0,0.0,0.0,,,2.4193,0.0,0.0
2013-06-26,0.0,0.0,0.0,,,2.4258,0.0,0.0
2013-06-27,0.0,0.0,0.0,,,2.464,0.0,0.0
2013-06-28,0.0,0.0,0.0,,,2.4445,0.0,0.0
