Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.7184,0.0,0.0
2015-12-01,,,,,0.0275,1.7459,0.0,0.0
2015-12-02,,,,,0.0357,1.7102,0.0,0.0
2015-12-03,,,,,0.0158,1.726,0.0,0.0
2015-12-04,,,,,0.0237,1.7023,0.0,0.0
2015-12-07,,,,,0.0387,1.6636,0.0,0.0
2015-12-08,,,,,0.0078,1.6714,0.0,0.0
2015-12-09,,,,,0.0068,1.6782,0.0,0.0
2015-12-10,,,,,0.0054,1.6836,0.0,0.0
2015-12-11,,,,,0.0331,1.6505,0.0,0.0
2015-12-14,,,,,0.0246,1.6259,0.0,0.0
2015-12-15,,,,,0.0092,1.6167,0.0,0.0
2015-12-16,,,,,0.0191,1.5976,0.0,0.0
2015-12-17,,,,,0.0058,1.5918,0.0,0.0
2015-12-18,,,,,0.0126,1.5792,0.0,0.0
2015-12-21,,,,,0.015,1.5642,0.0,0.0
2015-12-22,,,,,0.0121,1.5521,0.0,0.0
2015-12-23,,,,,0.0266,1.5787,0.0,0.0
2015-12-24,,,,,0.0175,1.5962,0.0,0.0
2015-12-28,,,,,0.0271,1.5691,0.0,0.0
2015-12-29,,,,,0.0192,1.5883,0.0,0.0
2015-12-30,,,,,0.0221,1.5662,0.0,0.0
2015-12-31,,,,,0.0123,1.5785,0.0,0.0
2016-01-04,,,,,0.0031,1.5816,0.0,0.0
2016-01-05,,,,,0.0068,1.5748,0.0,0.0
2016-01-06,,,,,0.0304,1.5444,0.0,0.0
2016-01-07,,,,,0.0304,1.514,0.0,0.0
2016-01-08,,,,,0.0037,1.5103,0.0,0.0
2016-01-11,,,,,0.039,1.4713,0.0,0.0
2016-01-12,,,,,0.0295,1.4418,0.0,0.0
2016-01-13,,,,,0.0271,1.4147,0.0,0.0
2016-01-14,,,,,0.0077,1.4224,0.0,0.0
2016-01-15,,,,,0.0519,1.3705,0.0,0.0
2016-01-19,,,,,0.0198,1.3507,0.0,0.0
2016-01-20,,,,,0.0102,1.3405,0.0,0.0
2016-01-21,,,,,0.0206,1.3611,0.0,0.0
2016-01-22,,,,,0.0586,1.4197,0.0,0.0
2016-01-25,,,,,0.0302,1.3895,0.0,0.0
2016-01-26,,,,,0.0249,1.4144,0.0,0.0
2016-01-27,,,,,0.0182,1.4326,0.0,0.0
2016-01-28,,,,,0.0182,1.4508,0.0,0.0
2016-01-29,,,,,0.0314,1.4822,0.0,0.0
2016-02-01,,,,,0.047,1.4352,0.0,0.0
2016-02-02,,,,,0.032,1.4032,0.0,0.0
2016-02-03,,,,,0.033,1.4362,0.0,0.0
2016-02-04,,,,,0.002,1.4382,0.0,0.0
2016-02-05,,,,,0.0115,1.4267,0.0,0.0
2016-02-08,,,,,0.0076,1.4191,0.0,0.0
2016-02-09,,,,,0.0543,1.3648,0.0,0.0
2016-02-10,,,,,0.0014,1.3634,0.0,0.0
2016-02-11,,,,,0.0025,1.3659,0.0,0.0
2016-02-12,,,,,0.064,1.4299,0.0,0.0
2016-02-16,,,,,0.0344,1.3955,0.0,0.0
2016-02-17,,,,,0.0365,1.432,0.0,0.0
2016-02-18,,,,,0.0111,1.4209,0.0,0.0
2016-02-19,,,,,0.0175,1.4034,0.0,0.0
2016-02-22,,,,,0.0291,1.4325,0.0,0.0
2016-02-23,,,,,0.0259,1.4066,0.0,0.0
2016-02-24,,,,,0.0277,1.4343,0.0,0.0
2016-02-25,,,,,0.0081,1.4424,0.0,0.0
2016-02-26,,,,,0.0135,1.4289,0.0,0.0
2016-02-29,,,,,0.0199,1.4488,0.0,0.0
2016-03-01,,,,,0.0026,1.4462,0.0,0.0
2016-03-02,,,,,0.0056,1.4518,0.0,0.0
2016-03-03,,,,,0.0005,1.4523,0.0,0.0
2016-03-04,,,,,0.0241,1.4764,0.0,0.0
2016-03-07,,1.4775,,1.4775,0.0405,1.5169,0.0,0.0
2016-03-08,,,,,0.0137,1.5032,0.0,0.0
2016-03-09,,,,,0.0345,1.5377,0.0,0.0
2016-03-10,,,,,0.0162,1.5215,0.0,0.0
2016-03-11,,,,,0.0093,1.5308,0.0,0.0
2016-03-14,,,,,0.0222,1.5086,0.0,0.0
2016-03-15,,,,,0.0173,1.4913,0.0,0.0
2016-03-16,,,,,0.0311,1.5224,0.0,0.0
2016-03-17,,,,,0.0141,1.5365,0.0,0.0
2016-03-18,,,,,0.0109,1.5256,0.0,0.0
2016-03-21,,,,,0.0172,1.5428,0.0,0.0
2016-03-22,,,,,0.0115,1.5543,0.0,0.0
2016-03-23,,,,,0.0349,1.5194,0.0,0.0
2016-03-24,,,,,0.0159,1.5353,0.0,0.0
2016-03-28,,,,,0.0021,1.5332,0.0,0.0
2016-03-29,,,,,0.0103,1.5229,0.0,0.0
2016-03-30,,,,,0.0015,1.5244,0.0,0.0
2016-03-31,,,,,0.0004,1.524,0.0,0.0
2016-04-01,,,,,0.0394,1.4846,0.0,0.0
2016-04-04,,,,,0.0265,1.4581,0.0,0.0
2016-04-05,,,,,0.011,1.4691,0.0,0.0
2016-04-06,,,,,0.0486,1.5177,0.0,0.0
2016-04-07,,,,,0.0144,1.5033,0.0,0.0
2016-04-08,,,,,0.0519,1.5552,0.0,0.0
2016-04-11,,,,,0.0258,1.581,0.0,0.0
2016-04-12,,,,,0.0186,1.5996,0.0,0.0
2016-04-13,,,,,0.0002,1.5994,0.0,0.0
2016-04-14,,,,,0.0047,1.5947,0.0,0.0
2016-04-15,,,,,0.0294,1.5653,0.0,0.0
2016-04-18,,,,,0.0112,1.5541,0.0,0.0
2016-04-19,,,,,0.0259,1.58,0.0,0.0
2016-04-20,,,,,0.039,1.619,0.0,0.0
2016-04-21,,,,,0.0198,1.5992,0.0,0.0
2016-04-22,,,,,0.0156,1.6148,0.0,0.0
2016-04-25,,,,,0.007,1.6078,0.0,0.0
2016-04-26,,,,,0.0277,1.6355,0.0,0.0
2016-04-27,,,,,0.0168,1.6523,0.0,0.0
2016-04-28,,,,,0.0141,1.6664,0.0,0.0
2016-04-29,,,,,0.0102,1.6562,0.0,0.0
2016-05-02,,,,,0.0202,1.636,0.0,0.0
2016-05-03,,,,,0.0216,1.6144,0.0,0.0
2016-05-04,,,,,0.0011,1.6133,0.0,0.0
2016-05-05,,,,,0.0049,1.6182,0.0,0.0
2016-05-06,,,,,0.0226,1.6408,0.0,0.0
2016-05-09,,,,,0.0289,1.6119,0.0,0.0
2016-05-10,,,,,0.0389,1.6508,0.0,0.0
2016-05-11,,,,,0.0385,1.6893,0.0,0.0
2016-05-12,,,,,0.0061,1.6832,0.0,0.0
2016-05-13,,,,,0.0202,1.663,0.0,0.0
2016-05-16,,,,,0.0112,1.6742,0.0,0.0
2016-05-17,,,,,0.0156,1.6898,0.0,0.0
2016-05-18,,,,,0.0091,1.6989,0.0,0.0
2016-05-19,,,,,0.0013,1.6976,0.0,0.0
2016-05-20,,,,,0.0056,1.692,0.0,0.0
2016-05-23,,,,,0.0014,1.6906,0.0,0.0
2016-05-24,,,,,0.0032,1.6938,0.0,0.0
2016-05-25,,,,,0.0124,1.7062,0.0,0.0
2016-05-26,,,,,0.0033,1.7029,0.0,0.0
2016-05-27,,,,,0.005,1.7079,0.0,0.0
2016-05-31,,,,,0.0131,1.6948,0.0,0.0
2016-06-01,,,,,0.0042,1.699,0.0,0.0
2016-06-02,,,,,0.0044,1.7034,0.0,0.0
2016-06-03,,,,,0.0093,1.6941,0.0,0.0
2016-06-06,,,,,0.0169,1.711,0.0,0.0
2016-06-07,,,,,0.0215,1.7325,0.0,0.0
2016-06-08,,,,,0.0262,1.7587,0.0,0.0
2016-06-09,,,,,0.0098,1.7489,0.0,0.0
2016-06-10,,,,,0.0266,1.7223,0.0,0.0
2016-06-13,,,,,0.007,1.7153,0.0,0.0
2016-06-14,,,,,0.01,1.7053,0.0,0.0
2016-06-15,,,,,0.0119,1.6934,0.0,0.0
2016-06-16,,,,,0.0331,1.6603,0.0,0.0
2016-06-17,,,,,0.0396,1.6999,0.0,0.0
2016-06-20,,,,,0.0335,1.7334,0.0,0.0
2016-06-21,,,,,0.0008,1.7342,0.0,0.0
2016-06-22,,,,,0.0128,1.7214,0.0,0.0
2016-06-23,,,,,0.0264,1.7478,0.0,0.0
2016-06-24,,,,,0.0582,1.6896,0.0,0.0
2016-06-27,,,,,0.0229,1.6667,0.0,0.0
2016-06-28,,,,,0.0394,1.7061,0.0,0.0
2016-06-29,,,,,0.0488,1.7549,0.0,0.0
2016-06-30,,,,,0.0209,1.734,0.0,0.0
2016-07-01,,,,,0.0346,1.7686,0.0,0.0
2016-07-05,,,,,0.0452,1.7234,0.0,0.0
2016-07-06,,,,,0.0207,1.7441,0.0,0.0
2016-07-07,,,,,0.0426,1.7015,0.0,0.0
2016-07-08,,,,,0.0065,1.708,0.0,0.0
2016-07-11,,,,,0.0004,1.7076,0.0,0.0
