Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2011-06-01,0.0,2.6595,2.6595,,,2.6595,0.0,0.0
2011-06-02,0.0,2.6779,2.6779,,,2.6779,0.0,0.0
2011-06-03,0.0,2.702,2.702,,,2.702,0.0,0.0
2011-06-06,0.0,2.6735,2.6735,,,2.6735,0.0,0.0
2011-06-07,0.0,2.7344,2.7344,,,2.7344,0.0,0.0
2011-06-08,0.0,2.7432,2.7432,,,2.7432,0.0,0.0
2011-06-09,0.0,2.7748,2.7748,,,2.7748,0.0,0.0
2011-06-10,0.0,2.751,2.751,,,2.751,0.0,0.0
2011-06-13,0.0,2.7373,2.7373,,,2.7373,0.0,0.0
2011-06-14,0.0,2.7669,2.7669,,,2.7669,0.0,0.0
2011-06-15,0.0,2.6269,2.6269,,,2.6269,0.0,0.0
2011-06-16,0.0,2.6505,2.6505,,,2.6505,0.0,0.0
2011-06-17,0.0,2.6399,2.6399,,,2.6399,0.0,0.0
2011-06-20,0.0,2.6188,2.6188,,,2.6188,0.0,0.0
2011-06-21,0.0,2.6068,2.6068,,,2.6068,0.0,0.0
2011-06-22,0.0,2.6841,2.6841,,,2.6841,0.0,0.0
2011-06-23,0.0,2.5584,2.5584,,,2.5584,0.0,0.0
2011-06-24,0.0,2.563,2.563,,,2.563,0.0,0.0
2011-06-27,0.0,2.5698,2.5698,,,2.5698,0.0,0.0
2011-06-28,0.0,2.622,2.622,,,2.622,0.0,0.0
2011-06-29,0.0,2.7066,2.7066,,,2.7066,0.0,0.0
2011-06-30,0.0,2.7095,2.7095,,,2.7095,0.0,0.0
2011-07-01,0.0,2.6959,2.6959,,,2.6959,0.0,0.0
2011-07-05,0.0,2.7087,2.7087,,,2.7087,0.0,0.0
2011-07-06,0.0,2.7229,2.7229,,,2.7229,0.0,0.0
2011-07-07,0.0,2.8208,2.8208,,,2.8208,0.0,0.0
2011-07-08,0.0,2.812,2.812,,,2.812,0.0,0.0
2011-07-11,0.0,2.7863,2.7863,,,2.7863,0.0,0.0
2011-07-12,0.0,2.8042,2.8042,,,2.8042,0.0,0.0
2011-07-13,0.0,2.8285,2.8285,,,2.8285,0.0,0.0
2011-07-14,0.0,2.9002,2.9002,,,2.9002,0.0,0.0
2011-07-15,0.0,2.9136,2.9136,,,2.9136,0.0,0.0
2011-07-18,0.0,2.8821,2.8821,,,2.8821,0.0,0.0
2011-07-19,0.0,2.8974,2.8974,,,2.8974,0.0,0.0
2011-07-20,0.0,2.9296,2.9296,,,2.9296,0.0,0.0
2011-07-21,0.0,2.9127,2.9127,,,2.9127,0.0,0.0
2011-07-22,0.0,2.9343,2.9343,,,2.9343,0.0,0.0
2011-07-25,0.0,2.9227,2.9227,,,2.9227,0.0,0.0
2011-07-26,0.0,2.93,2.93,,,2.93,0.0,0.0
2011-07-28,0.0,2.9001,2.9001,,,2.9001,0.0,0.0
2011-07-29,0.0,2.8836,2.8836,,,2.8836,0.0,0.0
2011-08-01,0.0,2.8814,2.8814,,,2.8814,0.0,0.0
2011-08-02,0.0,2.8474,2.8474,,,2.8474,0.0,0.0
2011-08-03,0.0,2.7494,2.7494,,,2.7494,0.0,0.0
2011-08-04,0.0,2.606,2.606,,,2.606,0.0,0.0
2011-08-05,0.0,2.6573,2.6573,,,2.6573,0.0,0.0
2011-08-08,0.0,2.5246,2.5246,,,2.5246,0.0,0.0
2011-08-09,0.0,2.5014,2.5014,,,2.5014,0.0,0.0
2011-08-10,0.0,2.5904,2.5904,,,2.5904,0.0,0.0
2011-08-11,0.0,2.6044,2.6044,,,2.6044,0.0,0.0
2011-08-12,0.0,2.5901,2.5901,,,2.5901,0.0,0.0
2011-08-15,0.0,2.6441,2.6441,,,2.6441,0.0,0.0
2011-08-16,0.0,2.6268,2.6268,,,2.6268,0.0,0.0
