Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.7124,0.0,0.0
2015-12-01,,,,,0.0275,1.7399,0.0,0.0
2015-12-02,,,,,0.0357,1.7042,0.0,0.0
2015-12-03,,,,,0.0158,1.72,0.0,0.0
2015-12-04,,,,,0.0237,1.6963,0.0,0.0
2015-12-07,,,,,0.0387,1.6576,0.0,0.0
2015-12-08,,,,,0.0078,1.6654,0.0,0.0
2015-12-09,,,,,0.0068,1.6722,0.0,0.0
2015-12-10,,,,,0.0054,1.6776,0.0,0.0
2015-12-11,,,,,0.0331,1.6445,0.0,0.0
2015-12-14,,,,,0.0246,1.6199,0.0,0.0
2015-12-15,,,,,0.0092,1.6107,0.0,0.0
2015-12-16,,,,,0.0191,1.5916,0.0,0.0
2015-12-17,,,,,0.0058,1.5858,0.0,0.0
2015-12-18,,,,,0.0126,1.5732,0.0,0.0
2015-12-21,,,,,0.015,1.5582,0.0,0.0
2015-12-22,,,,,0.0121,1.5461,0.0,0.0
2015-12-23,,,,,0.0266,1.5727,0.0,0.0
2015-12-24,,,,,0.0175,1.5902,0.0,0.0
2015-12-28,,,,,0.0271,1.5631,0.0,0.0
2015-12-29,,,,,0.0192,1.5823,0.0,0.0
2015-12-30,,,,,0.0221,1.5602,0.0,0.0
2015-12-31,,,,,0.0123,1.5725,0.0,0.0
2016-01-04,,,,,0.0031,1.5756,0.0,0.0
2016-01-05,,,,,0.0068,1.5688,0.0,0.0
2016-01-06,,,,,0.0304,1.5384,0.0,0.0
2016-01-07,,,,,0.0309,1.5075,0.0,0.0
2016-01-08,,,,,0.0037,1.5038,0.0,0.0
2016-01-11,,,,,0.039,1.4648,0.0,0.0
2016-01-12,,,,,0.0295,1.4353,0.0,0.0
2016-01-13,,,,,0.0271,1.4082,0.0,0.0
2016-01-14,,,,,0.0077,1.4159,0.0,0.0
2016-01-15,,,,,0.0519,1.364,0.0,0.0
2016-01-19,,,,,0.0198,1.3442,0.0,0.0
2016-01-20,,,,,0.0102,1.334,0.0,0.0
2016-01-21,,,,,0.0206,1.3546,0.0,0.0
2016-01-22,,,,,0.0586,1.4132,0.0,0.0
2016-01-25,,,,,0.0302,1.383,0.0,0.0
2016-01-26,,,,,0.0249,1.4079,0.0,0.0
2016-01-27,,,,,0.0182,1.4261,0.0,0.0
2016-01-28,,,,,0.0182,1.4443,0.0,0.0
2016-01-29,,,,,0.0314,1.4757,0.0,0.0
2016-02-01,,,,,0.047,1.4287,0.0,0.0
2016-02-02,,,,,0.032,1.3967,0.0,0.0
2016-02-03,,,,,0.033,1.4297,0.0,0.0
2016-02-04,,,,,0.002,1.4317,0.0,0.0
2016-02-05,,,,,0.0115,1.4202,0.0,0.0
2016-02-08,,,,,0.0076,1.4126,0.0,0.0
2016-02-09,,,,,0.0543,1.3583,0.0,0.0
2016-02-10,,,,,0.0014,1.3569,0.0,0.0
2016-02-11,,,,,0.0025,1.3594,0.0,0.0
2016-02-12,,,,,0.064,1.4234,0.0,0.0
2016-02-16,,,,,0.0344,1.389,0.0,0.0
2016-02-17,,,,,0.0365,1.4255,0.0,0.0
2016-02-18,,,,,0.0111,1.4144,0.0,0.0
2016-02-19,,,,,0.0175,1.3969,0.0,0.0
2016-02-22,,,,,0.0291,1.426,0.0,0.0
2016-02-23,,,,,0.0259,1.4001,0.0,0.0
2016-02-24,,,,,0.0277,1.4278,0.0,0.0
2016-02-25,,,,,0.0081,1.4359,0.0,0.0
2016-02-26,,,,,0.0135,1.4224,0.0,0.0
2016-02-29,,,,,0.0199,1.4423,0.0,0.0
2016-03-01,,,,,0.0026,1.4397,0.0,0.0
2016-03-02,,,,,0.0056,1.4453,0.0,0.0
2016-03-03,,,,,0.0005,1.4458,0.0,0.0
2016-03-04,,,,,0.0241,1.4699,0.0,0.0
2016-03-07,,,,,0.0405,1.5104,0.0,0.0
2016-03-08,,,,,0.0137,1.4967,0.0,0.0
2016-03-09,,,,,0.0345,1.5312,0.0,0.0
2016-03-10,,,,,0.0172,1.514,4.0,0.0
2016-03-11,,,,,0.0093,1.5233,0.0,102.0
2016-03-14,,,,,0.0222,1.5011,0.0,102.0
2016-03-15,,,,,0.0173,1.4838,0.0,102.0
2016-03-16,,,,,0.0311,1.5149,0.0,102.0
2016-03-17,,,,,0.0141,1.529,0.0,102.0
2016-03-18,,,,,0.0109,1.5181,0.0,102.0
2016-03-21,,,,,0.0172,1.5353,0.0,102.0
2016-03-22,,,,,0.0115,1.5468,0.0,102.0
2016-03-23,,,,,0.0349,1.5119,0.0,102.0
2016-03-24,,,,,0.0159,1.5278,0.0,102.0
2016-03-28,,,,,0.0021,1.5257,0.0,102.0
2016-03-29,,,,,0.0103,1.5154,0.0,102.0
2016-03-30,,,,,0.0015,1.5169,0.0,102.0
2016-03-31,,,,,0.0004,1.5165,0.0,102.0
2016-04-01,,,,,0.0394,1.4771,0.0,102.0
2016-04-04,,,,,0.0265,1.4506,0.0,102.0
2016-04-05,1.51,1.51,1.51,1.51,0.011,1.4616,1.0,102.0
2016-04-06,,,,,0.0506,1.5122,0.0,103.0
2016-04-07,,,,,0.0144,1.4978,0.0,103.0
2016-04-08,,,,,0.0519,1.5497,0.0,103.0
2016-04-11,,,,,0.0258,1.5755,0.0,103.0
2016-04-12,,,,,0.0176,1.5931,0.0,103.0
2016-04-13,,,,,0.0002,1.5929,0.0,103.0
2016-04-14,,,,,0.0047,1.5882,0.0,103.0
2016-04-15,,,,,0.0294,1.5588,0.0,103.0
2016-04-18,,,,,0.0112,1.5476,0.0,103.0
2016-04-19,,,,,0.0259,1.5735,0.0,103.0
2016-04-20,,,,,0.039,1.6125,0.0,103.0
2016-04-21,,,,,0.0198,1.5927,0.0,103.0
2016-04-22,,,,,0.0156,1.6083,0.0,103.0
2016-04-25,,,,,0.007,1.6013,0.0,103.0
2016-04-26,,,,,0.0277,1.629,0.0,103.0
2016-04-27,,,,,0.0168,1.6458,0.0,103.0
