Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2008-07-01,3.3949,3.3949,3.3949,,,3.3949,0.0,0.0
2008-07-02,3.6425,3.6425,3.6425,,,3.6425,0.0,0.0
2008-07-03,3.691,3.691,3.691,,,3.691,0.0,0.0
2008-07-07,3.6331,3.6331,3.6331,,,3.6331,0.0,0.0
2008-07-08,3.5301,3.5301,3.5301,,,3.5301,0.0,0.0
2008-07-09,3.5323,3.5323,3.5323,,,3.5323,0.0,0.0
2008-07-10,3.6719,3.6719,3.6719,,,3.6719,0.0,0.0
2008-07-11,3.7117,3.7117,3.7117,,,3.7117,0.0,0.0
2008-07-15,3.5963,3.5963,3.5963,,,3.5963,0.0,0.0
2008-07-16,3.4999,3.4999,3.4999,,,3.4999,0.0,0.0
2008-07-17,3.3833,3.3833,3.3833,,,3.3833,0.0,0.0
2008-07-18,3.3739,3.3739,3.3739,,,3.3739,0.0,0.0
2008-07-21,3.4206,3.4206,3.4206,,,3.4206,0.0,0.0
2008-07-22,3.3786,3.3786,3.3786,,,3.3786,0.0,0.0
2008-07-23,3.2841,3.2841,3.2841,,,3.2841,0.0,0.0
2008-07-25,3.241,3.241,3.241,,,3.241,0.0,0.0
2008-07-28,3.2682,3.2682,3.2682,,,3.2682,0.0,0.0
2008-07-29,3.2139,3.2139,3.2139,,,3.2139,0.0,0.0
2008-07-30,3.3151,3.3151,3.3151,,,3.3151,0.0,0.0
2008-07-31,3.2516,3.2516,3.2516,,,3.2516,0.0,0.0
2008-08-01,3.2665,3.2665,3.2665,,,3.2665,0.0,0.0
2008-08-04,3.1829,3.1829,3.1829,,,3.1829,0.0,0.0
2008-08-05,3.1166,3.1166,3.1166,,,3.1166,0.0,0.0
2008-08-06,3.101,3.101,3.101,,,3.101,0.0,0.0
2008-08-07,3.1269,3.1269,3.1269,,,3.1269,0.0,0.0
2008-08-08,3.0496,3.0496,3.0496,,,3.0496,0.0,0.0
2008-08-11,3.0338,3.0338,3.0338,,,3.0338,0.0,0.0
2008-08-12,3.0019,3.0019,3.0019,,,3.0019,0.0,0.0
2008-08-13,0.0,3.0705,3.0705,,,3.0705,0.0,0.0
2008-08-14,0.0,3.0587,3.0587,,,3.0587,0.0,0.0
2008-08-15,0.0,3.0394,3.0394,,,3.0394,0.0,0.0
2008-08-18,0.0,2.9974,2.9974,,,2.9974,0.0,0.0
2008-08-19,0.0,3.0406,3.0406,,,3.0406,0.0,0.0
2008-08-20,0.0,3.1032,3.1032,,,3.1032,0.0,0.0
2008-08-21,0.0,3.2465,3.2465,,,3.2465,0.0,0.0
2008-08-22,0.0,3.1058,3.1058,,,3.1058,0.0,0.0
2008-08-25,0.0,3.1291,3.1291,,,3.1291,0.0,0.0
2008-08-26,3.1489,3.1489,3.1489,,,3.1489,0.0,0.0
2008-08-27,0.0,3.1634,3.1634,,,3.1634,0.0,0.0
2008-08-28,0.0,3.1206,3.1206,,,3.1206,0.0,0.0
2008-08-29,0.0,3.1064,3.1064,,,3.1064,0.0,0.0
2008-09-02,0.0,3.0186,3.0186,,,3.0186,0.0,0.0
2008-09-03,0.0,3.0122,3.0122,,,3.0122,0.0,0.0
2008-09-04,0.0,2.9793,2.9793,,,2.9793,0.0,0.0
2008-09-05,0.0,2.945,2.945,,,2.945,0.0,0.0
