Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2011-07-01,0.0,2.6834,2.6834,,,2.6834,0.0,0.0
2011-07-05,0.0,2.6962,2.6962,,,2.6962,0.0,0.0
2011-07-06,0.0,2.7104,2.7104,,,2.7104,0.0,0.0
2011-07-07,0.0,2.8083,2.8083,,,2.8083,0.0,0.0
2011-07-08,0.0,2.7995,2.7995,,,2.7995,0.0,0.0
2011-07-11,0.0,2.7738,2.7738,,,2.7738,0.0,0.0
2011-07-12,0.0,2.7917,2.7917,,,2.7917,0.0,0.0
2011-07-13,0.0,2.816,2.816,,,2.816,0.0,0.0
2011-07-14,0.0,2.8877,2.8877,,,2.8877,0.0,0.0
2011-07-15,0.0,2.9011,2.9011,,,2.9011,0.0,0.0
2011-07-18,0.0,2.8696,2.8696,,,2.8696,0.0,0.0
2011-07-19,0.0,2.8849,2.8849,,,2.8849,0.0,0.0
2011-07-20,0.0,2.9171,2.9171,,,2.9171,0.0,0.0
2011-07-21,0.0,2.9002,2.9002,,,2.9002,0.0,0.0
2011-07-22,0.0,2.9218,2.9218,,,2.9218,0.0,0.0
2011-07-25,0.0,2.9102,2.9102,,,2.9102,0.0,0.0
2011-07-26,0.0,2.9175,2.9175,,,2.9175,0.0,0.0
2011-07-28,0.0,2.8876,2.8876,,,2.8876,0.0,0.0
2011-07-29,0.0,2.8711,2.8711,,,2.8711,0.0,0.0
2011-08-01,0.0,2.8689,2.8689,,,2.8689,0.0,0.0
2011-08-02,0.0,2.8349,2.8349,,,2.8349,0.0,0.0
2011-08-03,0.0,2.7369,2.7369,,,2.7369,0.0,0.0
2011-08-04,0.0,2.5935,2.5935,,,2.5935,0.0,0.0
2011-08-05,0.0,2.6448,2.6448,,,2.6448,0.0,0.0
2011-08-08,0.0,2.5121,2.5121,,,2.5121,0.0,0.0
2011-08-09,0.0,2.4889,2.4889,,,2.4889,0.0,0.0
2011-08-10,0.0,2.5779,2.5779,,,2.5779,0.0,0.0
2011-08-11,0.0,2.5919,2.5919,,,2.5919,0.0,0.0
2011-08-12,0.0,2.5776,2.5776,,,2.5776,0.0,0.0
2011-08-15,0.0,2.6316,2.6316,,,2.6316,0.0,0.0
2011-08-16,0.0,2.6143,2.6143,,,2.6143,0.0,0.0
2011-08-17,0.0,2.6513,2.6513,,,2.6513,0.0,0.0
2011-08-18,0.0,2.5676,2.5676,,,2.5676,0.0,0.0
2011-08-19,0.0,2.6021,2.6021,,,2.6021,0.0,0.0
2011-08-22,0.0,2.6042,2.6042,,,2.6042,0.0,0.0
2011-10-03,0.0,0.0,0.0,,,2.3439,0.0,0.0
2011-10-04,0.0,0.0,0.0,,,2.3066,0.0,0.0
2011-10-05,0.0,0.0,0.0,,,2.384,0.0,0.0
2011-10-06,0.0,0.0,0.0,,,2.4415,0.0,0.0
