Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.7036,0.0,0.0
2015-12-01,,,,,0.0275,1.7311,0.0,0.0
2015-12-02,,,,,0.0357,1.6954,0.0,0.0
2015-12-03,,,,,0.0158,1.7112,0.0,0.0
2015-12-04,,,,,0.0237,1.6875,0.0,0.0
2015-12-07,,,,,0.0387,1.6488,0.0,0.0
2015-12-08,,,,,0.0078,1.6566,0.0,0.0
2015-12-09,,,,,0.0068,1.6634,0.0,0.0
2015-12-10,,,,,0.0054,1.6688,0.0,0.0
2015-12-11,,,,,0.0331,1.6357,0.0,0.0
2015-12-14,,,,,0.0246,1.6111,0.0,0.0
2015-12-15,,,,,0.0092,1.6019,0.0,0.0
2015-12-16,,,,,0.0191,1.5828,0.0,0.0
2015-12-17,,,,,0.0065,1.5763,0.0,0.0
2015-12-18,,,,,0.0126,1.5637,0.0,0.0
2015-12-21,1.6,1.6,1.6,1.6,0.015,1.5487,1.0,0.0
2015-12-22,,,,,0.0121,1.5366,0.0,1.0
2015-12-23,,,,,0.0266,1.5632,0.0,1.0
2015-12-24,,,,,0.0175,1.5807,0.0,1.0
2015-12-28,,,,,0.0271,1.5536,0.0,1.0
2015-12-29,,,,,0.0192,1.5728,0.0,1.0
2015-12-30,,,,,0.0221,1.5507,0.0,1.0
2015-12-31,,,,,0.0123,1.563,0.0,1.0
2016-01-04,,,,,0.0031,1.5661,0.0,1.0
2016-01-05,,,,,0.0068,1.5593,0.0,1.0
2016-01-06,,,,,0.0304,1.5289,0.0,1.0
2016-01-07,,,,,0.0314,1.4975,0.0,1.0
2016-01-08,,,,,0.0037,1.4938,0.0,1.0
2016-01-11,,,,,0.039,1.4548,0.0,1.0
2016-01-12,,,,,0.0295,1.4253,0.0,1.0
2016-01-13,,,,,0.0271,1.3982,0.0,1.0
2016-01-14,,,,,0.0077,1.4059,0.0,1.0
2016-01-15,,,,,0.0519,1.354,0.0,1.0
2016-01-19,,,,,0.0198,1.3342,0.0,1.0
2016-01-20,,,,,0.0102,1.324,0.0,1.0
2016-01-21,,,,,0.0206,1.3446,0.0,1.0
2016-01-22,,,,,0.0586,1.4032,0.0,1.0
2016-01-25,,,,,0.0302,1.373,0.0,1.0
2016-01-26,,,,,0.0249,1.3979,0.0,1.0
2016-01-27,,,,,0.0182,1.4161,0.0,1.0
2016-01-28,,,,,0.0182,1.4343,0.0,1.0
2016-01-29,,,,,0.0314,1.4657,0.0,1.0
2016-02-01,,,,,0.047,1.4187,0.0,1.0
2016-02-02,,,,,0.032,1.3867,0.0,1.0
2016-02-03,,,,,0.033,1.4197,0.0,1.0
2016-02-04,,,,,0.002,1.4217,0.0,1.0
2016-02-05,,,,,0.0115,1.4102,0.0,1.0
2016-02-08,,,,,0.0076,1.4026,0.0,1.0
2016-02-09,,,,,0.0543,1.3483,0.0,1.0
2016-02-10,,,,,0.0014,1.3469,0.0,1.0
2016-02-11,,,,,0.0025,1.3494,0.0,1.0
2016-02-12,,,,,0.064,1.4134,0.0,1.0
2016-02-16,,,,,0.0344,1.379,0.0,1.0
2016-02-17,,,,,0.0365,1.4155,0.0,1.0
2016-02-18,,,,,0.0111,1.4044,0.0,1.0
2016-02-19,,,,,0.0175,1.3869,0.0,1.0
2016-02-22,,,,,0.0291,1.416,0.0,1.0
2016-02-23,,,,,0.0259,1.3901,0.0,1.0
2016-02-24,,,,,0.0277,1.4178,0.0,1.0
2016-02-25,,,,,0.0081,1.4259,0.0,1.0
2016-02-26,,,,,0.0135,1.4124,0.0,1.0
2016-02-29,,,,,0.0199,1.4323,0.0,1.0
2016-03-01,,,,,0.0026,1.4297,0.0,1.0
2016-03-02,,,,,0.0056,1.4353,0.0,1.0
2016-03-03,,,,,0.0005,1.4358,0.0,1.0
2016-03-04,,,,,0.0241,1.4599,0.0,1.0
2016-03-07,,,,,0.0405,1.5004,0.0,1.0
2016-03-08,,,,,0.0137,1.4867,0.0,1.0
2016-03-09,,,,,0.0345,1.5212,0.0,1.0
2016-03-10,,,,,0.0182,1.503,0.0,1.0
2016-03-11,,,,,0.0093,1.5123,0.0,1.0
2016-03-14,,,,,0.0222,1.4901,0.0,1.0
2016-03-15,,,,,0.0173,1.4728,0.0,1.0
2016-03-16,,,,,0.0311,1.5039,0.0,1.0
2016-03-17,,,,,0.0141,1.518,0.0,1.0
2016-03-18,,,,,0.0109,1.5071,0.0,1.0
2016-03-21,,,,,0.0172,1.5243,0.0,1.0
2016-03-22,,,,,0.0115,1.5358,0.0,1.0
2016-03-23,,,,,0.0349,1.5009,0.0,1.0
2016-03-24,,,,,0.0159,1.5168,0.0,1.0
2016-03-28,,,,,0.0021,1.5147,0.0,1.0
2016-03-29,,,,,0.0103,1.5044,0.0,1.0
2016-03-30,,,,,0.0015,1.5059,0.0,1.0
2016-03-31,,,,,0.0004,1.5055,0.0,1.0
2016-04-01,,,,,0.0394,1.4661,0.0,1.0
2016-04-04,,,,,0.0265,1.4396,0.0,1.0
2016-04-05,,,,,0.011,1.4506,0.0,1.0
2016-04-06,,,,,0.0501,1.5007,0.0,1.0
2016-04-07,,,,,0.0144,1.4863,0.0,1.0
2016-04-08,,,,,0.0519,1.5382,0.0,1.0
2016-04-11,,,,,0.0258,1.564,0.0,1.0
2016-04-12,,,,,0.0166,1.5806,0.0,1.0
2016-04-13,,,,,0.0002,1.5804,0.0,1.0
2016-04-14,,,,,0.0047,1.5757,0.0,1.0
2016-04-15,,,,,0.0294,1.5463,0.0,1.0
2016-04-18,,,,,0.0112,1.5351,0.0,1.0
2016-04-19,,,,,0.0259,1.561,0.0,1.0
2016-04-20,,,,,0.039,1.6,0.0,1.0
2016-04-21,,,,,0.0198,1.5802,0.0,1.0
2016-04-22,,,,,0.0156,1.5958,0.0,1.0
2016-04-25,,,,,0.007,1.5888,0.0,1.0
2016-04-26,,,,,0.0277,1.6165,0.0,1.0
2016-04-27,,,,,0.0168,1.6333,0.0,1.0
2016-04-28,,,,,0.0141,1.6474,0.0,1.0
2016-04-29,,,,,0.0102,1.6372,0.0,1.0
2016-05-02,,,,,0.0202,1.617,0.0,1.0
2016-05-03,,,,,0.0216,1.5954,0.0,1.0
2016-05-04,,,,,0.0011,1.5943,0.0,1.0
2016-05-05,,,,,0.0049,1.5992,0.0,1.0
2016-05-06,,,,,0.0226,1.6218,0.0,1.0
2016-05-09,,,,,0.0289,1.5929,0.0,1.0
2016-05-10,,,,,0.0389,1.6318,0.0,1.0
2016-05-11,,,,,0.0385,1.6703,0.0,1.0
2016-05-12,,,,,0.0061,1.6642,0.0,1.0
2016-05-13,,,,,0.0212,1.643,0.0,1.0
2016-05-16,,,,,0.0112,1.6542,0.0,1.0
2016-05-17,,,,,0.0156,1.6698,0.0,1.0
2016-05-18,,,,,0.0091,1.6789,0.0,1.0
2016-05-19,,,,,0.0013,1.6776,0.0,1.0
2016-05-20,,,,,0.0056,1.672,0.0,1.0
2016-05-23,,,,,0.0014,1.6706,0.0,1.0
2016-05-24,,,,,0.0032,1.6738,0.0,1.0
2016-05-25,,,,,0.0124,1.6862,0.0,1.0
2016-05-26,,,,,0.0033,1.6829,0.0,1.0
2016-05-27,,,,,0.005,1.6879,0.0,1.0
2016-05-31,,,,,0.0131,1.6748,0.0,1.0
2016-06-01,,,,,0.0042,1.679,0.0,1.0
2016-06-02,,,,,0.0044,1.6834,0.0,1.0
2016-06-03,,,,,0.0093,1.6741,0.0,1.0
2016-06-06,,,,,0.0169,1.691,0.0,1.0
2016-06-07,,,,,0.0215,1.7125,0.0,1.0
2016-06-08,,,,,0.0262,1.7387,0.0,1.0
