Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-12,1.8455,1.8455,1.8455,,,1.8455,0.0,0.0
2007-02-13,1.8481,1.8481,1.8481,,,1.8481,0.0,0.0
2007-02-14,1.8122,1.8122,1.8122,,,1.8122,0.0,0.0
2007-02-15,1.8054,1.8054,1.8054,,,1.8054,0.0,0.0
2007-02-16,1.8338,1.8338,1.8338,,,1.8338,0.0,0.0
2007-02-19,1.8338,1.8338,1.8338,,,1.8338,0.0,0.0
2007-02-20,1.8116,1.8116,1.8116,,,1.8116,0.0,0.0
2007-02-21,1.8452,1.8452,1.8452,,,1.8452,0.0,0.0
2007-02-22,1.8838,1.8838,1.8838,,,1.8838,0.0,0.0
2007-02-23,1.9106,1.9106,1.9106,,,1.9106,0.0,0.0
2007-02-26,1.9132,1.9132,1.9132,,,1.9132,0.0,0.0
2007-02-27,1.9096,1.9096,1.9096,,,1.9096,2.0,1.0
2007-02-28,1.9298,1.9298,1.9298,,,1.9298,0.0,1.0
2007-03-01,1.9216,1.9216,1.9216,,,1.9216,2.0,1.0
2007-03-02,1.8918,1.8918,1.8918,,,1.8918,2.0,1.0
2007-03-05,1.8592,1.8592,1.8592,,,1.8592,2.0,1.0
2007-03-06,1.8863,1.8863,1.8863,,,1.8863,2.0,1.0
2007-03-07,1.9165,1.9165,1.9165,,,1.9165,2.0,1.0
2007-03-08,1.9158,1.9158,1.9158,,,1.9158,2.0,1.0
2007-03-09,1.8866,1.8866,1.8866,,,1.8866,2.0,1.0
2007-03-12,1.8675,1.8675,1.8675,,,1.8675,2.0,1.0
2007-03-13,1.8713,1.8713,1.8713,,,1.8713,100.0,101.0
2007-03-14,1.8698,1.8698,1.8698,,,1.8698,100.0,101.0
2007-03-15,1.8546,1.8546,1.8546,,,1.8546,0.0,151.0
2007-03-16,1.8691,1.8691,1.8691,,,1.8691,0.0,151.0
2007-03-19,1.8771,1.8771,1.8771,,,1.8771,0.0,151.0
2007-03-20,1.8642,1.8642,1.8642,,,1.8642,0.0,151.0
2007-03-21,1.8683,1.8683,1.8683,,,1.8683,0.0,151.0
2007-03-22,1.9095,1.9095,1.9095,,,1.9095,0.0,151.0
2007-03-23,1.9279,1.9279,1.9279,,,1.9279,0.0,151.0
2007-03-26,1.9657,1.9657,1.9657,,,1.9657,0.0,151.0
2007-03-27,1.9684,1.9684,1.9684,,,1.9684,0.0,151.0
2007-03-28,1.9692,1.9692,1.9692,,,1.9692,0.0,151.0
2007-03-29,1.9974,1.9974,1.9974,,,1.9974,0.0,151.0
2007-03-30,1.9935,1.9935,1.9935,,,1.9935,2.0,151.0
2007-04-02,1.9998,1.9998,1.9998,,,1.9998,0.0,151.0
2007-04-03,1.9842,1.9842,1.9842,,,1.9842,2.0,151.0
2007-04-04,2.0139,2.0139,2.0139,,,2.0139,0.0,151.0
2007-04-05,2.0273,2.0273,2.0273,,,2.0273,0.0,151.0
2007-04-09,1.9858,1.9858,1.9858,,,1.9858,0.0,151.0
2007-04-10,2.0087,2.0087,2.0087,,,2.0087,0.0,151.0
2007-04-11,2.0175,2.0175,2.0175,,,2.0175,0.0,151.0
2007-04-12,2.0377,2.0377,2.0377,,,2.0377,100.0,251.0
2007-04-13,2.033,2.033,2.033,,,2.033,100.0,251.0
2007-04-16,1.9887,1.9887,1.9887,,,1.9887,100.0,251.0
2007-04-17,1.9541,1.9541,1.9541,,,1.9541,100.0,251.0
2007-04-18,1.9743,1.9743,1.9743,,,1.9743,100.0,251.0
2007-04-19,1.9693,1.9693,1.9693,,,1.9693,100.0,251.0
2007-04-20,1.9894,1.9894,1.9894,,,1.9894,100.0,251.0
2007-04-23,2.0234,2.0234,2.0234,,,2.0234,100.0,251.0
2007-04-24,1.9951,1.9951,1.9951,,,1.9951,100.0,251.0
2007-04-25,2.0337,2.0337,2.0337,,,2.0337,25.0,256.0
2007-04-26,2.0179,2.0179,2.0179,,,2.0179,100.0,256.0
2007-04-27,2.0433,2.0433,2.0433,,,2.0433,100.0,256.0
2007-04-30,2.0244,2.0244,2.0244,,,2.0244,19.0,275.0
2007-05-01,2.0227,2.0227,2.0227,,,2.0227,2.0,277.0
2007-05-02,2.0106,2.0106,2.0106,,,2.0106,24.0,277.0
2007-05-03,2.0046,2.0046,2.0046,,,2.0046,10.0,280.0
2007-05-04,1.9914,1.9914,1.9914,,,1.9914,295.0,380.0
2007-05-09,1.9979,1.9979,1.9979,,,1.9979,20.0,385.0
2007-05-11,2.0181,2.0181,2.0181,,,2.0181,210.0,500.0
2007-05-16,2.026,2.026,2.026,,,2.026,224.0,500.0
2007-05-17,2.0801,2.0801,2.0801,,,2.0801,210.0,500.0
2007-05-18,2.0612,2.0612,2.0612,,,2.0612,4.0,506.0
2007-05-24,2.0644,2.0644,2.0644,,,2.0644,112.0,506.0
2007-05-25,2.0935,2.0935,2.0935,,,2.0935,112.0,506.0
2007-05-29,2.0099,2.0099,2.0099,,,2.0099,16.0,496.0
2007-06-01,2.0771,2.0771,2.0771,,,2.0771,30.0,509.0
2007-06-05,2.0806,2.0806,2.0806,,,2.0806,1045.0,624.0
2007-06-06,2.0944,2.0944,2.0944,,,2.0944,135.0,539.0
2007-06-07,2.1082,2.1082,2.1082,,,2.1082,40.0,539.0
2007-06-08,2.0681,2.0681,2.0681,,,2.0681,40.0,539.0
2007-06-11,2.0881,2.0881,2.0881,,,2.0881,55.0,539.0
2007-06-12,2.0737,2.0737,2.0737,,,2.0737,2.0,503.0
2007-06-15,2.1241,2.1241,2.1241,,,2.1241,10.0,498.0
2007-06-18,2.1348,2.1348,2.1348,,,2.1348,17.0,510.0
2007-06-20,2.1241,2.1241,2.1241,,,2.1241,15.0,515.0
2007-06-22,2.1376,2.1376,2.1376,,,2.1376,12.0,521.0
2007-06-25,2.1284,2.1284,2.1284,,,2.1284,15.0,521.0
2007-06-26,2.0949,2.0949,2.0949,,,2.0949,12.0,521.0
2007-06-27,2.0994,2.0994,2.0994,,,2.0994,15.0,521.0
2007-06-28,2.1001,2.1001,2.1001,,,2.1001,20.0,520.0
