Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2011-07-29,0.0,2.8611,2.8611,,,2.8611,0.0,0.0
2011-08-01,0.0,2.8589,2.8589,,,2.8589,0.0,0.0
2011-08-02,0.0,2.8249,2.8249,,,2.8249,0.0,0.0
2011-08-03,0.0,2.7269,2.7269,,,2.7269,0.0,0.0
2011-08-04,0.0,2.5835,2.5835,,,2.5835,0.0,0.0
2011-08-05,0.0,2.6348,2.6348,,,2.6348,0.0,0.0
2011-08-08,0.0,2.5021,2.5021,,,2.5021,0.0,0.0
2011-08-09,0.0,2.4789,2.4789,,,2.4789,0.0,0.0
2011-08-10,0.0,2.5679,2.5679,,,2.5679,0.0,0.0
2011-08-11,0.0,2.5819,2.5819,,,2.5819,0.0,0.0
2011-08-12,0.0,2.5676,2.5676,,,2.5676,0.0,0.0
2011-08-15,0.0,2.6216,2.6216,,,2.6216,0.0,0.0
2011-08-16,0.0,2.6043,2.6043,,,2.6043,0.0,0.0
2011-08-17,0.0,2.6413,2.6413,,,2.6413,0.0,0.0
2011-08-18,0.0,2.5576,2.5576,,,2.5576,0.0,0.0
2011-08-19,0.0,2.5921,2.5921,,,2.5921,0.0,0.0
2011-08-22,0.0,2.5942,2.5942,,,2.5942,0.0,0.0
2011-10-03,0.0,0.0,0.0,,,2.3339,0.0,0.0
2011-10-04,0.0,0.0,0.0,,,2.2966,0.0,0.0
2011-10-05,0.0,0.0,0.0,,,2.374,0.0,0.0
2011-10-06,0.0,0.0,0.0,,,2.4315,0.0,0.0
2011-10-07,0.0,0.0,0.0,,,2.4197,0.0,0.0
2011-10-10,0.0,0.0,0.0,,,2.4643,0.0,0.0
2011-10-11,0.0,0.0,0.0,,,2.4879,0.0,0.0
2011-10-12,0.0,0.0,0.0,,,2.4916,0.0,0.0
2011-10-13,0.0,0.0,0.0,,,2.4743,0.0,0.0
2011-10-14,0.0,0.0,0.0,,,2.511,0.0,0.0
2011-10-18,0.0,0.0,0.0,,,2.5284,0.0,0.0
2011-10-20,0.0,0.0,0.0,,,2.482,0.0,0.0
2011-10-21,0.0,0.0,0.0,,,2.4799,0.0,0.0
2011-10-24,0.0,0.0,0.0,,,2.5124,0.0,0.0
2011-10-25,0.0,0.0,0.0,,,2.4997,0.0,0.0
