Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.8186,0.0,0.0
2016-12-02,,,,,0.0237,1.8423,0.0,0.0
2016-12-05,,,,,0.0143,1.8566,0.0,0.0
2016-12-06,,,,,0.0235,1.8331,0.0,0.0
2016-12-07,,,,,0.0218,1.8113,0.0,0.0
2016-12-08,,,,,0.0114,1.7999,0.0,0.0
2016-12-09,,,,,0.004,1.7959,0.0,0.0
2016-12-12,,,,,0.0111,1.807,0.0,0.0
2016-12-13,,,,,0.0108,1.7962,0.0,0.0
2016-12-14,,,,,0.023,1.7732,0.0,0.0
2016-12-15,,,,,0.0009,1.7723,0.0,0.0
2016-12-16,,,,,0.0102,1.7825,0.0,0.0
2016-12-19,,,,,0.0034,1.7859,0.0,0.0
2016-12-20,,,,,0.0255,1.8114,0.0,0.0
2016-12-21,,,,,0.0102,1.8012,0.0,0.0
2016-12-22,,,,,0.001,1.8022,0.0,0.0
2016-12-23,,,,,0.0087,1.8109,0.0,0.0
2016-12-27,,,,,0.0155,1.8264,0.0,0.0
2016-12-28,,,,,0.0025,1.8239,0.0,0.0
2016-12-29,,,,,0.0025,1.8264,0.0,0.0
2016-12-30,,,,,0.0057,1.8321,0.0,0.0
2017-01-03,,,,,0.0311,1.801,0.0,0.0
2017-01-04,,,,,0.0244,1.8254,0.0,0.0
2017-01-05,,,,,0.0066,1.8188,0.0,0.0
2017-01-06,,,,,0.0103,1.8085,0.0,0.0
2017-01-09,,,,,0.0491,1.7594,0.0,0.0
2017-01-10,,,,,0.0184,1.741,0.0,0.0
2017-01-11,,,,,0.0201,1.7611,0.0,0.0
2017-01-12,,,,,0.0102,1.7713,0.0,0.0
2017-01-13,,,,,0.0028,1.7685,0.0,0.0
2017-01-17,,,,,0.0048,1.7637,0.0,0.0
2017-01-18,,,,,0.0471,1.7166,0.0,0.0
2017-01-19,,,,,0.0033,1.7199,0.0,0.0
2017-01-20,,,,,0.0312,1.7511,0.0,0.0
2017-01-23,,,,,0.0062,1.7449,0.0,0.0
2017-01-24,,,,,0.0242,1.7207,0.0,0.0
2017-01-25,,,,,0.0198,1.7009,0.0,0.0
2017-01-26,,,,,0.014,1.7149,0.0,0.0
2017-01-27,,,,,0.0221,1.6928,0.0,0.0
2017-01-30,,,,,0.0111,1.6817,0.0,0.0
2017-01-31,,,,,0.0038,1.6855,0.0,0.0
2017-02-01,,,,,0.0207,1.7062,0.0,0.0
2017-02-02,,,,,0.0113,1.6949,0.0,0.0
2017-02-03,,,,,0.0152,1.7101,0.0,0.0
2017-02-06,,,,,0.0227,1.6874,0.0,0.0
2017-02-07,,,,,0.0147,1.6727,0.0,0.0
2017-02-08,,,,,0.0121,1.6848,0.0,0.0
2017-02-09,,,,,0.0072,1.692,0.0,0.0
2017-02-10,,,,,0.0105,1.7025,0.0,0.0
2017-02-13,,,,,0.0299,1.6726,0.0,0.0
2017-02-14,,,,,0.001,1.6716,0.0,0.0
2017-02-15,,,,,0.0039,1.6677,0.0,0.0
2017-02-16,,,,,0.0069,1.6608,0.0,0.0
2017-02-17,,,,,0.0037,1.6571,0.0,0.0
2017-02-21,,,,,0.0167,1.6404,0.0,0.0
2017-02-22,,,,,0.0033,1.6371,0.0,0.0
2017-02-23,,,,,0.0125,1.6496,0.0,0.0
2017-02-24,,,,,0.0024,1.6472,0.0,0.0
2017-02-27,,,,,0.0045,1.6517,0.0,0.0
2017-02-28,,,,,0.0027,1.6544,0.0,0.0
2017-03-01,,,,,0.0141,1.6403,0.0,0.0
2017-03-02,,,,,0.0193,1.621,0.0,0.0
2017-03-03,,,,,0.0171,1.6381,0.0,0.0
2017-03-06,,,,,0.0019,1.6362,0.0,0.0
2017-03-07,,,,,0.0009,1.6353,0.0,0.0
2017-03-08,,,,,0.0405,1.5948,0.0,0.0
2017-03-09,,,,,0.0244,1.5704,0.0,0.0
2017-03-10,,,,,0.0236,1.5468,0.0,0.0
2017-03-13,,,,,0.0021,1.5447,0.0,0.0
2017-03-14,,,,,0.0055,1.5392,0.0,0.0
2017-03-15,,,,,0.0068,1.546,0.0,0.0
2017-03-16,,,,,0.001,1.545,0.0,0.0
2017-03-17,,,,,0.0013,1.5437,0.0,0.0
2017-03-20,,,,,0.0065,1.5502,0.0,0.0
2017-03-21,,,,,0.0083,1.5419,0.0,0.0
2017-03-22,,,,,0.0024,1.5443,0.0,0.0
2017-03-23,,,,,0.0066,1.5377,0.0,0.0
2017-03-24,,,,,0.0074,1.5451,0.0,0.0
2017-03-27,,,,,0.0061,1.5512,0.0,0.0
2017-03-28,,,,,0.0025,1.5537,0.0,0.0
2017-03-29,,,,,0.019,1.5727,0.0,0.0
2017-03-30,,,,,0.0106,1.5833,0.0,0.0
2017-03-31,,,,,0.0148,1.5981,0.0,0.0
2017-04-03,,,,,0.0018,1.5963,0.0,0.0
2017-04-04,,,,,0.0218,1.6181,0.0,0.0
2017-04-05,,,,,0.0045,1.6226,0.0,0.0
