Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2005-10-03,1.95,1.95,1.9308,,,1.9308,2.0,274.0
2005-10-04,1.9023,1.9023,1.9023,,,1.9023,0.0,274.0
2005-10-05,1.8346,1.8346,1.8346,,,1.8346,10.0,274.0
2005-10-06,1.8,1.8007,1.8,,,1.8007,3.0,267.0
2005-10-07,1.811,1.8291,1.8,,,1.8291,18.0,270.0
2005-10-10,1.8241,1.8241,1.8241,,,1.8241,100.0,370.0
2005-10-11,1.863,1.863,1.863,,,1.863,0.0,370.0
2005-10-12,1.8662,1.8662,1.8662,,,1.8662,0.0,370.0
2005-10-13,1.835,1.835,1.8331,,,1.8331,156.0,499.0
2005-10-14,1.79,1.8164,1.79,,,1.8164,107.0,578.0
2005-10-17,1.853,1.853,1.853,,,1.853,25.0,603.0
2005-10-18,1.7971,1.7971,1.7971,,,1.7971,53.0,653.0
2005-10-19,1.765,1.7692,1.765,,,1.7692,100.0,553.0
2005-10-20,1.75,1.75,1.7263,,,1.7263,133.0,552.0
2005-10-21,1.7752,1.7752,1.7752,,,1.7752,85.0,577.0
2005-10-24,1.7548,1.7548,1.7548,,,1.7548,0.0,577.0
2005-10-25,1.81,1.813,1.81,,,1.813,235.0,751.0
2005-10-26,1.7576,1.7576,1.7576,,,1.7576,209.0,891.0
2005-10-27,1.7707,1.7707,1.7707,,,1.7707,0.0,891.0
2005-10-28,1.7976,1.7976,1.7976,,,1.7976,0.0,890.0
2005-10-31,1.7416,1.7416,1.7416,,,1.7416,0.0,890.0
2005-11-01,1.755,1.762,1.755,,,1.762,47.0,900.0
2005-11-02,1.7445,1.7445,1.7445,,,1.7445,100.0,1000.0
2005-11-03,1.7981,1.7981,1.7981,,,1.7981,180.0,1165.0
2005-11-04,1.7786,1.7786,1.7786,,,1.7786,0.0,1165.0
2005-11-07,1.7515,1.7515,1.7515,,,1.7515,66.0,1106.0
2005-11-08,1.755,1.7569,1.755,,,1.7569,201.0,1296.0
2005-11-09,1.76,1.76,1.7336,,,1.7336,173.0,1258.0
2005-11-10,1.7,1.7088,1.7,,,1.7088,211.0,1508.0
2005-11-11,1.7025,1.7025,1.7025,,,1.7025,436.0,1468.0
2005-11-14,1.7052,1.7052,1.7052,,,1.7052,15.0,1468.0
2005-11-15,1.6757,1.6757,1.6757,,,1.6757,132.0,1533.0
2005-11-16,1.6997,1.6997,1.6997,,,1.6997,183.0,1552.0
2005-11-17,1.6783,1.6783,1.6783,,,1.6783,202.0,1576.0
2005-11-18,1.672,1.6823,1.672,,,1.6823,54.0,1564.0
2005-11-21,1.6841,1.6841,1.6841,,,1.6841,4.0,1566.0
2005-11-22,1.7175,1.7252,1.7175,,,1.7252,500.0,1836.0
2005-11-23,1.7053,1.7053,1.7053,,,1.7053,85.0,1867.0
