Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-09-02,,,,,0.0,2.4705,0.0,0.0
2014-09-03,,,,,0.0395,2.51,0.0,0.0
2014-09-04,,,,,0.0202,2.4898,0.0,0.0
2014-09-05,,,,,0.0092,2.4806,0.0,0.0
2014-09-08,,,,,0.0003,2.4809,0.0,0.0
2014-09-09,,,,,0.0069,2.474,0.0,0.0
2014-09-10,,,,,0.0005,2.4745,0.0,0.0
2014-09-11,,,,,0.0093,2.4652,0.0,0.0
2014-09-12,,,,,0.0035,2.4617,0.0,0.0
2014-09-15,,,,,0.0009,2.4626,0.0,0.0
2014-09-16,,,,,0.0213,2.4839,0.0,0.0
2014-09-17,,,,,0.0022,2.4817,0.0,0.0
2014-09-18,,,,,0.0163,2.4654,0.0,0.0
2014-09-19,,,,,0.0159,2.4813,0.0,0.0
2014-09-22,,,,,0.0201,2.4612,0.0,0.0
2014-09-23,,,,,0.0014,2.4598,0.0,0.0
2014-09-24,,,,,0.007,2.4668,0.0,0.0
2014-09-25,,,,,0.0006,2.4662,0.0,0.0
2014-09-26,,,,,0.0123,2.4539,0.0,0.0
2014-09-29,,,,,0.0024,2.4515,0.0,0.0
2014-09-30,,,,,0.0525,2.399,0.0,0.0
2014-10-01,,,,,0.0056,2.3934,0.0,0.0
2014-10-02,,,,,0.0211,2.3723,0.0,0.0
2014-10-03,,,,,0.023,2.3493,0.0,0.0
2014-10-06,,,,,0.0231,2.3724,0.0,0.0
2014-10-07,,,,,0.0193,2.3531,0.0,0.0
2014-10-08,,,,,0.0089,2.3442,0.0,0.0
2014-10-09,,,,,0.035,2.3092,0.0,0.0
2014-10-10,,,,,0.0211,2.3303,0.0,0.0
2014-10-13,,,,,0.0198,2.3501,0.0,0.0
2014-10-14,,,,,0.063,2.2871,0.0,0.0
2014-10-15,,,,,0.0362,2.2509,0.0,0.0
2014-10-16,,,,,0.0321,2.283,0.0,0.0
2014-10-17,,,,,0.0058,2.2888,0.0,0.0
2014-10-20,,,,,0.0077,2.2811,0.0,0.0
