Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-12,1.7815,1.7815,1.7815,,,1.7815,0.0,0.0
2007-02-13,1.7286,1.7286,1.7286,,,1.7286,0.0,0.0
2007-02-14,1.6687,1.6687,1.6687,,,1.6687,0.0,0.0
2007-02-15,1.6574,1.6574,1.6574,,,1.6574,0.0,0.0
2007-02-16,1.6793,1.6793,1.6793,,,1.6793,0.0,0.0
2007-02-19,1.6793,1.6793,1.6793,,,1.6793,0.0,0.0
2007-02-20,1.6571,1.6571,1.6571,,,1.6571,0.0,0.0
2007-02-21,1.6907,1.6907,1.6907,,,1.6907,0.0,0.0
2007-02-22,1.7293,1.7293,1.7293,,,1.7293,0.0,0.0
2007-02-23,1.7596,1.7596,1.7596,,,1.7596,0.0,0.0
2007-02-26,1.7622,1.7622,1.7622,,,1.7622,0.0,0.0
2007-02-27,1.7586,1.7586,1.7586,,,1.7586,0.0,0.0
2007-02-28,1.7788,1.7788,1.7788,,,1.7788,0.0,0.0
2007-03-01,1.7706,1.7706,1.7706,,,1.7706,0.0,0.0
2007-03-02,1.7408,1.7408,1.7408,,,1.7408,0.0,0.0
2007-03-05,1.7082,1.7082,1.7082,,,1.7082,0.0,0.0
2007-03-06,1.7353,1.7353,1.7353,,,1.7353,0.0,0.0
2007-03-07,1.7655,1.7655,1.7655,,,1.7655,0.0,0.0
2007-03-08,1.7648,1.7648,1.7648,,,1.7648,0.0,0.0
2007-03-09,1.7356,1.7356,1.7356,,,1.7356,0.0,0.0
2007-03-12,1.7165,1.7165,1.7165,,,1.7165,0.0,0.0
2007-03-13,1.7203,1.7203,1.7203,,,1.7203,0.0,0.0
2007-03-14,1.7188,1.7188,1.7188,,,1.7188,0.0,0.0
2007-03-15,1.7051,1.7051,1.7051,,,1.7051,0.0,0.0
2007-03-16,1.7196,1.7196,1.7196,,,1.7196,0.0,0.0
2007-03-19,1.7246,1.7246,1.7246,,,1.7246,0.0,0.0
2007-03-20,1.7117,1.7117,1.7117,,,1.7117,0.0,0.0
2007-03-21,1.7158,1.7158,1.7158,,,1.7158,0.0,0.0
2007-03-22,1.76,1.76,1.76,,,1.76,0.0,0.0
2007-03-23,1.7784,1.7784,1.7784,,,1.7784,0.0,0.0
2007-03-26,1.8142,1.8142,1.8142,,,1.8142,0.0,0.0
