Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.5636,0.0,0.0
2015-12-01,,,,,0.0275,1.5911,0.0,0.0
2015-12-02,,,,,0.0357,1.5554,0.0,0.0
2015-12-03,,,,,0.0158,1.5712,0.0,0.0
2015-12-04,,,,,0.0237,1.5475,0.0,0.0
2015-12-07,,,,,0.0387,1.5088,0.0,0.0
2015-12-08,,,,,0.0078,1.5166,0.0,0.0
2015-12-09,,,,,0.0068,1.5234,0.0,0.0
2015-12-10,,,,,0.0054,1.5288,0.0,0.0
2015-12-11,,,,,0.0331,1.4957,0.0,0.0
2015-12-14,,,,,0.0246,1.4711,0.0,0.0
2015-12-15,,,,,0.0092,1.4619,0.0,0.0
2015-12-16,,,,,0.0191,1.4428,0.0,0.0
2015-12-17,,,,,0.0085,1.4343,0.0,0.0
2015-12-18,,,,,0.0126,1.4217,0.0,0.0
2015-12-21,,,,,0.015,1.4067,0.0,0.0
2015-12-22,,,,,0.0121,1.3946,0.0,0.0
2015-12-23,,,,,0.0266,1.4212,0.0,0.0
2015-12-24,,,,,0.0175,1.4387,0.0,0.0
2015-12-28,,,,,0.0271,1.4116,0.0,0.0
2015-12-29,,,,,0.0192,1.4308,0.0,0.0
2015-12-30,,,,,0.0221,1.4087,0.0,0.0
2015-12-31,,,,,0.0123,1.421,0.0,0.0
2016-01-04,,,,,0.0031,1.4241,0.0,0.0
2016-01-05,,,,,0.0068,1.4173,0.0,0.0
2016-01-06,,,,,0.0304,1.3869,0.0,0.0
2016-01-07,,,,,0.0329,1.354,0.0,0.0
2016-01-08,,,,,0.0037,1.3503,0.0,0.0
2016-01-11,,,,,0.039,1.3113,0.0,0.0
2016-01-12,,,,,0.0295,1.2818,0.0,0.0
2016-01-13,,,,,0.0271,1.2547,0.0,0.0
2016-01-14,,,,,0.0077,1.2624,0.0,0.0
2016-01-15,,,,,0.0519,1.2105,0.0,0.0
2016-01-19,,,,,0.0198,1.1907,0.0,0.0
2016-01-20,,,,,0.0102,1.1805,0.0,0.0
2016-01-21,,,,,0.0206,1.2011,0.0,0.0
2016-01-22,,,,,0.0586,1.2597,0.0,0.0
2016-01-25,,,,,0.0302,1.2295,0.0,0.0
2016-01-26,,,,,0.0249,1.2544,0.0,0.0
2016-01-27,,,,,0.0182,1.2726,0.0,0.0
2016-01-28,,,,,0.0182,1.2908,0.0,0.0
2016-01-29,,,,,0.0314,1.3222,0.0,0.0
2016-02-01,,,,,0.047,1.2752,0.0,0.0
2016-02-02,,,,,0.032,1.2432,0.0,0.0
2016-02-03,,,,,0.033,1.2762,0.0,0.0
2016-02-04,,,,,0.002,1.2782,0.0,0.0
2016-02-05,,,,,0.0115,1.2667,0.0,0.0
2016-02-08,,,,,0.0076,1.2591,0.0,0.0
2016-02-09,,,,,0.0543,1.2048,0.0,0.0
2016-02-10,,,,,0.0014,1.2034,0.0,0.0
2016-02-11,,,,,0.0025,1.2059,0.0,0.0
2016-02-12,,,,,0.064,1.2699,0.0,0.0
2016-02-16,,,,,0.0344,1.2355,0.0,0.0
2016-02-17,,,,,0.0365,1.272,0.0,0.0
2016-02-18,,,,,0.0111,1.2609,0.0,0.0
2016-02-19,,,,,0.0175,1.2434,0.0,0.0
2016-02-22,,,,,0.0291,1.2725,0.0,0.0
2016-02-23,,,,,0.0259,1.2466,0.0,0.0
2016-02-24,,,,,0.0277,1.2743,0.0,0.0
2016-02-25,,,,,0.0081,1.2824,0.0,0.0
2016-02-26,,,,,0.0135,1.2689,0.0,0.0
2016-02-29,,,,,0.0199,1.2888,0.0,0.0
2016-03-01,,,,,0.0026,1.2862,0.0,0.0
2016-03-02,,,,,0.0056,1.2918,0.0,0.0
2016-03-03,,,,,0.0005,1.2923,0.0,0.0
2016-03-04,,,,,0.0241,1.3164,0.0,0.0
2016-03-07,,,,,0.0405,1.3569,0.0,0.0
2016-03-08,,,,,0.0137,1.3432,0.0,0.0
2016-03-09,,,,,0.0345,1.3777,0.0,0.0
2016-03-10,,,,,0.0227,1.355,0.0,0.0
2016-03-11,,,,,0.0093,1.3643,0.0,0.0
2016-03-14,,,,,0.0222,1.3421,0.0,0.0
2016-03-15,,,,,0.0173,1.3248,0.0,0.0
2016-03-16,,,,,0.0311,1.3559,0.0,0.0
2016-03-17,,,,,0.0141,1.37,0.0,0.0
2016-03-18,,,,,0.0109,1.3591,0.0,0.0
2016-03-21,,,,,0.0172,1.3763,0.0,0.0
2016-03-22,,,,,0.0115,1.3878,0.0,0.0
2016-03-23,,,,,0.0349,1.3529,0.0,0.0
2016-03-24,,,,,0.0159,1.3688,0.0,0.0
2016-03-28,,,,,0.0021,1.3667,0.0,0.0
2016-03-29,,,,,0.0103,1.3564,0.0,0.0
2016-03-30,,,,,0.0015,1.3579,0.0,0.0
2016-03-31,,,,,0.0004,1.3575,0.0,0.0
2016-04-01,,,,,0.0394,1.3181,0.0,0.0
2016-04-04,,,,,0.0265,1.2916,0.0,0.0
2016-04-05,,,,,0.011,1.3026,0.0,0.0
2016-04-06,,,,,0.0481,1.3507,0.0,0.0
2016-04-07,,,,,0.0144,1.3363,0.0,0.0
2016-04-08,,,,,0.0519,1.3882,0.0,0.0
2016-04-11,,,,,0.0258,1.414,0.0,0.0
2016-04-12,,,,,0.0131,1.4271,0.0,0.0
2016-04-13,,,,,0.0002,1.4269,0.0,0.0
2016-04-14,,,,,0.0047,1.4222,0.0,0.0
2016-04-15,,,,,0.0294,1.3928,0.0,0.0
2016-04-18,,,,,0.0112,1.3816,0.0,0.0
2016-04-19,,,,,0.0259,1.4075,0.0,0.0
2016-04-20,,,,,0.039,1.4465,0.0,0.0
2016-04-21,,,,,0.0198,1.4267,0.0,0.0
2016-04-22,,,,,0.0156,1.4423,0.0,0.0
2016-04-25,,,,,0.007,1.4353,0.0,0.0
2016-04-26,,,,,0.0277,1.463,0.0,0.0
2016-04-27,,,,,0.0168,1.4798,0.0,0.0
2016-04-28,,,,,0.0141,1.4939,0.0,0.0
2016-04-29,,,,,0.0102,1.4837,0.0,0.0
2016-05-02,,,,,0.0217,1.462,0.0,0.0
2016-05-03,,,,,0.0216,1.4404,0.0,0.0
2016-05-04,,,,,0.0011,1.4393,0.0,0.0
2016-05-05,,,,,0.0049,1.4442,0.0,0.0
2016-05-06,,,,,0.0226,1.4668,0.0,0.0
2016-05-09,,,,,0.0289,1.4379,0.0,0.0
2016-05-10,,,,,0.0389,1.4768,0.0,0.0
2016-05-11,,,,,0.0385,1.5153,0.0,0.0
2016-05-12,,,,,0.0061,1.5092,0.0,0.0
2016-05-13,,,,,0.0232,1.486,0.0,0.0
2016-05-16,,,,,0.0112,1.4972,0.0,0.0
2016-05-17,,,,,0.0156,1.5128,0.0,0.0
2016-05-18,,,,,0.0091,1.5219,0.0,0.0
2016-05-19,,,,,0.0013,1.5206,0.0,0.0
2016-05-20,,,,,0.0056,1.515,0.0,0.0
2016-05-23,,,,,0.0014,1.5136,0.0,0.0
2016-05-24,,,,,0.0032,1.5168,0.0,0.0
2016-05-25,,,,,0.0124,1.5292,0.0,0.0
2016-05-26,,,,,0.0033,1.5259,0.0,0.0
2016-05-27,,,,,0.005,1.5309,0.0,0.0
2016-05-31,,,,,0.0131,1.5178,0.0,0.0
2016-06-01,,,,,0.0042,1.522,0.0,0.0
2016-06-02,,,,,0.0044,1.5264,0.0,0.0
2016-06-03,,,,,0.0093,1.5171,0.0,0.0
2016-06-06,,,,,0.0169,1.534,0.0,0.0
2016-06-07,,,,,0.0215,1.5555,0.0,0.0
2016-06-08,,,,,0.0262,1.5817,0.0,0.0
2016-06-09,,,,,0.0098,1.5719,0.0,0.0
2016-06-10,,,,,0.0266,1.5453,0.0,0.0
2016-06-13,,,,,0.007,1.5383,0.0,0.0
2016-06-14,,,,,0.01,1.5283,0.0,0.0
2016-06-15,,,,,0.0119,1.5164,0.0,0.0
2016-06-16,,,,,0.0331,1.4833,0.0,0.0
2016-06-17,,,,,0.0396,1.5229,0.0,0.0
2016-06-20,,,,,0.0305,1.5534,0.0,0.0
2016-06-21,,,,,0.0008,1.5542,0.0,0.0
2016-06-22,,,,,0.0128,1.5414,0.0,0.0
2016-06-23,,,,,0.0264,1.5678,0.0,0.0
2016-06-24,,,,,0.0582,1.5096,0.0,0.0
2016-06-27,,,,,0.0229,1.4867,0.0,0.0
2016-06-28,,,,,0.0394,1.5261,0.0,0.0
2016-06-29,,,,,0.0488,1.5749,0.0,0.0
2016-06-30,,,,,0.0209,1.554,0.0,0.0
2016-07-01,,,,,0.0366,1.5906,0.0,0.0
2016-07-05,,,,,0.0452,1.5454,0.0,0.0
2016-07-06,,,,,0.0207,1.5661,0.0,0.0
2016-07-07,,,,,0.0426,1.5235,0.0,0.0
2016-07-08,,,,,0.0065,1.53,0.0,0.0
2016-07-11,,,,,0.0004,1.5296,0.0,0.0
2016-07-12,,,,,0.0407,1.5703,0.0,0.0
2016-07-13,,,,,0.0445,1.5258,0.0,0.0
2016-07-14,,,,,0.0149,1.5407,0.0,0.0
2016-07-15,,,,,0.0079,1.5328,0.0,0.0
2016-07-18,,,,,0.0227,1.5101,0.0,0.0
2016-07-19,,,,,0.01,1.5201,0.0,0.0
2016-07-20,,,,,0.0012,1.5213,0.0,0.0
2016-07-21,,,,,0.0176,1.5037,0.0,0.0
2016-07-22,,,,,0.0013,1.505,0.0,0.0
2016-07-25,,,,,0.0109,1.4941,0.0,0.0
2016-07-26,,,,,0.0024,1.4917,0.0,0.0
2016-07-27,,,,,0.0271,1.4646,0.0,0.0
2016-07-28,,,,,0.0269,1.4377,0.0,0.0
2016-07-29,,,,,0.0116,1.4493,0.0,0.0
2016-08-01,,,,,0.0252,1.4241,0.0,0.0
2016-08-02,,,,,0.0105,1.4136,0.0,0.0
2016-08-03,,,,,0.025,1.4386,0.0,0.0
2016-08-04,,,,,0.0105,1.4491,0.0,0.0
2016-08-05,,,,,0.0053,1.4438,0.0,0.0
2016-08-08,,,,,0.012,1.4558,0.0,0.0
2016-08-09,,,,,0.0124,1.4434,0.0,0.0
2016-08-10,,,,,0.0158,1.4276,0.0,0.0
2016-08-11,,,,,0.0408,1.4684,0.0,0.0
2016-08-12,,,,,0.0126,1.481,0.0,0.0
2016-08-15,,,,,0.0263,1.5073,0.0,0.0
2016-08-16,,,,,0.0235,1.5308,0.0,0.0
2016-08-17,,,,,0.0161,1.5469,0.0,0.0
2016-08-18,,,,,0.019,1.5659,0.0,0.0
2016-08-19,,,,,0.005,1.5709,0.0,0.0
2016-08-22,,,,,0.035,1.5359,0.0,0.0
2016-08-23,,,,,0.0168,1.5527,0.0,0.0
2016-08-24,,,,,0.0227,1.53,0.0,0.0
2016-08-25,,,,,0.0084,1.5384,0.0,0.0
2016-08-26,,,,,0.0067,1.5451,0.0,0.0
2016-08-29,,,,,0.02,1.5251,0.0,0.0
2016-08-30,,,,,0.0172,1.5079,0.0,0.0
2016-08-31,,,,,0.0418,1.4661,0.0,0.0
2016-09-01,,,,,0.0306,1.4355,0.0,0.0
