Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2005-10-03,1.7253,1.7253,1.7253,,,1.7253,0.0,0.0
2005-10-04,1.6943,1.6943,1.6943,,,1.6943,0.0,0.0
2005-10-05,1.64,1.64,1.64,,,1.64,0.0,0.0
2005-10-06,1.605,1.605,1.605,,,1.605,0.0,0.0
2005-10-07,1.64,1.64,1.64,,,1.64,0.0,0.0
2005-10-10,1.63,1.63,1.63,,,1.63,0.0,0.0
2005-10-11,1.67,1.67,1.67,,,1.67,0.0,0.0
2005-10-12,1.67,1.67,1.67,,,1.67,0.0,0.0
2005-10-13,1.6231,1.6231,1.6231,,,1.6231,0.0,0.0
2005-10-14,1.605,1.605,1.605,,,1.605,0.0,0.0
2005-10-17,1.6575,1.6575,1.6575,,,1.6575,0.0,0.0
2005-10-18,1.5905,1.5905,1.5905,,,1.5905,0.0,0.0
2005-10-19,1.5917,1.5917,1.5917,,,1.5917,0.0,0.0
2005-10-20,1.555,1.555,1.555,,,1.555,0.0,0.0
2005-10-21,1.62,1.62,1.62,,,1.62,0.0,0.0
2005-10-24,1.6438,1.6438,1.6438,,,1.6438,0.0,0.0
2005-10-25,1.692,1.692,1.692,,,1.692,0.0,0.0
2005-10-26,1.6386,1.6386,1.6386,,,1.6386,0.0,0.0
2005-10-27,1.6497,1.6497,1.6497,,,1.6497,10.0,10.0
2005-10-28,1.6746,1.6746,1.6746,,,1.6746,0.0,10.0
2005-10-31,1.6206,1.6206,1.6206,,,1.6206,0.0,10.0
2005-11-01,1.6415,1.6415,1.6415,,,1.6415,0.0,10.0
2005-11-02,1.6275,1.6275,1.6275,,,1.6275,0.0,10.0
2005-11-03,1.6811,1.6811,1.6811,,,1.6811,0.0,10.0
2005-11-04,1.6616,1.6616,1.6616,,,1.6616,0.0,10.0
2005-11-07,1.6355,1.6355,1.6355,,,1.6355,0.0,10.0
2005-11-08,1.6459,1.6459,1.6459,,,1.6459,0.0,10.0
2005-11-09,1.6176,1.6176,1.6176,,,1.6176,0.0,10.0
2005-11-10,1.5958,1.5958,1.5958,,,1.5958,0.0,10.0
2005-11-11,1.5895,1.5895,1.5895,,,1.5895,0.0,10.0
2005-11-14,1.5922,1.5922,1.5922,,,1.5922,0.0,10.0
2005-11-15,1.5925,1.5925,1.5637,,,1.5637,24.0,34.0
2005-11-16,1.5985,1.5985,1.5877,,,1.5877,1.0,35.0
2005-11-17,1.5673,1.5673,1.5673,,,1.5673,0.0,35.0
2005-11-18,1.5718,1.5718,1.5718,,,1.5718,77.0,110.0
2005-11-21,1.58,1.58,1.5736,,,1.5736,12.0,122.0
2005-11-22,1.6147,1.6147,1.6147,,,1.6147,0.0,122.0
2005-11-23,1.6022,1.6022,1.5948,,,1.5948,1.0,123.0
2005-11-28,1.56,1.56,1.5489,,,1.5489,204.0,302.0
2005-11-29,1.5625,1.5625,1.5376,,,1.5376,381.0,523.0
2005-11-30,1.5744,1.5744,1.5744,,,1.5744,51.0,523.0
2005-12-01,1.6173,1.6173,1.6173,,,1.6173,0.0,523.0
2005-12-02,1.6365,1.6365,1.6365,,,1.6365,0.0,523.0
2005-12-05,1.64,1.64,1.6398,,,1.6398,1.0,523.0
2005-12-06,1.6534,1.6534,1.6534,,,1.6534,0.0,523.0
2005-12-07,1.658,1.66,1.645,,,1.645,4.0,525.0
2005-12-08,1.645,1.6945,1.645,,,1.6945,8.0,526.0
2005-12-09,1.6588,1.6588,1.6588,,,1.6588,0.0,526.0
2005-12-12,1.7024,1.7024,1.7024,,,1.7024,0.0,526.0
2005-12-13,1.7,1.7048,1.7,,,1.7048,1.0,527.0
2005-12-14,1.71,1.7125,1.6917,,,1.6917,3.0,529.0
2005-12-15,1.6698,1.6698,1.6698,,,1.6698,3.0,532.0
2005-12-16,1.665,1.665,1.6322,,,1.6322,5.0,537.0
2005-12-19,1.622,1.622,1.6027,,,1.6027,2.0,537.0
2005-12-20,1.605,1.605,1.602,,,1.602,2.0,539.0
2005-12-21,1.6206,1.6206,1.6206,,,1.6206,0.0,539.0
