Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-10-31,,,,,0.0,2.185,0.0,0.0
2014-11-03,,,,,0.0218,2.1632,0.0,0.0
2014-11-04,,,,,0.0328,2.1304,0.0,0.0
2014-11-05,,,,,0.003,2.1274,0.0,0.0
2014-11-06,,,,,0.0066,2.134,0.0,0.0
2014-11-07,,,,,0.0098,2.1438,0.0,0.0
2014-11-10,,,,,0.0276,2.1162,0.0,0.0
2014-11-11,,,,,0.0035,2.1127,0.0,0.0
2014-11-12,,,,,0.0195,2.0932,0.0,0.0
2014-11-13,,,,,0.0868,2.0064,0.0,0.0
2014-11-14,,,,,0.0407,2.0471,0.0,0.0
2014-11-17,,,,,0.0118,2.0353,0.0,0.0
2014-11-18,,,,,0.0109,2.0244,0.0,0.0
2014-11-19,,,,,0.0195,2.0049,0.0,0.0
2014-11-20,,,,,0.0092,2.0141,0.0,0.0
2014-11-21,,,,,0.0381,2.0522,0.0,0.0
2014-11-24,,,,,0.0168,2.0354,0.0,0.0
2014-11-25,,,,,0.0228,2.0126,0.0,0.0
2014-11-26,,,,,0.0099,2.0027,0.0,0.0
2014-11-28,,,,,0.1629,1.8398,0.0,0.0
2014-12-01,,,,,0.0627,1.9025,0.0,0.0
2014-12-02,,1.9045,,,0.0364,1.8661,0.0,0.0
2014-12-03,,,,,0.0099,1.876,0.0,0.0
2014-12-04,,,,,0.0084,1.8676,0.0,0.0
2014-12-05,,,,,0.0157,1.8519,0.0,0.0
2014-12-08,,,,,0.0602,1.7917,0.0,0.0
2014-12-09,,,,,0.0061,1.7978,0.0,0.0
2014-12-10,,,,,0.0628,1.735,0.0,0.0
2014-12-11,,,,,0.0123,1.7227,0.0,0.0
2014-12-12,,,,,0.0304,1.6923,0.0,0.0
2014-12-15,,,,,0.0236,1.6687,0.0,0.0
2014-12-16,,,,,0.0316,1.6371,0.0,0.0
2014-12-17,,,,,0.0233,1.6604,0.0,0.0
2014-12-18,,,,,0.0287,1.6317,0.0,0.0
2014-12-19,,,,,0.0547,1.6864,0.0,0.0
2014-12-22,,,,,0.0086,1.6778,0.0,0.0
2014-12-23,,,,,0.0457,1.7235,0.0,0.0
2014-12-24,,,,,0.0206,1.7029,0.0,0.0
2014-12-26,,,,,0.0094,1.6935,0.0,0.0
2014-12-29,,,,,0.0257,1.6678,0.0,0.0
2014-12-30,,,,,0.0048,1.6726,0.0,0.0
2014-12-31,,,,,0.0049,1.6677,0.0,0.0
2015-01-02,,,,,0.0235,1.6442,0.0,0.0
2015-01-05,,,,,0.0365,1.6077,0.0,0.0
2015-01-06,,,,,0.0215,1.5862,0.0,0.0
2015-01-07,,,,,0.0045,1.5817,0.0,0.0
2015-01-08,,,,,0.0008,1.5809,0.0,0.0
2015-01-09,,,,,0.0008,1.5817,0.0,0.0
2015-01-12,,,,,0.0386,1.5431,0.0,0.0
2015-01-13,,,,,0.0006,1.5437,0.0,0.0
2015-01-14,,,,,0.0467,1.5904,0.0,0.0
2015-01-15,,,,,0.045,1.5454,0.0,0.0
2015-01-16,,,,,0.0369,1.5823,0.0,0.0
2015-01-20,,,,,0.0492,1.5331,0.0,0.0
2015-01-21,,,,,0.0206,1.5537,0.0,0.0
2015-01-22,,,,,0.014,1.5397,0.0,0.0
2015-01-23,,,,,0.0136,1.5533,0.0,0.0
2015-01-26,,,,,0.0115,1.5418,0.0,0.0
2015-01-27,,,,,0.0371,1.5789,0.0,0.0
2015-01-28,,,,,0.017,1.5619,0.0,0.0
2015-01-29,,,,,0.0148,1.5767,0.0,0.0
2015-01-30,,,,,0.0835,1.6602,0.0,0.0
2015-02-02,,,,,0.036,1.6962,0.0,0.0
2015-02-03,,,,,0.0557,1.7519,0.0,0.0
2015-02-04,,,,,0.0843,1.6676,0.0,0.0
2015-02-05,,,,,0.0413,1.7089,0.0,0.0
2015-02-06,,,,,0.0181,1.727,0.0,0.0
2015-02-09,,,,,0.0178,1.7448,0.0,0.0
2015-02-10,,,,,0.0226,1.7222,0.0,0.0
2015-02-11,,,,,0.0177,1.7045,0.0,0.0
2015-02-12,,,,,0.0491,1.7536,0.0,0.0
2015-02-13,,,,,0.0113,1.7649,0.0,0.0
2015-02-17,,,,,0.0009,1.7658,0.0,0.0
2015-02-18,,,,,0.0424,1.7234,0.0,0.0
2015-02-19,,,,,0.0148,1.7086,0.0,0.0
2015-02-20,,,,,0.0034,1.7052,0.0,0.0
2015-02-23,,,,,0.0129,1.6923,0.0,0.0
2015-02-24,,,,,0.0228,1.7151,0.0,0.0
2015-02-25,,,,,0.0603,1.7754,0.0,0.0
2015-02-26,,,,,0.0319,1.7435,0.0,0.0
2015-02-27,,,,,0.037,1.7805,0.0,0.0
2015-03-02,,,,,0.0523,1.7282,0.0,0.0
2015-03-03,,,,,0.039,1.7672,0.0,0.0
2015-03-04,,,,,0.0222,1.745,0.0,0.0
2015-03-05,,,,,0.0283,1.7167,0.0,0.0
2015-03-06,,,,,0.0152,1.7015,0.0,0.0
2015-03-09,,,,,0.0159,1.6856,0.0,0.0
2015-03-10,,,,,0.008,1.6776,0.0,0.0
2015-03-11,,,,,0.0204,1.698,0.0,0.0
2015-03-12,,,,,0.003,1.695,0.0,0.0
2015-03-13,,,,,0.0026,1.6924,0.0,0.0
2015-03-16,,,,,0.0004,1.692,1.0,0.0
2015-03-17,,,,,0.0096,1.6824,0.0,1.0
2015-03-18,,,,,0.0538,1.7362,0.0,1.0
2015-03-19,,,,,0.032,1.7042,0.0,1.0
2015-03-20,,,,,0.0181,1.7223,0.0,1.0
2015-03-23,,,,,0.0084,1.7307,0.0,1.0
2015-03-24,,,,,0.0218,1.7089,0.0,1.0
2015-03-25,,,,,0.0239,1.7328,0.0,1.0
2015-03-26,,,,,0.0262,1.759,0.0,1.0
2015-03-27,,,,,0.0536,1.7054,0.0,1.0
2015-03-30,,,,,0.0129,1.7183,0.0,1.0
2015-03-31,,,,,0.0168,1.7015,0.0,1.0
2015-04-01,,,,,0.0407,1.7422,0.0,1.0
2015-04-02,,,,,0.0425,1.6997,0.0,1.0
2015-04-06,,,,,0.0516,1.7513,2.0,1.0
2015-04-07,,,,,0.0072,1.7441,0.0,2.0
2015-04-08,,,,,0.0589,1.6852,0.0,2.0
2015-04-09,,,,,0.021,1.7062,0.0,2.0
2015-04-10,,,,,0.0242,1.7304,0.0,2.0
2015-04-13,,,,,0.0042,1.7346,0.0,2.0
2015-04-14,,,,,0.0133,1.7479,0.0,2.0
2015-04-15,,,,,0.0656,1.8135,0.0,2.0
