Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-12-03,2.057,2.057,2.057,,,2.057,0.0,0.0
2007-12-04,2.0791,2.0791,2.0791,,,2.0791,0.0,0.0
2007-12-05,2.0543,2.0543,2.0543,,,2.0543,0.0,0.0
2007-12-06,2.1127,2.1127,2.1127,,,2.1127,0.0,0.0
2007-12-07,2.1104,2.1104,2.1104,,,2.1104,0.0,0.0
2007-12-10,2.1019,2.1019,2.1019,,,2.1019,0.0,0.0
2007-12-11,2.1413,2.1413,2.1413,,,2.1413,0.0,0.0
2007-12-12,2.2197,2.2197,2.2197,,,2.2197,0.0,0.0
2007-12-13,2.1693,2.1693,2.1693,,,2.1693,0.0,0.0
2007-12-14,2.1486,2.1486,2.1486,,,2.1486,0.0,0.0
2007-12-17,2.1568,2.1568,2.1568,,,2.1568,0.0,0.0
2007-12-18,2.1328,2.1328,2.1328,,,2.1328,0.0,0.0
2007-12-19,2.1508,2.1508,2.1508,,,2.1508,0.0,0.0
2007-12-20,2.1413,2.1413,2.1413,,,2.1413,0.0,0.0
2007-12-21,2.1693,2.1693,2.1693,,,2.1693,0.0,0.0
2007-12-24,2.1786,2.1786,2.1786,,,2.1786,0.0,0.0
2007-12-26,2.2246,2.2246,2.2246,,,2.2246,0.0,0.0
2007-12-27,2.2429,2.2429,2.2429,,,2.2429,0.0,0.0
2007-12-28,2.1971,2.1971,2.1971,,,2.1971,0.0,0.0
2007-12-31,2.1827,2.1827,2.1827,,,2.1827,0.0,0.0
2008-01-02,2.2608,2.2608,2.2608,,,2.2608,0.0,0.0
2008-01-03,2.2583,2.2583,2.2583,,,2.2583,0.0,0.0
2008-01-04,2.2467,2.2467,2.2467,,,2.2467,0.0,0.0
2008-01-07,2.225,2.225,2.1755,,,2.1755,0.0,0.0
2008-01-08,2.2053,2.2053,2.2053,,,2.2053,2.0,2.0
2008-01-09,2.2,2.2,2.1674,,,2.1674,0.0,2.0
2008-01-10,2.16,2.16,2.1319,,,2.1319,4.0,4.0
2008-01-11,0.0,2.1255,2.1255,,,2.1255,2.0,5.0
2008-01-14,2.1638,2.1638,2.1638,,,2.1638,0.0,5.0
2008-01-15,2.1216,2.1216,2.1216,,,2.1216,0.0,5.0
2008-01-16,2.1062,2.1062,2.1062,,,2.1062,0.0,5.0
2008-01-17,2.0902,2.0902,2.0902,,,2.0902,0.0,5.0
2008-01-18,2.1052,2.1052,2.1052,,,2.1052,0.0,5.0
2008-01-22,2.0853,2.0853,2.0853,,,2.0853,0.0,5.0
2008-01-23,2.0538,2.0538,2.0538,,,2.0538,0.0,5.0
2008-01-24,2.0923,2.0923,2.0923,,,2.0923,0.0,5.0
2008-01-25,2.1341,2.1341,2.1341,,,2.1341,0.0,5.0
2008-01-28,2.1492,2.1492,2.1492,,,2.1492,0.0,5.0
2008-01-29,2.1629,2.1629,2.1629,,,2.1629,0.0,5.0
2008-01-30,2.1734,2.1734,2.1734,,,2.1734,0.0,5.0
2008-01-31,2.1741,2.1741,2.1741,,,2.1741,0.0,5.0
2008-02-01,2.1293,2.1293,2.1293,,,2.1293,0.0,5.0
2008-02-04,2.1541,2.1541,2.1541,,,2.1541,0.0,5.0
2008-02-05,2.1301,2.1301,2.1301,,,2.1301,0.0,5.0
2008-02-06,2.1098,2.1098,2.1098,,,2.1098,0.0,5.0
2008-02-07,2.13,2.13,2.13,,,2.13,0.0,5.0
2008-02-08,2.2085,2.2085,2.2085,,,2.2085,0.0,5.0
2008-02-11,2.227,2.227,2.227,,,2.227,0.0,5.0
2008-02-12,2.2163,2.2163,2.2163,,,2.2163,0.0,5.0
2008-02-13,2.2247,2.2247,2.2247,,,2.2247,0.0,5.0
2008-02-14,2.2814,2.2814,2.2814,,,2.2814,0.0,5.0
2008-02-15,2.2689,2.2689,2.2689,,,2.2689,0.0,5.0
2008-02-19,2.337,2.337,2.337,,,2.337,0.0,5.0
2008-02-20,2.339,2.339,2.339,,,2.339,0.0,5.0
2008-02-21,2.3153,2.3153,2.3153,,,2.3153,0.0,5.0
2008-02-22,2.3291,2.3291,2.3291,,,2.3291,0.0,5.0
