Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-02-14,0.0,0.0,0.0,,,2.3413,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.0288,2.3701,0.0,0.0
2014-02-19,,,,,0.0149,2.385,0.0,0.0
2014-02-20,,,,,0.0029,2.3879,0.0,0.0
2014-02-21,,,,,0.0085,2.3794,0.0,0.0
2014-02-24,,,,,0.0081,2.3875,0.0,0.0
2014-02-25,,,,,0.0231,2.3644,0.0,0.0
2014-02-26,,,,,0.0117,2.3761,0.0,0.0
2014-02-27,,,,,0.0061,2.37,0.0,0.0
2014-02-28,,,,,0.01,2.38,0.0,0.0
2014-03-03,,,,,0.0416,2.4216,0.0,0.0
2014-03-04,,,,,0.0484,2.3732,0.0,0.0
2014-03-05,,,,,0.039,2.3342,0.0,0.0
2014-03-06,,,,,0.0141,2.3483,0.0,0.0
2014-03-07,,,,,0.0182,2.3665,0.0,0.0
2014-03-10,,,,,0.0181,2.3484,0.0,0.0
2014-03-11,,,,,0.0095,2.3579,0.0,0.0
2014-03-12,,,,,0.0171,2.3408,0.0,0.0
2014-03-13,,,,,0.0016,2.3424,0.0,0.0
2014-03-14,,,,,0.0231,2.3655,0.0,0.0
2014-03-17,,,,,0.0521,2.3134,0.0,0.0
2014-03-18,,,,,0.0252,2.3386,0.0,0.0
2014-03-19,,,,,0.0154,2.3232,0.0,0.0
2014-03-20,,,,,0.0159,2.3391,0.0,0.0
2014-03-21,,,,,0.0063,2.3328,0.0,0.0
2014-03-24,,,,,0.0014,2.3342,0.0,0.0
2014-03-25,,,,,0.0057,2.3399,0.0,0.0
2014-03-26,,,,,0.0143,2.3542,0.0,0.0
2014-03-27,,,,,0.0113,2.3655,0.0,0.0
2014-03-28,,,,,0.0077,2.3732,0.0,0.0
2014-03-31,,,,,0.0057,2.3675,0.0,0.0
2014-04-01,,,,,0.0345,2.333,0.0,0.0
2014-04-02,,,,,0.0149,2.3181,0.0,0.0
2014-04-03,,,,,0.0325,2.3506,0.0,0.0
2014-04-04,,,,,0.013,2.3636,0.0,0.0
2014-04-07,,,,,0.0026,2.361,0.0,0.0
2014-04-08,,,,,0.0343,2.3953,0.0,0.0
2014-04-09,,,,,0.008,2.4033,0.0,0.0
2014-04-10,,,,,0.0149,2.3884,0.0,0.0
2014-04-11,,,,,0.0056,2.3828,0.0,0.0
2014-04-14,,,,,0.0304,2.4132,0.0,0.0
2014-04-15,,,,,0.0119,2.4251,0.0,0.0
2014-04-16,,,,,0.0121,2.413,0.0,0.0
2014-04-17,,,,,0.0069,2.4061,0.0,0.0
2014-04-21,,,,,0.0027,2.4034,0.0,0.0
2014-04-22,,,,,0.0084,2.395,0.0,0.0
2014-04-23,,,,,0.0008,2.3942,0.0,0.0
2014-04-24,,,,,0.0136,2.4078,0.0,0.0
2014-04-25,,,,,0.0185,2.3893,0.0,0.0
2014-04-28,,,,,0.0208,2.3685,0.0,0.0
2014-04-29,,,,,0.0198,2.3883,0.0,0.0
2014-04-30,,,,,0.0194,2.3689,0.0,0.0
2014-05-01,,,,,0.0025,2.3664,0.0,0.0
2014-05-02,,,,,0.0138,2.3802,0.0,0.0
2014-05-05,,,,,0.0154,2.3648,0.0,0.0
2014-05-06,,,,,0.0146,2.3502,0.0,0.0
2014-05-07,,,,,0.0379,2.3881,0.0,0.0
2014-05-08,,,,,0.0027,2.3854,0.0,0.0
2014-05-09,,,,,0.0113,2.3741,0.0,0.0
2014-05-12,,,,,0.0159,2.39,0.0,0.0
2014-05-13,,,,,0.0122,2.4022,0.0,0.0
2014-05-14,,,,,0.0112,2.4134,0.0,0.0
2014-05-15,,,,,0.0024,2.411,0.0,0.0
2014-05-16,,,,,0.0025,2.4135,0.0,0.0
2014-05-19,,,,,0.0065,2.407,0.0,0.0
2014-05-20,,,,,0.0118,2.4188,0.0,0.0
2014-05-21,,,,,0.0192,2.438,0.0,0.0
2014-05-22,,,,,0.0035,2.4345,0.0,0.0
2014-05-23,,,,,0.0143,2.4488,0.0,0.0
2014-05-27,,,,,0.0104,2.4384,0.0,0.0
2014-05-28,,,,,0.0041,2.4343,0.0,0.0
2014-05-29,,,,,0.0024,2.4367,0.0,0.0
2014-05-30,,,,,0.0177,2.419,0.0,0.0
2014-06-02,,,,,0.0139,2.4051,0.0,0.0
2014-06-03,,,,,0.0005,2.4046,0.0,0.0
2014-06-04,,,,,0.0086,2.396,0.0,0.0
2014-06-05,,,,,0.0133,2.4093,0.0,0.0
2014-06-06,,,,,0.0106,2.3987,0.0,0.0
2014-06-09,,,,,0.0107,2.4094,0.0,0.0
2014-06-10,,,,,0.0045,2.4049,0.0,0.0
2014-06-11,,,,,0.0056,2.4105,0.0,0.0
2014-06-12,,,,,0.0446,2.4551,0.0,0.0
2014-06-13,,,,,0.001,2.4561,0.0,0.0
2014-06-16,,,,,0.0126,2.4687,0.0,0.0
2014-06-17,,,,,0.0172,2.4859,0.0,0.0
2014-06-18,,,,,0.0101,2.496,0.0,0.0
2014-06-19,,,,,0.0077,2.5037,0.0,0.0
2014-06-20,,,,,0.007,2.5107,0.0,0.0
2014-06-23,,,,,0.0007,2.5114,0.0,0.0
2014-06-24,,,,,0.0118,2.5232,0.0,0.0
2014-06-25,,,,,0.0124,2.5108,0.0,0.0
2014-06-26,,,,,0.0158,2.495,0.0,0.0
2014-06-27,,,,,0.0027,2.4923,0.0,0.0
2014-06-30,,,,,0.0144,2.4779,0.0,0.0
2014-07-01,,,,,0.0081,2.486,0.0,0.0
2014-07-02,,,,,0.0115,2.4745,0.0,0.0
2014-07-03,,,,,0.0092,2.4653,0.0,0.0
2014-07-07,,,,,0.0066,2.4587,0.0,0.0
2014-07-08,,,,,0.0123,2.4464,0.0,0.0
2014-07-09,,,,,0.0091,2.4373,0.0,0.0
2014-07-10,,,,,0.0181,2.4554,0.0,0.0
2014-07-11,,,,,0.01,2.4454,0.0,0.0
2014-07-14,,,,,0.0228,2.4682,0.0,0.0
2014-07-15,,,,,0.03,2.4382,65.0,0.0
2014-07-16,,,,,0.0122,2.426,0.0,65.0
2014-07-17,,,,,0.0003,2.4257,0.0,65.0
2014-07-18,,,,,0.0123,2.4134,0.0,65.0
2014-07-21,,,,,0.0276,2.441,0.0,65.0
2014-07-22,,,,,0.0155,2.4255,0.0,65.0
2014-07-23,,,,,0.0093,2.4348,0.0,65.0
2014-07-24,,,,,0.009,2.4258,0.0,65.0
2014-07-25,,,,,0.0236,2.4494,0.0,65.0
2014-07-28,,,,,0.0209,2.4285,0.0,65.0
2014-07-29,,,,,0.0188,2.4473,0.0,65.0
2014-07-30,,,,,0.0229,2.4244,0.0,65.0
2014-07-31,,,,,0.0012,2.4232,0.0,65.0
2014-08-01,,,,,0.001,2.4222,0.0,65.0
2014-08-04,,,,,0.0039,2.4183,0.0,65.0
2014-08-05,,,,,0.0116,2.4067,0.0,65.0
2014-08-06,,,,,0.0112,2.4179,0.0,65.0
2014-08-07,,,,,0.0263,2.4442,0.0,65.0
2014-08-08,,,,,0.0162,2.428,0.0,65.0
2014-08-11,,,,,0.0066,2.4346,0.0,65.0
2014-08-12,,,,,0.0182,2.4164,0.0,65.0
2014-08-13,,,,,0.0204,2.4368,0.0,65.0
2014-08-14,,,,,0.0436,2.3932,0.0,65.0
2014-08-15,,,,,0.0343,2.4275,0.0,65.0
2014-08-18,,,,,0.0257,2.4018,0.0,65.0
2014-08-19,,2.4102,,,0.0042,2.406,0.0,65.0
2014-08-20,,,,,0.0084,2.4144,0.0,65.0
2014-08-21,,,,,0.0024,2.4168,0.0,65.0
2014-08-22,,,,,0.0055,2.4113,0.0,65.0
2014-08-25,,,,,0.0068,2.4181,0.0,65.0
2014-08-26,,,,,0.0012,2.4169,0.0,65.0
2014-08-27,,,,,0.0039,2.4208,0.0,65.0
2014-08-28,,,,,0.0105,2.4103,0.0,65.0
2014-08-29,,,,,0.0055,2.4158,0.0,65.0
2014-09-02,,,,,0.035,2.3808,0.0,65.0
2014-09-03,,,,,0.0395,2.4203,0.0,65.0
2014-09-04,,,,,0.0202,2.4001,0.0,65.0
2014-09-05,,,,,0.0092,2.3909,0.0,65.0
2014-09-08,,,,,0.0003,2.3912,0.0,65.0
2014-09-09,,,,,0.0069,2.3843,0.0,65.0
2014-09-10,,,,,0.0005,2.3848,0.0,65.0
2014-09-11,,,,,0.0093,2.3755,0.0,65.0
2014-09-12,,,,,0.0035,2.372,0.0,65.0
2014-09-15,,,,,0.0009,2.3729,0.0,65.0
2014-09-16,,,,,0.0213,2.3942,0.0,65.0
2014-09-17,,,,,0.0022,2.392,0.0,65.0
2014-09-18,,,,,0.0163,2.3757,0.0,65.0
2014-09-19,,,,,0.0159,2.3916,0.0,65.0
2014-09-22,,,,,0.0201,2.3715,0.0,65.0
2014-09-23,,,,,0.0014,2.3701,0.0,65.0
2014-09-24,,,,,0.007,2.3771,0.0,65.0
2014-09-25,,,,,0.0006,2.3765,0.0,65.0
2014-09-26,,,,,0.0123,2.3642,0.0,65.0
2014-09-29,,,,,0.0024,2.3618,0.0,65.0
2014-09-30,,,,,0.0525,2.3093,0.0,65.0
2014-10-01,,,,,0.0056,2.3037,0.0,65.0
2014-10-02,,,,,0.0211,2.2826,0.0,65.0
2014-10-03,,,,,0.023,2.2596,0.0,65.0
2014-10-06,,2.2702,,,0.0231,2.2827,0.0,65.0
2014-10-07,,,,,0.0193,2.2634,0.0,65.0
2014-10-08,2.275,2.275,2.275,,0.0089,2.2545,2.0,65.0
2014-10-09,2.24,2.2597,2.24,,0.035,2.2195,2.0,66.0
2014-10-10,,2.2438,,,0.0211,2.2406,0.0,68.0
2014-10-13,,,,,0.0178,2.2584,0.0,68.0
