Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.5356,0.0,0.0
2015-12-01,,,,,0.0275,1.5631,0.0,0.0
2015-12-02,,,,,0.0357,1.5274,0.0,0.0
2015-12-03,,,,,0.0158,1.5432,0.0,0.0
2015-12-04,,,,,0.0237,1.5195,0.0,0.0
2015-12-07,,,,,0.0387,1.4808,0.0,0.0
2015-12-08,,,,,0.0078,1.4886,0.0,0.0
2015-12-09,,,,,0.0068,1.4954,0.0,0.0
2015-12-10,,,,,0.0054,1.5008,0.0,0.0
2015-12-11,,,,,0.0331,1.4677,0.0,0.0
2015-12-14,,,,,0.0246,1.4431,0.0,0.0
2015-12-15,,,,,0.0092,1.4339,0.0,0.0
2015-12-16,,,,,0.0191,1.4148,0.0,0.0
2015-12-17,,,,,0.0105,1.4043,0.0,0.0
2015-12-18,,,,,0.0126,1.3917,0.0,0.0
2015-12-21,,,,,0.015,1.3767,0.0,0.0
2015-12-22,,,,,0.0121,1.3646,0.0,0.0
2015-12-23,,,,,0.0266,1.3912,0.0,0.0
2015-12-24,,,,,0.0175,1.4087,0.0,0.0
2015-12-28,,,,,0.0271,1.3816,0.0,0.0
2015-12-29,,,,,0.0192,1.4008,0.0,0.0
2015-12-30,,,,,0.0221,1.3787,0.0,0.0
2015-12-31,,,,,0.0123,1.391,0.0,0.0
2016-01-04,,,,,0.0031,1.3941,0.0,0.0
2016-01-05,,,,,0.0068,1.3873,0.0,0.0
2016-01-06,,,,,0.0304,1.3569,0.0,0.0
2016-01-07,,,,,0.0339,1.323,0.0,0.0
2016-01-08,,,,,0.0027,1.3203,0.0,0.0
2016-01-11,,,,,0.0395,1.2808,0.0,0.0
2016-01-12,,,,,0.0295,1.2513,0.0,0.0
2016-01-13,,,,,0.0271,1.2242,0.0,0.0
2016-01-14,,,,,0.0077,1.2319,0.0,0.0
2016-01-15,,,,,0.0519,1.18,0.0,0.0
2016-01-19,,,,,0.0198,1.1602,0.0,0.0
2016-01-20,,,,,0.0102,1.15,0.0,0.0
2016-01-21,,,,,0.0206,1.1706,0.0,0.0
2016-01-22,,,,,0.0586,1.2292,0.0,0.0
2016-01-25,,,,,0.0302,1.199,0.0,0.0
2016-01-26,,,,,0.0249,1.2239,0.0,0.0
2016-01-27,,,,,0.0182,1.2421,0.0,0.0
2016-01-28,,,,,0.0182,1.2603,0.0,0.0
2016-01-29,,,,,0.0314,1.2917,0.0,0.0
2016-02-01,,,,,0.047,1.2447,0.0,0.0
2016-02-02,,,,,0.032,1.2127,0.0,0.0
2016-02-03,,,,,0.033,1.2457,0.0,0.0
2016-02-04,,,,,0.002,1.2477,0.0,0.0
2016-02-05,,,,,0.0115,1.2362,0.0,0.0
2016-02-08,,,,,0.0076,1.2286,0.0,0.0
2016-02-09,,,,,0.0543,1.1743,0.0,0.0
2016-02-10,,,,,0.0014,1.1729,0.0,0.0
2016-02-11,,,,,0.0025,1.1754,0.0,0.0
2016-02-12,,,,,0.064,1.2394,0.0,0.0
2016-02-16,,,,,0.0344,1.205,0.0,0.0
2016-02-17,,,,,0.0365,1.2415,0.0,0.0
2016-02-18,,,,,0.0111,1.2304,0.0,0.0
2016-02-19,,,,,0.0175,1.2129,0.0,0.0
2016-02-22,,,,,0.0291,1.242,0.0,0.0
2016-02-23,,,,,0.0259,1.2161,0.0,0.0
2016-02-24,,,,,0.0277,1.2438,0.0,0.0
2016-02-25,,,,,0.0081,1.2519,0.0,0.0
2016-02-26,,,,,0.0135,1.2384,0.0,0.0
2016-02-29,,,,,0.0199,1.2583,0.0,0.0
2016-03-01,,,,,0.0026,1.2557,0.0,0.0
2016-03-02,,,,,0.0056,1.2613,0.0,0.0
2016-03-03,,,,,0.0005,1.2618,0.0,0.0
2016-03-04,,,,,0.0241,1.2859,0.0,0.0
2016-03-07,,,,,0.0405,1.3264,0.0,0.0
2016-03-08,,,,,0.0137,1.3127,0.0,0.0
2016-03-09,,,,,0.0345,1.3472,0.0,0.0
2016-03-10,,,,,0.0257,1.3215,0.0,0.0
2016-03-11,,,,,0.0093,1.3308,0.0,0.0
2016-03-14,,,,,0.0222,1.3086,0.0,0.0
2016-03-15,,,,,0.0173,1.2913,0.0,0.0
2016-03-16,,,,,0.0311,1.3224,0.0,0.0
2016-03-17,,,,,0.0141,1.3365,0.0,0.0
2016-03-18,,,,,0.0109,1.3256,0.0,0.0
2016-03-21,,,,,0.0172,1.3428,0.0,0.0
2016-03-22,1.37,1.37,1.37,1.37,0.0115,1.3543,5.0,0.0
2016-03-23,,,,,0.0349,1.3194,0.0,5.0
2016-03-24,,,,,0.0159,1.3353,0.0,5.0
2016-03-28,,,,,0.0021,1.3332,0.0,5.0
2016-03-29,,,,,0.0103,1.3229,0.0,5.0
2016-03-30,,,,,0.0015,1.3244,0.0,5.0
2016-03-31,,,,,0.0004,1.324,0.0,5.0
2016-04-01,,,,,0.0394,1.2846,0.0,5.0
2016-04-04,,,,,0.0265,1.2581,0.0,5.0
2016-04-05,,,,,0.011,1.2691,0.0,5.0
2016-04-06,,,,,0.0466,1.3157,0.0,5.0
2016-04-07,,,,,0.0144,1.3013,0.0,5.0
2016-04-08,,,,,0.0519,1.3532,0.0,5.0
2016-04-11,,,,,0.0258,1.379,0.0,5.0
2016-04-12,,,,,0.0111,1.3901,0.0,5.0
2016-04-13,,,,,0.0002,1.3899,0.0,5.0
2016-04-14,,,,,0.0047,1.3852,0.0,5.0
2016-04-15,,,,,0.0294,1.3558,0.0,5.0
2016-04-18,,,,,0.0112,1.3446,0.0,5.0
2016-04-19,,,,,0.0259,1.3705,0.0,5.0
2016-04-20,,,,,0.039,1.4095,0.0,5.0
2016-04-21,,,,,0.0198,1.3897,0.0,5.0
2016-04-22,,,,,0.0156,1.4053,0.0,5.0
2016-04-25,,,,,0.007,1.3983,0.0,5.0
2016-04-26,,,,,0.0277,1.426,0.0,5.0
2016-04-27,,,,,0.0168,1.4428,0.0,5.0
2016-04-28,,,,,0.0141,1.4569,0.0,5.0
2016-04-29,,,,,0.0102,1.4467,0.0,5.0
2016-05-02,,,,,0.0227,1.424,0.0,5.0
2016-05-03,,,,,0.0216,1.4024,0.0,5.0
2016-05-04,,,,,0.0011,1.4013,0.0,5.0
2016-05-05,,,,,0.0049,1.4062,0.0,5.0
2016-05-06,,,,,0.0226,1.4288,0.0,5.0
2016-05-09,,,,,0.0289,1.3999,0.0,5.0
2016-05-10,,,,,0.0389,1.4388,0.0,5.0
2016-05-11,,,,,0.0385,1.4773,0.0,5.0
2016-05-12,,,,,0.0061,1.4712,0.0,5.0
2016-05-13,,,,,0.0242,1.447,0.0,5.0
2016-05-16,,,,,0.0112,1.4582,0.0,5.0
2016-05-17,,,,,0.0156,1.4738,0.0,5.0
2016-05-18,,,,,0.0091,1.4829,0.0,5.0
2016-05-19,,,,,0.0013,1.4816,0.0,5.0
2016-05-20,,,,,0.0056,1.476,0.0,5.0
2016-05-23,,,,,0.0014,1.4746,0.0,5.0
2016-05-24,,,,,0.0032,1.4778,0.0,5.0
2016-05-25,,,,,0.0124,1.4902,0.0,5.0
2016-05-26,,,,,0.0033,1.4869,0.0,5.0
2016-05-27,,,,,0.005,1.4919,0.0,5.0
2016-05-31,,,,,0.0131,1.4788,0.0,5.0
2016-06-01,,,,,0.0042,1.483,0.0,5.0
2016-06-02,,,,,0.0044,1.4874,0.0,5.0
2016-06-03,,,,,0.0093,1.4781,0.0,5.0
2016-06-06,,,,,0.0169,1.495,0.0,5.0
2016-06-07,,,,,0.0215,1.5165,0.0,5.0
2016-06-08,,,,,0.0262,1.5427,0.0,5.0
2016-06-09,,,,,0.0098,1.5329,0.0,5.0
2016-06-10,,,,,0.0266,1.5063,0.0,5.0
2016-06-13,,,,,0.007,1.4993,0.0,5.0
2016-06-14,,,,,0.01,1.4893,0.0,5.0
2016-06-15,,,,,0.0119,1.4774,0.0,5.0
2016-06-16,,,,,0.0331,1.4443,0.0,5.0
2016-06-17,,,,,0.0396,1.4839,0.0,5.0
2016-06-20,,,,,0.0295,1.5134,0.0,5.0
2016-06-21,,,,,0.0008,1.5142,0.0,5.0
2016-06-22,,,,,0.0128,1.5014,0.0,5.0
2016-06-23,,,,,0.0264,1.5278,0.0,5.0
2016-06-24,,,,,0.0582,1.4696,0.0,5.0
2016-06-27,,,,,0.0229,1.4467,0.0,5.0
2016-06-28,,,,,0.0394,1.4861,0.0,5.0
2016-06-29,,,,,0.0488,1.5349,0.0,5.0
2016-06-30,,,,,0.0209,1.514,0.0,5.0
2016-07-01,,,,,0.0366,1.5506,0.0,5.0
2016-07-05,,,,,0.0452,1.5054,0.0,5.0
2016-07-06,,,,,0.0207,1.5261,0.0,5.0
2016-07-07,,,,,0.0426,1.4835,0.0,5.0
2016-07-08,,,,,0.0065,1.49,0.0,5.0
2016-07-11,,,,,0.0004,1.4896,0.0,5.0
2016-07-12,,,,,0.0407,1.5303,0.0,5.0
2016-07-13,,,,,0.0445,1.4858,0.0,5.0
2016-07-14,,,,,0.0149,1.5007,0.0,5.0
2016-07-15,,,,,0.0079,1.4928,0.0,5.0
2016-07-18,,,,,0.0227,1.4701,0.0,5.0
2016-07-19,,,,,0.01,1.4801,0.0,5.0
2016-07-20,,,,,0.0012,1.4813,0.0,5.0
2016-07-21,,,,,0.0176,1.4637,0.0,5.0
2016-07-22,,,,,0.0013,1.465,0.0,5.0
2016-07-25,,,,,0.0109,1.4541,0.0,5.0
2016-07-26,,,,,0.0024,1.4517,0.0,5.0
2016-07-27,,,,,0.0271,1.4246,0.0,5.0
2016-07-28,,,,,0.0269,1.3977,0.0,5.0
2016-07-29,,,,,0.0116,1.4093,0.0,5.0
2016-08-01,,,,,0.0252,1.3841,0.0,5.0
2016-08-02,1.3751,1.3751,1.3751,1.3751,0.0105,1.3736,2.0,5.0
2016-08-03,,,,,0.025,1.3986,0.0,6.0
2016-08-04,,,,,0.0105,1.4091,0.0,6.0
2016-08-05,,,,,0.0053,1.4038,0.0,6.0
2016-08-08,,,,,0.011,1.4148,0.0,6.0
2016-08-09,,,,,0.0124,1.4024,0.0,6.0
2016-08-10,,,,,0.0158,1.3866,0.0,6.0
2016-08-11,,,,,0.0408,1.4274,0.0,6.0
2016-08-12,,,,,0.0126,1.44,0.0,6.0
2016-08-15,,,,,0.0263,1.4663,0.0,6.0
2016-08-16,,,,,0.0235,1.4898,0.0,6.0
2016-08-17,,,,,0.0161,1.5059,0.0,6.0
2016-08-18,,,,,0.019,1.5249,0.0,6.0
2016-08-19,,,,,0.005,1.5299,0.0,6.0
2016-08-22,,,,,0.035,1.4949,0.0,6.0
2016-08-23,,,,,0.0168,1.5117,0.0,6.0
2016-08-24,,,,,0.0227,1.489,0.0,6.0
2016-08-25,,,,,0.0084,1.4974,0.0,6.0
2016-08-26,,,,,0.0067,1.5041,0.0,6.0
2016-08-29,,,,,0.02,1.4841,0.0,6.0
2016-08-30,,,,,0.0172,1.4669,0.0,6.0
2016-08-31,,,,,0.0418,1.4251,0.0,6.0
2016-09-01,,,,,0.0306,1.3945,0.0,6.0
2016-09-02,,,,,0.0328,1.4273,0.0,6.0
2016-09-06,,,,,0.0172,1.4445,0.0,6.0
2016-09-07,,,,,0.018,1.4625,0.0,6.0
2016-09-08,,,,,0.0514,1.5139,0.0,6.0
2016-09-09,,,,,0.0462,1.4677,0.0,6.0
2016-09-12,,,,,0.008,1.4757,0.0,6.0
2016-09-13,,,,,0.023,1.4527,0.0,6.0
2016-09-14,,,,,0.0208,1.4319,0.0,6.0
2016-09-15,,,,,0.0105,1.4424,0.0,6.0
2016-09-16,,,,,0.0154,1.427,0.0,6.0
2016-09-19,,,,,0.003,1.43,0.0,6.0
2016-09-20,,,,,0.0025,1.4325,0.0,6.0
2016-09-21,,,,,0.0185,1.451,0.0,6.0
2016-09-22,,,,,0.0182,1.4692,0.0,6.0
2016-09-23,,,,,0.0425,1.4267,0.0,6.0
2016-09-26,,,,,0.0312,1.4579,0.0,6.0
2016-09-27,,,,,0.0283,1.4296,0.0,6.0
2016-09-28,,,,,0.0498,1.4794,0.0,6.0
2016-09-29,,,,,0.0134,1.4928,0.0,6.0
2016-09-30,,,,,0.0143,1.5071,0.0,6.0
2016-10-03,,,,,0.0159,1.523,0.0,6.0
2016-10-04,,,,,0.011,1.534,0.0,6.0
