Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1983-03-30,29.1,29.4,29.1,29.35,,29.35,471.0,283.0
1983-03-31,29.3,29.3,29.12,29.24,,29.24,399.0,335.0
1983-04-04,29.23,29.4,29.23,29.25,,29.25,185.0,334.0
1983-04-05,29.4,29.7,29.4,29.54,,29.54,164.0,390.0
1983-04-06,29.7,29.85,29.5,29.68,,29.68,257.0,418.0
1983-04-07,29.8,30.05,29.71,30.05,,30.05,364.0,437.0
1983-04-08,30.45,30.5,30.1,30.3,,30.3,391.0,484.0
1983-04-11,30.35,30.35,29.9,30.15,,30.15,347.0,546.0
1983-04-12,30.35,30.85,30.35,30.8,,30.8,202.0,538.0
1983-04-13,30.55,30.95,30.55,30.73,,30.73,535.0,681.0
1983-04-14,30.7,30.85,30.6,30.64,,30.64,185.0,659.0
1983-04-15,30.5,30.55,30.25,30.4,,30.4,332.0,755.0
1983-04-18,30.5,30.7,30.5,30.65,,30.65,98.0,733.0
1983-04-19,30.75,30.8,30.62,30.64,,30.64,182.0,676.0
1983-04-20,30.55,30.74,30.5,30.63,,30.63,190.0,669.0
1983-04-21,30.75,30.75,30.55,30.69,,30.69,139.0,698.0
1983-04-22,30.61,30.82,30.6,30.72,,30.72,133.0,748.0
1983-04-25,30.74,30.88,30.7,30.81,,30.81,140.0,736.0
1983-04-26,30.73,30.8,30.67,30.68,,30.68,207.0,759.0
1983-04-27,30.65,30.8,30.65,30.77,,30.77,136.0,766.0
1983-04-28,30.7,30.85,30.65,30.74,,30.74,266.0,840.0
1983-04-29,30.7,30.73,30.57,30.59,,30.59,152.0,856.0
1983-05-02,30.68,30.68,30.45,30.52,,30.52,169.0,868.0
1983-05-03,30.55,30.55,30.35,30.43,,30.43,338.0,955.0
1983-05-04,30.4,30.44,30.25,30.27,,30.27,285.0,998.0
1983-05-05,30.3,30.3,30.05,30.08,,30.08,194.0,1085.0
1983-05-06,30.08,30.25,30.02,30.15,,30.15,282.0,1086.0
1983-05-09,30.05,30.06,29.75,29.85,,29.85,517.0,1174.0
1983-05-10,29.8,30.01,29.75,30.0,,30.0,633.0,1235.0
1983-05-11,29.8,29.85,29.67,29.72,,29.72,237.0,1185.0
1983-05-12,29.6,29.6,29.4,29.49,,29.49,384.0,1185.0
1983-05-13,29.5,29.54,29.35,29.54,,29.54,258.0,1110.0
1983-05-16,29.6,30.05,29.6,29.99,,29.99,606.0,1184.0
1983-05-17,29.85,30.15,29.85,29.97,,29.97,283.0,1124.0
1983-05-18,29.85,29.91,29.7,29.9,,29.9,108.0,1086.0
1983-05-19,29.8,29.8,29.8,29.8,,29.8,0.0,930.0
1983-05-20,30.0,30.3,30.0,30.23,,30.23,235.0,930.0
1983-05-23,30.2,30.5,30.15,30.22,,30.22,326.0,972.0
1983-05-24,30.0,30.05,29.91,30.0,,30.0,233.0,1008.0
1983-05-25,30.08,30.2,30.05,30.11,,30.11,130.0,1032.0
1983-05-26,30.2,30.45,30.15,30.25,,30.25,136.0,1067.0
1983-05-27,30.15,30.38,30.1,30.13,,30.13,195.0,1116.0
1983-05-31,30.01,30.38,30.01,30.1,,30.1,158.0,1123.0
1983-06-01,30.1,30.3,30.01,30.22,,30.22,229.0,1110.0
1983-06-02,30.32,30.45,30.3,30.3,,30.3,24.0,1131.0
1983-06-03,30.2,30.3,30.15,30.3,,30.3,140.0,1073.0
1983-06-06,30.25,30.3,30.16,30.27,,30.27,100.0,1081.0
1983-06-07,30.4,30.55,30.4,30.5,,30.5,289.0,1085.0
1983-06-08,30.5,30.68,30.5,30.5,,30.5,484.0,1368.0
1983-06-09,30.5,30.58,30.4,30.4,,30.4,235.0,1262.0
1983-06-10,30.47,30.63,30.47,30.63,,30.63,205.0,1375.0
1983-06-13,30.75,31.0,30.75,30.9,,30.9,359.0,1451.0
1983-06-14,31.02,31.15,30.85,30.91,,30.91,403.0,1450.0
1983-06-15,31.05,31.2,31.05,31.2,,31.2,262.0,1521.0
1983-06-16,31.1,31.4,31.02,31.29,,31.29,611.0,1529.0
1983-06-17,31.3,31.36,31.1,31.29,,31.29,182.0,1529.0
1983-06-20,31.3,31.5,31.25,31.3,,31.3,139.0,1003.0
1983-06-21,31.25,31.25,31.02,31.02,,31.02,88.0,1032.0
1983-06-22,31.05,31.14,30.75,30.8,,30.8,138.0,1034.0
1983-06-23,31.1,31.18,30.95,30.95,,30.95,95.0,1062.0
1983-06-24,30.95,31.15,30.95,31.1,,31.1,107.0,1090.0
1983-06-27,31.1,31.25,31.0,31.05,,31.05,111.0,1110.0
1983-06-28,31.02,31.15,30.95,31.1,,31.1,220.0,1128.0
1983-06-29,31.12,31.15,31.05,31.05,,31.05,177.0,1162.0
1983-06-30,31.15,31.29,31.15,31.21,,31.21,267.0,1247.0
1983-07-01,31.29,31.29,31.18,31.2,,31.2,52.0,1263.0
1983-07-05,31.2,31.2,31.1,31.13,,31.13,182.0,1261.0
1983-07-06,31.0,31.1,30.9,31.1,,31.1,836.0,1734.0
1983-07-07,31.2,31.28,31.1,31.22,,31.22,336.0,1758.0
1983-07-08,31.2,31.3,31.2,31.29,,31.29,252.0,1752.0
1983-07-11,31.3,31.5,31.3,31.46,,31.46,212.0,1782.0
1983-07-12,31.62,31.7,31.54,31.55,,31.55,501.0,1811.0
1983-07-13,31.7,31.83,31.7,31.8,,31.8,729.0,1861.0
1983-07-14,31.75,31.85,31.7,31.78,,31.78,229.0,1734.0
1983-07-15,31.8,31.8,31.66,31.67,,31.67,312.0,1955.0
1983-07-18,31.75,31.75,31.55,31.57,,31.57,594.0,1746.0
1983-07-19,31.6,31.65,31.44,31.65,,31.65,262.0,1603.0
1983-07-20,31.62,31.69,31.6,31.65,,31.65,94.0,1617.0
1983-07-21,31.5,31.55,31.4,31.55,,31.55,126.0,1642.0
1983-07-22,31.48,31.51,31.35,31.49,,31.49,306.0,1641.0
1983-07-25,31.33,31.4,31.3,31.4,,31.4,63.0,1657.0
1983-07-26,31.35,31.6,31.35,31.51,,31.51,184.0,1759.0
1983-07-27,31.65,31.7,31.6,31.68,,31.68,417.0,1685.0
1983-07-28,31.68,31.78,31.67,31.77,,31.77,518.0,1754.0
1983-07-29,31.88,32.0,31.87,31.92,,31.92,498.0,1900.0
1983-08-01,32.0,32.12,31.9,32.12,,32.12,219.0,1948.0
1983-08-02,32.25,32.25,32.12,32.12,,32.12,267.0,1973.0
1983-08-03,32.1,32.14,31.95,32.11,,32.11,378.0,2159.0
1983-08-04,32.3,32.3,32.09,32.09,,32.09,194.0,2137.0
1983-08-05,31.99,32.1,31.98,32.08,,32.08,127.0,2068.0
1983-08-08,31.9,32.0,31.9,31.99,,31.99,72.0,2085.0
1983-08-09,31.95,31.97,31.88,31.88,,31.88,219.0,2134.0
1983-08-10,32.05,32.2,32.05,32.07,,32.07,470.0,2025.0
1983-08-11,32.14,32.14,31.95,31.96,,31.96,586.0,1975.0
1983-08-12,32.0,32.05,31.96,31.99,,31.99,288.0,2115.0
1983-08-15,32.04,32.08,32.0,32.05,,32.05,223.0,2226.0
1983-08-16,32.05,32.05,31.98,32.0,,32.0,264.0,2136.0
1983-08-17,31.96,31.98,31.87,31.92,,31.92,187.0,1892.0
1983-08-18,31.9,31.92,31.6,31.63,,31.63,175.0,1862.0
1983-08-19,31.75,31.75,31.58,31.6,,31.6,144.0,1496.0
1983-08-22,31.55,31.6,31.5,31.5,,31.5,131.0,1463.0
1983-08-23,31.55,31.65,31.5,31.65,,31.65,147.0,1423.0
1983-08-24,31.75,31.8,31.52,31.55,,31.55,307.0,1437.0
1983-08-25,31.63,31.74,31.54,31.7,,31.7,547.0,1680.0
1983-08-26,31.74,31.8,31.74,31.75,,31.75,193.0,1830.0
1983-08-29,31.7,31.7,31.62,31.65,,31.65,117.0,1897.0
1983-08-30,31.61,31.68,31.6,31.67,,31.67,115.0,1973.0
1983-08-31,31.65,31.65,31.52,31.57,,31.57,163.0,1975.0
1983-09-01,31.55,31.55,31.45,31.48,,31.48,214.0,2039.0
1983-09-02,31.46,31.49,31.45,31.48,,31.48,58.0,2076.0
1983-09-06,31.4,31.4,31.23,31.24,,31.24,290.0,2215.0
1983-09-07,31.3,31.35,31.24,31.28,,31.28,321.0,2230.0
1983-09-08,31.15,31.25,31.11,31.23,,31.23,393.0,2320.0
1983-09-09,31.28,31.28,31.15,31.15,,31.15,568.0,2330.0
1983-09-12,31.17,31.18,31.02,31.03,,31.03,304.0,2342.0
1983-09-13,30.98,31.25,30.98,31.18,,31.18,392.0,2493.0
1983-09-14,31.05,31.47,31.0,31.37,,31.37,452.0,2598.0
1983-09-15,31.35,31.49,31.35,31.49,,31.49,267.0,2581.0
1983-09-16,31.45,31.53,31.37,31.5,,31.5,150.0,2562.0
1983-09-19,31.54,31.54,31.4,31.42,,31.42,253.0,3865.0
1983-09-20,31.45,31.45,31.28,31.28,,31.28,354.0,3841.0
1983-09-21,31.23,31.39,31.18,31.35,,31.35,932.0,3767.0
1983-09-22,31.25,31.43,31.25,31.25,,31.25,533.0,3772.0
1983-09-23,31.32,31.36,31.26,31.27,,31.27,233.0,3686.0
1983-09-26,31.25,31.25,31.18,31.2,,31.2,281.0,3752.0
1983-09-27,31.18,31.18,31.08,31.11,,31.11,185.0,3574.0
1983-09-28,30.99,31.0,30.7,30.78,,30.78,1020.0,3850.0
1983-09-29,30.83,30.85,30.44,30.6,,30.6,1883.0,4564.0
1983-09-30,30.56,30.56,30.15,30.33,,30.33,1327.0,4996.0
1983-10-03,30.25,30.26,29.75,29.81,,29.81,3390.0,6545.0
1983-10-04,29.64,30.34,29.55,30.08,,30.08,3125.0,6897.0
1983-10-05,30.45,30.7,30.1,30.15,,30.15,2514.0,7000.0
1983-10-06,30.15,30.28,30.1,30.13,,30.13,1173.0,7106.0
1983-10-07,30.28,30.5,30.27,30.35,,30.35,1094.0,6877.0
1983-10-10,30.65,30.78,30.62,30.73,,30.73,1250.0,6943.0
1983-10-11,30.65,30.65,30.42,30.45,,30.45,1066.0,6764.0
1983-10-12,30.48,30.51,30.32,30.46,,30.46,1069.0,6635.0
1983-10-13,30.46,30.66,30.46,30.57,,30.57,1397.0,6867.0
1983-10-14,30.65,30.65,30.4,30.48,,30.48,964.0,6720.0
1983-10-17,30.42,30.55,30.33,30.53,,30.53,807.0,6806.0
1983-10-18,30.51,30.59,30.48,30.55,,30.55,735.0,6805.0
1983-10-19,30.4,30.45,30.16,30.2,,30.2,398.0,2639.0
1983-10-20,30.05,30.2,30.02,30.18,,30.18,558.0,2964.0
1983-10-21,30.13,30.22,30.13,30.22,,30.22,365.0,3161.0
1983-10-24,30.34,30.35,30.25,30.3,,30.3,165.0,3124.0
1983-10-25,30.28,30.34,30.25,30.32,,30.32,119.0,3187.0
1983-10-26,30.14,30.16,30.06,30.1,,30.1,751.0,3784.0
1983-10-27,30.08,30.19,30.02,30.15,,30.15,923.0,3623.0
1983-10-28,30.18,30.25,30.05,30.13,,30.13,928.0,3512.0
1983-10-31,30.06,30.25,30.04,30.25,,30.25,471.0,3525.0
1983-11-01,30.26,30.28,30.2,30.27,,30.27,694.0,3459.0
1983-11-02,30.3,30.34,30.23,30.26,,30.26,1142.0,3281.0
1983-11-03,30.29,30.36,30.27,30.34,,30.34,878.0,3467.0
1983-11-04,30.36,30.42,30.25,30.36,,30.36,891.0,3590.0
1983-11-07,30.35,30.35,30.24,30.27,,30.27,315.0,3406.0
1983-11-08,30.27,30.28,30.19,30.27,,30.27,620.0,3461.0
1983-11-09,30.3,30.34,30.2,30.2,,30.2,844.0,3385.0
1983-11-10,30.12,30.13,29.9,29.93,,29.93,1798.0,4137.0
1983-11-11,29.93,30.0,29.65,29.77,,29.77,1472.0,4306.0
1983-11-14,29.7,29.82,29.67,29.72,,29.72,897.0,4315.0
1983-11-15,29.65,29.73,29.59,29.7,,29.7,785.0,4289.0
1983-11-16,29.75,29.83,29.35,29.39,,29.39,728.0,4329.0
1983-11-17,28.9,28.9,28.35,28.65,,28.65,2137.0,4117.0
1983-11-18,28.9,28.99,28.5,28.95,,28.95,2403.0,4861.0
1983-11-21,28.8,29.08,28.8,28.95,,28.95,936.0,4841.0
1983-11-22,28.94,29.06,28.81,28.81,,28.81,1127.0,5185.0
1983-11-23,28.97,29.06,28.9,28.96,,28.96,1810.0,5386.0
1983-11-28,29.21,29.67,29.21,29.53,,29.53,1359.0,5674.0
1983-11-29,29.5,29.53,29.08,29.13,,29.13,916.0,5774.0
1983-11-30,29.1,29.17,28.77,28.91,,28.91,2716.0,6682.0
1983-12-01,28.98,29.07,28.96,29.0,,29.0,1452.0,6910.0
1983-12-02,29.08,29.14,28.96,29.07,,29.07,1489.0,7272.0
1983-12-05,29.12,29.12,28.95,28.95,,28.95,1271.0,7429.0
1983-12-06,28.83,28.93,28.77,28.86,,28.86,1209.0,7351.0
1983-12-07,28.63,28.73,28.5,28.64,,28.64,2575.0,8438.0
