Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-20,,,,,0.0,56.62,0.0,0.0
2015-11-23,,,,,0.29,56.91,0.0,0.0
2015-11-24,,,,,1.26,58.17,0.0,0.0
2015-11-25,,,,,0.03,58.14,0.0,0.0
2015-11-27,,,,,0.52,57.62,0.0,0.0
2015-11-30,,,,,0.21,57.41,0.0,0.0
2015-12-01,,,,,0.08,57.33,0.0,0.0
2015-12-02,,,,,0.28,57.05,0.0,0.0
2015-12-03,,,,,0.6,57.65,0.0,0.0
2015-12-04,,,,,0.07,57.58,0.0,0.0
2015-12-07,,,,,0.25,57.33,0.0,0.0
2015-12-08,,,,,0.09,57.24,0.0,0.0
2015-12-09,,,,,0.1,57.14,0.0,0.0
2015-12-10,,,,,0.2,57.34,0.0,0.0
2015-12-11,,,,,0.7,56.64,0.0,0.0
2015-12-14,,,,,1.17,55.47,0.0,0.0
2015-12-15,,,,,0.07,55.54,0.0,0.0
2015-12-16,,,,,0.39,55.15,0.0,0.0
2015-12-17,,,,,0.18,54.97,0.0,0.0
2015-12-18,,,,,0.3,54.67,0.0,0.0
2015-12-21,,,,,0.68,53.99,0.0,0.0
2015-12-22,,,,,0.88,53.11,0.0,0.0
2015-12-23,,,,,0.12,53.23,0.0,0.0
2015-12-24,,,,,0.94,54.17,0.0,0.0
2015-12-28,,,,,0.37,53.8,0.0,0.0
2015-12-29,,,,,0.73,54.53,0.0,0.0
2015-12-30,,,,,0.67,53.86,0.0,0.0
2015-12-31,,,,,0.55,54.41,0.0,0.0
2016-01-04,,,,,0.17,54.24,0.0,0.0
2016-01-05,,,,,0.51,53.73,0.0,0.0
2016-01-06,,,,,1.17,52.56,0.0,0.0
2016-01-07,,,,,0.93,51.63,0.0,0.0
2016-01-08,,,,,0.08,51.55,0.0,0.0
2016-01-11,,,,,1.23,50.32,0.0,0.0
2016-01-12,,,,,1.28,49.04,0.0,0.0
2016-01-13,,,,,1.0,48.04,0.0,0.0
2016-01-14,,,,,0.53,48.57,0.0,0.0
2016-01-15,,,,,2.3,46.27,0.0,0.0
2016-01-19,,,,,1.23,45.04,0.0,0.0
2016-01-20,,,,,0.5,44.54,0.0,0.0
2016-01-21,,,,,0.38,44.92,0.0,0.0
2016-01-22,,,,,2.01,46.93,0.0,0.0
2016-01-25,,,,,0.25,47.18,0.0,0.0
2016-01-26,,,,,0.77,47.95,0.0,0.0
2016-01-27,,,,,0.61,48.56,0.0,0.0
2016-01-28,,,,,0.52,49.08,0.0,0.0
2016-01-29,,,,,0.96,50.04,0.0,0.0
2016-02-01,,,,,1.28,48.76,0.0,0.0
2016-02-02,,,,,0.73,48.03,0.0,0.0
2016-02-03,,,,,0.85,48.88,0.0,0.0
2016-02-04,,,,,0.46,49.34,0.0,0.0
2016-02-05,,,,,0.09,49.25,0.0,0.0
2016-02-08,,,,,0.38,48.87,0.0,0.0
2016-02-09,,,,,2.46,46.41,0.0,0.0
2016-02-10,,,,,0.41,46.82,0.0,0.0
2016-02-11,,,,,0.04,46.86,0.0,0.0
2016-02-12,,,,,2.47,49.33,0.0,0.0
2016-02-16,,,,,1.17,48.16,0.0,0.0
2016-02-17,,,,,0.85,49.01,0.0,0.0
2016-02-18,,,,,0.51,48.5,0.0,0.0
2016-02-19,,,,,0.95,47.55,0.0,0.0
2016-02-22,,,,,0.97,48.52,0.0,0.0
2016-02-23,,,,,1.1,47.42,0.0,0.0
2016-02-24,,,,,0.29,47.71,0.0,0.0
2016-02-25,,,,,0.23,47.94,0.0,0.0
2016-02-26,,,,,0.91,47.03,0.0,0.0
2016-02-29,,,,,1.05,48.08,0.0,0.0
2016-03-01,,,,,0.23,48.31,0.0,0.0
2016-03-02,,,,,0.22,48.09,0.0,0.0
2016-03-03,,,,,0.23,47.86,0.0,0.0
2016-03-04,,,,,0.67,48.53,0.0,0.0
2016-03-07,,,,,1.2,49.73,0.0,0.0
2016-03-08,,,,,0.85,48.88,0.0,0.0
2016-03-09,,,,,0.92,49.8,0.0,0.0
2016-03-10,,,,,0.28,49.52,0.0,0.0
2016-03-11,,,,,0.32,49.84,0.0,0.0
2016-03-14,,,,,0.8,49.04,0.0,0.0
2016-03-15,,,,,0.14,48.9,0.0,0.0
2016-03-16,,,,,0.59,49.49,0.0,0.0
2016-03-17,,,,,0.04,49.53,0.0,0.0
2016-03-18,,,,,0.28,49.81,0.0,0.0
2016-03-21,,,,,0.25,50.06,0.0,0.0
2016-03-22,,,,,0.18,50.24,0.0,0.0
2016-03-23,,,,,0.41,49.83,0.0,0.0
2016-03-24,,,,,0.33,49.5,0.0,0.0
2016-03-28,,,,,0.07,49.43,0.0,0.0
2016-03-29,,,,,0.08,49.51,0.0,0.0
2016-03-30,,,,,0.7,50.21,0.0,0.0
2016-03-31,,,,,0.37,50.58,0.0,0.0
2016-04-01,,,,,1.13,49.45,0.0,0.0
2016-04-04,,,,,0.9,48.55,0.0,0.0
2016-04-05,,,,,0.4,48.15,0.0,0.0
2016-04-06,,,,,1.09,49.24,0.0,0.0
2016-04-07,,,,,0.95,48.29,0.0,0.0
2016-04-08,,,,,1.44,49.73,0.0,0.0
2016-04-11,,,,,0.62,50.35,0.0,0.0
2016-04-12,,,,,0.82,51.17,0.0,0.0
2016-04-13,,,,,0.18,50.99,0.0,0.0
2016-04-14,,,,,0.65,50.34,0.0,0.0
2016-04-15,,,,,1.2,49.14,0.0,0.0
2016-04-18,,,,,0.15,48.99,0.0,0.0
2016-04-19,,,,,0.67,49.66,0.0,0.0
2016-04-20,,,,,1.32,50.98,0.0,0.0
2016-04-21,,,,,0.2,50.78,0.0,0.0
2016-04-22,,,,,1.02,51.8,0.0,0.0
2016-04-25,,,,,0.08,51.88,0.0,0.0
2016-04-26,,,,,0.44,52.32,0.0,0.0
2016-04-27,,,,,0.82,53.14,0.0,0.0
2016-04-28,,,,,0.2,52.94,0.0,0.0
2016-04-29,,,,,0.26,53.2,0.0,0.0
2016-05-02,,,,,0.53,52.67,0.0,0.0
2016-05-03,,,,,0.17,52.5,0.0,0.0
2016-05-04,,,,,0.3,52.8,0.0,0.0
2016-05-05,,,,,0.61,53.41,0.0,0.0
2016-05-06,,,,,0.64,54.05,0.0,0.0
2016-05-09,,,,,0.32,53.73,0.0,0.0
2016-05-10,,,,,0.62,54.35,0.0,0.0
2016-05-11,,,,,0.27,54.62,0.0,0.0
2016-05-12,,,,,0.32,54.3,0.0,0.0
2016-05-13,,,,,1.15,53.15,0.0,0.0
2016-05-16,,,,,0.28,53.43,0.0,0.0
2016-05-17,,,,,0.66,54.09,0.0,0.0
2016-05-18,,,,,0.36,54.45,0.0,0.0
2016-05-19,,,,,0.4,54.85,0.0,0.0
2016-05-20,,,,,0.32,54.53,0.0,0.0
2016-05-23,,,,,0.46,54.99,0.0,0.0
2016-05-24,,,,,0.28,55.27,0.0,0.0
2016-05-25,,,,,0.38,55.65,0.0,0.0
2016-05-26,,,,,0.13,55.78,0.0,0.0
2016-05-27,,,,,0.33,56.11,0.0,0.0
2016-05-31,,,,,0.07,56.18,0.0,0.0
2016-06-01,,,,,0.22,55.96,0.0,0.0
2016-06-02,,,,,0.21,56.17,0.0,0.0
2016-06-03,,,,,0.58,55.59,0.0,0.0
2016-06-06,,,,,0.29,55.88,0.0,0.0
2016-06-07,,,,,0.29,56.17,0.0,0.0
2016-06-08,,,,,0.09,56.26,0.0,0.0
2016-06-09,,,,,0.45,55.81,0.0,0.0
2016-06-10,,,,,0.57,55.24,0.0,0.0
2016-06-13,,,,,0.03,55.21,0.0,0.0
2016-06-14,,,,,0.48,54.73,0.0,0.0
2016-06-15,,,,,0.4,54.33,0.0,0.0
2016-06-16,,,,,1.25,53.08,0.0,0.0
2016-06-17,,,,,1.33,54.41,0.0,0.0
2016-06-20,,,,,0.85,55.26,0.0,0.0
2016-06-21,,,,,0.13,55.13,0.0,0.0
2016-06-22,,,,,0.07,55.2,0.0,0.0
2016-06-23,,,,,0.52,55.72,0.0,0.0
2016-06-24,,,,,1.82,53.9,0.0,0.0
2016-06-27,,,,,0.17,53.73,0.0,0.0
2016-06-28,,,,,1.63,55.36,0.0,0.0
2016-06-29,,,,,1.69,57.05,0.0,0.0
2016-06-30,,,,,1.08,55.97,0.0,0.0
2016-07-01,,,,,1.33,57.3,0.0,0.0
2016-07-05,,,,,1.09,56.21,0.0,0.0
2016-07-06,,,,,1.1,57.31,0.0,0.0
2016-07-07,,,,,1.45,55.86,0.0,0.0
2016-07-08,,,,,0.75,56.61,0.0,0.0
2016-07-11,,,,,0.13,56.48,0.0,0.0
2016-07-12,,,,,0.61,57.09,0.0,0.0
2016-07-13,,,,,1.25,55.84,0.0,0.0
2016-07-14,,,,,0.2,56.04,0.0,0.0
2016-07-15,,,,,0.33,55.71,0.0,0.0
2016-07-18,,,,,0.46,55.25,0.0,0.0
2016-07-19,,,,,0.47,55.72,0.0,0.0
2016-07-20,,,,,0.55,56.27,0.0,0.0
2016-07-21,,,,,0.63,55.64,0.0,0.0
2016-07-22,,,,,0.07,55.57,0.0,0.0
2016-07-25,,,,,0.08,55.49,0.0,0.0
2016-07-26,,,,,0.22,55.27,0.0,0.0
2016-07-27,,,,,1.02,54.25,0.0,0.0
2016-07-28,,,,,1.19,53.06,0.0,0.0
2016-07-29,,,,,0.27,52.79,0.0,0.0
2016-08-01,,,,,0.68,52.11,0.0,0.0
2016-08-02,,,,,0.17,51.94,0.0,0.0
2016-08-03,,,,,0.47,52.41,0.0,0.0
2016-08-04,,,,,0.06,52.47,0.0,0.0
2016-08-05,,,,,0.06,52.53,0.0,0.0
2016-08-08,,,,,0.75,53.28,0.0,0.0
2016-08-09,,,,,0.11,53.39,0.0,0.0
2016-08-10,,,,,0.19,53.2,0.0,0.0
2016-08-11,,,,,1.12,54.32,0.0,0.0
2016-08-12,,,,,0.42,54.74,0.0,0.0
2016-08-15,,,,,0.59,55.33,0.0,0.0
2016-08-16,,,,,0.72,56.05,0.0,0.0
2016-08-17,,,,,0.63,56.68,0.0,0.0
2016-08-18,,,,,0.78,57.46,0.0,0.0
2016-08-19,,,,,0.08,57.54,0.0,0.0
2016-08-22,,,,,1.13,56.41,0.0,0.0
2016-08-23,,,,,0.67,57.08,0.0,0.0
2016-08-24,,,,,0.88,56.2,0.0,0.0
2016-08-25,,,,,0.17,56.37,0.0,0.0
2016-08-26,,,,,0.3,56.67,0.0,0.0
2016-08-29,,,,,0.56,56.11,0.0,0.0
2016-08-30,,,,,0.68,55.43,0.0,0.0
2016-08-31,,,,,1.52,53.91,0.0,0.0
2016-09-01,,,,,1.22,52.69,0.0,0.0
2016-09-02,,,,,1.25,53.94,0.0,0.0
2016-09-06,,,,,0.43,54.37,0.0,0.0
2016-09-07,,,,,0.76,55.13,0.0,0.0
2016-09-08,,,,,1.51,56.64,0.0,0.0
2016-09-09,,,,,1.47,55.17,0.0,0.0
2016-09-12,,,,,0.33,55.5,0.0,0.0
2016-09-13,,,,,0.47,55.03,0.0,0.0
2016-09-14,,,,,0.83,54.2,0.0,0.0
2016-09-15,,,,,0.34,54.54,0.0,0.0
2016-09-16,,,,,0.78,53.76,0.0,0.0
2016-09-19,,,,,0.43,54.19,0.0,0.0
2016-09-20,,,,,0.03,54.22,0.0,0.0
2016-09-21,,,,,0.45,54.67,0.0,0.0
2016-09-22,,,,,0.86,55.53,0.0,0.0
2016-09-23,,,,,1.26,54.27,0.0,0.0
2016-09-26,,,,,1.18,55.45,0.0,0.0
2016-09-27,,,,,0.85,54.6,0.0,0.0
2016-09-28,,,,,1.42,56.02,0.0,0.0
2016-09-29,,,,,0.24,56.26,0.0,0.0
2016-09-30,,,,,0.44,56.7,0.0,0.0
2016-10-03,,,,,0.19,56.89,0.0,0.0
2016-10-04,,,,,0.24,57.13,0.0,0.0
2016-10-05,,,,,0.46,57.59,0.0,0.0
2016-10-06,,,,,,57.59,0.0,0.0
2016-10-07,,,,,0.35,57.24,0.0,0.0
2016-10-10,,,,,0.2,57.44,0.0,0.0
2016-10-11,,,,,0.75,56.69,0.0,0.0
2016-10-12,,,,,0.13,56.56,0.0,0.0
2016-10-13,,,,,0.02,56.58,0.0,0.0
2016-10-14,,,,,0.17,56.41,0.0,0.0
2016-10-17,,,,,0.04,56.45,0.0,0.0
2016-10-18,,,,,0.44,56.89,0.0,0.0
2016-10-19,,,,,0.54,57.43,0.0,0.0
2016-10-20,,,,,0.57,56.86,0.0,0.0
2016-10-21,,,,,0.56,57.42,0.0,0.0
2016-10-24,,,,,0.17,57.59,0.0,0.0
2016-10-25,,,,,0.29,57.3,0.0,0.0
2016-10-26,,,,,0.69,56.61,0.0,0.0
2016-10-27,,,,,0.01,56.6,0.0,0.0
2016-10-28,,,,,0.57,56.03,0.0,0.0
2016-10-31,,,,,1.24,54.79,0.0,0.0
2016-11-01,,,,,0.16,54.95,0.0,0.0
2016-11-02,,,,,0.67,54.28,0.0,0.0
2016-11-03,,,,,0.44,53.84,0.0,0.0
2016-11-04,,,,,0.49,53.35,0.0,0.0
2016-11-07,,,,,0.67,54.02,0.0,0.0
2016-11-08,,,,,0.24,54.26,0.0,0.0
2016-11-09,,,,,0.7,54.96,0.0,0.0
2016-11-10,,,,,0.19,54.77,0.0,0.0
2016-11-11,,,,,1.0,53.77,0.0,0.0
2016-11-14,,,,,0.61,53.16,0.0,0.0
2016-11-15,,,,,1.02,54.18,0.0,0.0
2016-11-16,,,,,0.35,53.83,0.0,0.0
2016-11-17,,,,,0.23,54.06,0.0,0.0
2016-11-18,,,,,0.26,54.32,0.0,0.0
2016-11-21,,,,,1.21,55.53,0.0,0.0
2016-11-22,,,,,0.17,55.7,0.0,0.0
2016-11-23,,,,,0.27,55.43,0.0,0.0
2016-11-25,,,,,1.34,54.09,0.0,0.0
2016-11-28,,,,,0.61,54.7,0.0,0.0
2016-11-29,,,,,1.37,53.33,0.0,0.0
2016-11-30,,,,,1.9,55.23,0.0,0.0
2016-12-01,,,,,0.14,55.09,0.0,0.0
2016-12-02,,,,,0.73,55.82,0.0,0.0
2016-12-05,,,,,0.3,56.12,0.0,0.0
2016-12-06,,,,,0.51,55.61,0.0,0.0
2016-12-07,,,,,0.47,55.14,0.0,0.0
2016-12-08,,,,,0.15,55.29,0.0,0.0
2016-12-09,,,,,0.3,55.59,0.0,0.0
2016-12-12,,,,,0.32,55.27,0.0,0.0
2016-12-13,,,,,0.18,55.45,0.0,0.0
2016-12-14,,,,,0.8,54.65,0.0,0.0
2016-12-15,,,,,0.26,54.39,0.0,0.0
2016-12-16,,,,,0.4,54.79,0.0,0.0
2016-12-19,,,,,0.18,54.97,0.0,0.0
2016-12-20,,,,,0.54,55.51,0.0,0.0
2016-12-21,,,,,0.72,54.79,0.0,0.0
2016-12-22,,,,,0.09,54.88,0.0,0.0
2016-12-23,,,,,0.27,55.15,0.0,0.0
2016-12-27,,,,,0.55,55.7,0.0,0.0
2016-12-28,,,,,0.19,55.89,0.0,0.0
2016-12-29,,,,,0.15,56.04,0.0,0.0
2016-12-30,,,,,0.09,56.13,0.0,0.0
2017-01-03,,,,,0.88,55.25,0.0,0.0
2017-01-04,,,,,1.15,56.4,0.0,0.0
2017-01-05,,,,,0.54,56.94,0.0,0.0
2017-01-06,,,,,0.14,57.08,0.0,0.0
2017-01-09,,,,,1.09,55.99,0.0,0.0
2017-01-10,,,,,0.39,55.6,0.0,0.0
2017-01-11,,,,,0.86,56.46,0.0,0.0
2017-01-12,,,,,0.39,56.85,0.0,0.0
2017-01-13,,,,,0.46,56.39,0.0,0.0
2017-01-17,,,,,0.39,56.0,0.0,0.0
2017-01-18,,,,,0.59,55.41,0.0,0.0
2017-01-19,,,,,0.2,55.61,0.0,0.0
2017-01-20,,,,,0.79,56.4,0.0,0.0
2017-01-23,,,,,0.34,56.06,0.0,0.0
2017-01-24,,,,,0.23,56.29,0.0,0.0
2017-01-25,,,,,0.3,55.99,0.0,0.0
2017-01-26,,,,,0.38,56.37,0.0,0.0
2017-01-27,,,,,0.68,55.69,0.0,0.0
2017-01-30,,,,,0.12,55.57,0.0,0.0
2017-01-31,,,,,0.16,55.73,0.0,0.0
2017-02-01,,,,,0.61,56.34,0.0,0.0
2017-02-02,,,,,0.33,56.01,0.0,0.0
2017-02-03,,,,,0.35,56.36,0.0,0.0
2017-02-06,,,,,0.32,56.04,0.0,0.0
2017-02-07,,,,,0.7,55.34,0.0,0.0
2017-02-08,,,,,0.07,55.27,0.0,0.0
2017-02-09,,,,,0.08,55.35,0.0,0.0
2017-02-10,,,,,0.15,55.5,0.0,0.0
2017-02-13,,,,,0.56,54.94,0.0,0.0
2017-02-14,,,,,0.09,54.85,0.0,0.0
2017-02-15,,,,,0.5,54.35,0.0,0.0
2017-02-16,,,,,0.23,54.12,0.0,0.0
2017-02-17,,,,,0.19,53.93,0.0,0.0
2017-02-21,,,,,0.69,53.24,0.0,0.0
2017-02-22,,,,,0.44,52.8,0.0,0.0
2017-02-23,,,,,0.47,53.27,0.0,0.0
2017-02-24,,,,,0.24,53.03,0.0,0.0
2017-02-27,,,,,0.45,53.48,0.0,0.0
2017-02-28,,,,,0.61,54.09,0.0,0.0
2017-03-01,,,,,0.15,53.94,0.0,0.0
2017-03-02,,,,,0.31,53.63,0.0,0.0
2017-03-03,,,,,0.27,53.9,0.0,0.0
2017-03-06,,,,,0.09,53.99,0.0,0.0
2017-03-07,,,,,0.1,53.89,0.0,0.0
2017-03-08,,,,,1.69,52.2,0.0,0.0
2017-03-09,,,,,0.64,51.56,0.0,0.0
2017-03-10,,,,,0.73,50.83,0.0,0.0
2017-03-13,,,,,0.22,51.05,0.0,0.0
2017-03-14,,,,,0.26,50.79,0.0,0.0
2017-03-15,,,,,0.1,50.89,0.0,0.0
2017-03-16,,,,,0.22,50.67,0.0,0.0
2017-03-17,,,,,0.06,50.61,0.0,0.0
2017-03-20,,,,,0.12,50.49,0.0,0.0
2017-03-21,,,,,,50.49,0.0,0.0
2017-03-22,,,,,0.2,50.69,0.0,0.0
2017-03-23,,,,,0.25,50.44,0.0,0.0
2017-03-24,,,,,0.17,50.61,0.0,0.0
2017-03-27,,,,,0.26,50.87,0.0,0.0
2017-03-28,,,,,0.26,50.61,0.0,0.0
2017-03-29,,,,,0.13,50.74,0.0,0.0
2017-03-30,,,,,0.61,51.35,0.0,0.0
2017-03-31,,,,,0.34,51.69,0.0,0.0
2017-04-03,,,,,0.39,52.08,0.0,0.0
2017-04-04,,,,,0.36,52.44,0.0,0.0
