Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-20,,,,,0.0,57.06,0.0,0.0
2015-11-23,,,,,0.29,57.35,0.0,0.0
2015-11-24,,,,,1.26,58.61,0.0,0.0
2015-11-25,,,,,0.03,58.58,0.0,0.0
2015-11-27,,,,,0.52,58.06,0.0,0.0
2015-11-30,,,,,0.21,57.85,0.0,0.0
2015-12-01,,,,,0.08,57.77,0.0,0.0
2015-12-02,,,,,0.28,57.49,0.0,0.0
2015-12-03,,,,,0.6,58.09,0.0,0.0
2015-12-04,,,,,,58.09,0.0,0.0
2015-12-07,,,,,0.25,57.84,0.0,0.0
2015-12-08,,,,,0.06,57.78,0.0,0.0
2015-12-09,,,,,0.1,57.68,0.0,0.0
2015-12-10,,,,,0.2,57.88,0.0,0.0
2015-12-11,,,,,0.7,57.18,0.0,0.0
2015-12-14,,,,,1.16,56.02,0.0,0.0
2015-12-15,,,,,0.07,56.09,0.0,0.0
2015-12-16,,,,,0.39,55.7,0.0,0.0
2015-12-17,,,,,0.18,55.52,0.0,0.0
2015-12-18,,,,,0.29,55.23,0.0,0.0
2015-12-21,,,,,0.67,54.56,0.0,0.0
2015-12-22,,,,,0.88,53.68,0.0,0.0
2015-12-23,,,,,0.12,53.8,0.0,0.0
2015-12-24,,,,,0.94,54.74,0.0,0.0
2015-12-28,,,,,0.39,54.35,0.0,0.0
2015-12-29,,,,,0.73,55.08,0.0,0.0
2015-12-30,,,,,0.67,54.41,0.0,0.0
2015-12-31,,,,,0.55,54.96,0.0,0.0
2016-01-04,,,,,0.17,54.79,0.0,0.0
2016-01-05,,,,,0.51,54.28,0.0,0.0
2016-01-06,,,,,1.17,53.11,0.0,0.0
2016-01-07,,,,,0.93,52.18,0.0,0.0
2016-01-08,,,,,0.08,52.1,0.0,0.0
2016-01-11,,,,,1.23,50.87,0.0,0.0
2016-01-12,,,,,1.2,49.67,0.0,0.0
2016-01-13,,,,,1.0,48.67,0.0,0.0
2016-01-14,,,,,0.5,49.17,0.0,0.0
2016-01-15,,,,,2.28,46.89,0.0,0.0
2016-01-19,,,,,1.26,45.63,0.0,0.0
2016-01-20,,,,,0.43,45.2,0.0,0.0
2016-01-21,,,,,0.38,45.58,0.0,0.0
2016-01-22,,,,,1.96,47.54,0.0,0.0
2016-01-25,,,,,0.25,47.79,0.0,0.0
2016-01-26,,,,,0.81,48.6,0.0,0.0
2016-01-27,,,,,0.59,49.19,0.0,0.0
2016-01-28,,,,,0.5,49.69,0.0,0.0
2016-01-29,,,,,0.96,50.65,0.0,0.0
2016-02-01,,,,,1.27,49.38,0.0,0.0
2016-02-02,,,,,0.73,48.65,0.0,0.0
2016-02-03,,,,,0.85,49.5,0.0,0.0
2016-02-04,,,,,0.46,49.96,0.0,0.0
2016-02-05,,,,,0.09,49.87,0.0,0.0
2016-02-08,,,,,0.38,49.49,0.0,0.0
2016-02-09,,,,,2.41,47.08,0.0,0.0
2016-02-10,,,,,0.41,47.49,0.0,0.0
2016-02-11,,,,,0.04,47.53,0.0,0.0
2016-02-12,,,,,2.47,50.0,0.0,0.0
2016-02-16,,,,,1.17,48.83,0.0,0.0
2016-02-17,,,,,0.85,49.68,0.0,0.0
2016-02-18,,,,,0.51,49.17,0.0,0.0
2016-02-19,,,,,0.95,48.22,0.0,0.0
2016-02-22,,,,,0.97,49.19,0.0,0.0
2016-02-23,,,,,1.08,48.11,0.0,0.0
2016-02-24,,,,,0.29,48.4,0.0,0.0
2016-02-25,,,,,0.26,48.66,0.0,0.0
2016-02-26,,,,,0.94,47.72,0.0,0.0
2016-02-29,,,,,1.04,48.76,0.0,0.0
2016-03-01,,,,,0.23,48.99,0.0,0.0
2016-03-02,,,,,0.22,48.77,0.0,0.0
2016-03-03,,,,,0.23,48.54,0.0,0.0
2016-03-04,,,,,0.67,49.21,0.0,0.0
2016-03-07,,,,,1.04,50.25,0.0,0.0
2016-03-08,,,,,0.89,49.36,0.0,0.0
2016-03-09,,,,,0.92,50.28,0.0,0.0
2016-03-10,,,,,0.28,50.0,0.0,0.0
2016-03-11,,,,,0.32,50.32,0.0,0.0
2016-03-14,,,,,0.79,49.53,0.0,0.0
2016-03-15,,,,,0.1,49.43,0.0,0.0
2016-03-16,,,,,0.59,50.02,0.0,0.0
2016-03-17,,,,,,50.02,0.0,0.0
2016-03-18,,,,,0.28,50.3,0.0,0.0
2016-03-21,,,,,0.25,50.55,0.0,0.0
2016-03-22,,,,,0.18,50.73,0.0,0.0
2016-03-23,,,,,0.39,50.34,0.0,0.0
2016-03-24,,,,,0.33,50.01,0.0,0.0
2016-03-28,,,,,0.04,49.97,0.0,0.0
2016-03-29,,,,,0.1,50.07,0.0,0.0
2016-03-30,,,,,0.7,50.77,0.0,0.0
2016-03-31,,,,,0.37,51.14,0.0,0.0
2016-04-01,,,,,1.13,50.01,0.0,0.0
2016-04-04,,,,,0.82,49.19,0.0,0.0
2016-04-05,,,,,0.39,48.8,0.0,0.0
2016-04-06,,,,,1.09,49.89,0.0,0.0
2016-04-07,,,,,0.97,48.92,0.0,0.0
2016-04-08,,,,,1.44,50.36,0.0,0.0
2016-04-11,,,,,0.62,50.98,0.0,0.0
2016-04-12,,,,,0.74,51.72,0.0,0.0
2016-04-13,,,,,0.18,51.54,0.0,0.0
2016-04-14,,,,,0.65,50.89,0.0,0.0
2016-04-15,,,,,1.2,49.69,0.0,0.0
2016-04-18,,,,,0.15,49.54,0.0,0.0
2016-04-19,,,,,0.67,50.21,0.0,0.0
2016-04-20,,,,,1.32,51.53,0.0,0.0
2016-04-21,,,,,0.2,51.33,0.0,0.0
2016-04-22,,,,,1.02,52.35,0.0,0.0
2016-04-25,,,,,0.08,52.43,0.0,0.0
2016-04-26,,,,,0.44,52.87,0.0,0.0
2016-04-27,,,,,0.82,53.69,0.0,0.0
2016-04-28,,,,,0.2,53.49,0.0,0.0
2016-04-29,,,,,0.26,53.75,0.0,0.0
2016-05-02,,,,,0.45,53.3,0.0,0.0
2016-05-03,,,,,0.15,53.15,0.0,0.0
2016-05-04,,,,,0.32,53.47,0.0,0.0
2016-05-05,,,,,0.69,54.16,0.0,0.0
2016-05-06,,,,,0.64,54.8,0.0,0.0
2016-05-09,,,,,0.01,54.79,0.0,0.0
2016-05-10,,,,,0.54,55.33,0.0,0.0
2016-05-11,,,,,0.09,55.42,0.0,0.0
2016-05-12,,,,,0.35,55.07,0.0,0.0
2016-05-13,,,,,1.15,53.92,0.0,0.0
2016-05-16,,,,,0.25,54.17,0.0,0.0
2016-05-17,,,,,0.66,54.83,0.0,0.0
2016-05-18,,,,,0.36,55.19,0.0,0.0
2016-05-19,,,,,0.48,55.67,0.0,0.0
2016-05-20,,,,,0.32,55.35,0.0,0.0
2016-05-23,,,,,0.46,55.81,0.0,0.0
2016-05-24,,,,,0.28,56.09,0.0,0.0
2016-05-25,,,,,0.38,56.47,0.0,0.0
2016-05-26,,,,,0.11,56.58,0.0,0.0
2016-05-27,,,,,0.28,56.86,0.0,0.0
2016-05-31,,,,,0.1,56.96,0.0,0.0
2016-06-01,,,,,0.22,56.74,0.0,0.0
2016-06-02,,,,,0.21,56.95,0.0,0.0
2016-06-03,,,,,0.58,56.37,0.0,0.0
2016-06-06,,,,,0.26,56.63,0.0,0.0
2016-06-07,,,,,0.24,56.87,0.0,0.0
2016-06-08,,,,,0.04,56.83,0.0,0.0
2016-06-09,,,,,0.47,56.36,0.0,0.0
2016-06-10,,,,,0.53,55.83,0.0,0.0
2016-06-13,,,,,0.02,55.81,0.0,0.0
2016-06-14,,,,,0.48,55.33,0.0,0.0
2016-06-15,,,,,0.4,54.93,0.0,0.0
2016-06-16,,,,,1.22,53.71,0.0,0.0
2016-06-17,,,,,1.33,55.04,0.0,0.0
2016-06-20,,,,,0.85,55.89,0.0,0.0
2016-06-21,,,,,0.16,55.73,0.0,0.0
2016-06-22,,,,,0.07,55.8,0.0,0.0
2016-06-23,,,,,0.47,56.27,0.0,0.0
2016-06-24,,,,,1.82,54.45,0.0,0.0
2016-06-27,,,,,0.17,54.28,0.0,0.0
2016-06-28,,,,,1.63,55.91,0.0,0.0
2016-06-29,,,,,1.69,57.6,0.0,0.0
2016-06-30,,,,,1.08,56.52,0.0,0.0
2016-07-01,,,,,1.33,57.85,0.0,0.0
2016-07-05,,,,,1.01,56.84,0.0,0.0
2016-07-06,,,,,1.1,57.94,0.0,0.0
2016-07-07,,,,,1.38,56.56,0.0,0.0
2016-07-08,,,,,0.74,57.3,0.0,0.0
2016-07-11,,,,,0.16,57.14,0.0,0.0
2016-07-12,,,,,0.59,57.73,0.0,0.0
2016-07-13,,,,,1.25,56.48,0.0,0.0
2016-07-14,,,,,0.2,56.68,0.0,0.0
2016-07-15,,,,,0.33,56.35,0.0,0.0
2016-07-18,,,,,0.46,55.89,0.0,0.0
2016-07-19,,,,,0.47,56.36,0.0,0.0
2016-07-20,,,,,0.52,56.88,0.0,0.0
2016-07-21,,,,,0.63,56.25,0.0,0.0
2016-07-22,,,,,0.06,56.19,0.0,0.0
2016-07-25,,,,,0.05,56.14,0.0,0.0
2016-07-26,,,,,0.22,55.92,0.0,0.0
2016-07-27,,,,,0.96,54.96,0.0,0.0
2016-07-28,,,,,1.22,53.74,0.0,0.0
2016-07-29,,,,,0.29,53.45,0.0,0.0
2016-08-01,,,,,0.68,52.77,0.0,0.0
2016-08-02,,,,,0.17,52.6,0.0,0.0
2016-08-03,,,,,0.47,53.07,0.0,0.0
2016-08-04,,,,,0.04,53.11,0.0,0.0
2016-08-05,,,,,0.06,53.17,0.0,0.0
2016-08-08,,,,,0.7,53.87,0.0,0.0
2016-08-09,,,,,0.11,53.98,0.0,0.0
