Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-20,,,,,0.0,80.05,0.0,0.0
2014-11-21,,,,,0.87,80.92,0.0,0.0
2014-11-24,,,,,0.29,80.63,0.0,0.0
2014-11-25,,,,,0.41,80.22,0.0,0.0
2014-11-26,,,,,0.48,80.7,0.0,0.0
2014-11-28,,,,,3.21,77.49,0.0,0.0
2014-12-01,,,,,1.78,79.27,0.0,0.0
2014-12-02,,,,,1.23,78.04,0.0,0.0
2014-12-03,,,,,0.09,77.95,0.0,0.0
2014-12-04,,,,,1.78,76.17,0.0,0.0
2014-12-05,,,,,1.51,74.66,0.0,0.0
2014-12-08,,,,,2.17,72.49,0.0,0.0
2014-12-09,,,,,0.17,72.66,0.0,0.0
2014-12-10,,,,,1.44,71.22,0.0,0.0
2014-12-11,,,,,0.15,71.07,0.0,0.0
2014-12-12,,,,,1.97,69.1,0.0,0.0
2014-12-15,,,,,1.46,67.64,0.0,0.0
2014-12-16,,,,,1.11,66.53,0.0,0.0
2014-12-17,,,,,0.45,66.98,0.0,0.0
2014-12-18,,,,,0.58,67.56,0.0,0.0
2014-12-19,,,,,2.85,70.41,0.0,0.0
2014-12-22,,,,,0.17,70.24,0.0,0.0
2014-12-23,,,,,1.26,71.5,0.0,0.0
2014-12-24,,,,,0.21,71.71,0.0,0.0
2014-12-26,,,,,0.37,71.34,0.0,0.0
2014-12-29,,,,,0.82,70.52,0.0,0.0
2014-12-30,,,,,0.09,70.43,0.0,0.0
2014-12-31,,,,,0.09,70.34,0.0,0.0
2015-01-02,,,,,0.5,69.84,0.0,0.0
2015-01-05,,,,,1.33,68.51,0.0,0.0
2015-01-06,,,,,1.76,66.75,0.0,0.0
2015-01-07,,,,,0.58,66.17,0.0,0.0
2015-01-08,,,,,0.02,66.19,0.0,0.0
2015-01-09,,,,,1.23,67.42,0.0,0.0
2015-01-12,,,,,0.7,66.72,0.0,0.0
2015-01-13,,,,,0.71,67.43,0.0,0.0
2015-01-14,,,,,0.49,67.92,0.0,0.0
2015-01-15,,,,,2.23,65.69,0.0,0.0
2015-01-16,,,,,1.21,66.9,0.0,0.0
2015-01-20,,,,,1.44,65.46,0.0,0.0
2015-01-21,,,,,0.45,65.91,0.0,0.0
2015-01-22,,,,,0.6,65.31,0.0,0.0
2015-01-23,,,,,0.43,65.74,0.0,0.0
2015-01-26,,,,,0.25,65.49,0.0,0.0
2015-01-27,,,,,1.05,66.54,0.0,0.0
2015-01-28,,,,,0.64,65.9,0.0,0.0
2015-01-29,,,,,1.06,66.96,0.0,0.0
2015-01-30,,,,,2.25,69.21,0.0,0.0
2015-02-02,,,,,0.54,69.75,0.0,0.0
2015-02-03,,,,,1.35,71.1,0.0,0.0
2015-02-04,,,,,1.68,69.42,0.0,0.0
2015-02-05,,,,,0.71,70.13,0.0,0.0
2015-02-06,,,,,0.73,69.4,0.0,0.0
2015-02-09,,,,,0.42,69.82,0.0,0.0
2015-02-10,,,,,0.63,69.19,0.0,0.0
2015-02-11,,,,,0.26,69.45,0.0,0.0
2015-02-12,,,,,1.12,70.57,0.0,0.0
2015-02-13,,,,,0.94,69.63,0.0,0.0
2015-02-17,,,,,0.36,69.27,0.0,0.0
2015-02-18,,,,,0.3,68.97,0.0,0.0
2015-02-19,,,,,0.6,68.37,0.0,0.0
2015-02-20,,,,,1.07,69.44,0.0,0.0
2015-02-23,,,,,0.17,69.27,0.0,0.0
2015-02-24,,,,,0.52,69.79,0.0,0.0
2015-02-25,,,,,0.62,70.41,0.0,0.0
2015-02-26,,,,,0.33,70.08,0.0,0.0
2015-02-27,,,,,0.04,70.04,0.0,0.0
2015-03-02,,,,,0.41,69.63,0.0,0.0
2015-03-03,,,,,0.53,70.16,0.0,0.0
2015-03-04,,,,,1.22,68.94,0.0,0.0
2015-03-05,,,,,0.5,68.44,0.0,0.0
2015-03-06,,,,,0.72,67.72,0.0,0.0
2015-03-09,,,,,0.52,67.2,0.0,0.0
2015-03-10,,,,,0.52,66.68,0.0,0.0
2015-03-11,,,,,0.2,66.88,0.0,0.0
2015-03-12,,,,,0.52,66.36,0.0,0.0
2015-03-13,,,,,0.5,65.86,0.0,0.0
2015-03-16,,,,,0.44,66.3,0.0,0.0
2015-03-17,,,,,0.69,65.61,0.0,0.0
2015-03-18,,,,,1.37,66.98,0.0,0.0
2015-03-19,,,,,0.93,66.05,0.0,0.0
2015-03-20,,,,,0.53,66.58,0.0,0.0
2015-03-23,,,,,0.19,66.77,0.0,0.0
2015-03-24,,,,,0.67,66.1,0.0,0.0
2015-03-25,,,,,0.01,66.09,0.0,0.0
2015-03-26,,,,,0.11,65.98,0.0,0.0
2015-03-27,,,,,1.4,64.58,0.0,0.0
2015-03-30,,,,,0.58,65.16,0.0,0.0
2015-03-31,,,,,0.49,64.67,0.0,0.0
2015-04-01,,,,,0.75,65.42,0.0,0.0
2015-04-02,,,,,0.65,64.77,0.0,0.0
2015-04-06,,,,,0.33,65.1,0.0,0.0
2015-04-07,,,,,0.68,64.42,0.0,0.0
2015-04-08,,,,,1.11,63.31,0.0,0.0
2015-04-09,,,,,1.08,64.39,0.0,0.0
2015-04-10,,,,,0.47,64.86,0.0,0.0
2015-04-13,,,,,0.33,64.53,0.0,0.0
2015-04-14,,,,,0.14,64.67,0.0,0.0
2015-04-15,,,,,1.33,66.0,0.0,0.0
2015-04-16,,,,,0.3,66.3,0.0,0.0
2015-04-17,,,,,0.46,65.84,0.0,0.0
2015-04-20,,,,,0.73,66.57,0.0,0.0
2015-04-21,,,,,0.25,66.82,0.0,0.0
2015-04-22,,,,,0.43,67.25,0.0,0.0
2015-04-23,,,,,0.67,67.92,0.0,0.0
2015-04-24,,,,,1.18,66.74,0.0,0.0
2015-04-27,,,,,0.04,66.7,0.0,0.0
2015-04-28,,,,,0.07,66.77,0.0,0.0
2015-04-29,,,,,0.03,66.8,0.0,0.0
2015-04-30,,,,,0.13,66.93,0.0,0.0
2015-05-01,,,,,0.11,66.82,0.0,0.0
2015-05-04,,,,,0.27,67.09,0.0,0.0
2015-05-05,,,,,0.57,67.66,0.0,0.0
2015-05-06,,,,,0.35,68.01,0.0,0.0
2015-05-07,,,,,0.28,67.73,0.0,0.0
2015-05-08,,,,,0.44,68.17,0.0,0.0
2015-05-11,,,,,0.07,68.24,0.0,0.0
2015-05-12,,,,,0.15,68.09,0.0,0.0
2015-05-13,,,,,0.05,68.04,0.0,0.0
2015-05-14,,,,,0.46,68.5,0.0,0.0
2015-05-15,,,,,0.01,68.49,0.0,0.0
2015-05-18,,,,,0.38,68.11,0.0,0.0
2015-05-19,,,,,0.63,67.48,0.0,0.0
2015-05-20,,,,,0.38,67.86,0.0,0.0
2015-05-21,,,,,0.01,67.85,0.0,0.0
2015-05-22,,,,,0.53,67.32,0.0,0.0
2015-05-26,,,,,0.13,67.45,0.0,0.0
2015-05-27,,,,,0.38,67.07,0.0,0.0
2015-05-28,,,,,0.04,67.03,0.0,0.0
2015-05-29,,,,,0.31,67.34,0.0,0.0
2015-06-01,,,,,0.44,66.9,0.0,0.0
2015-06-02,,,,,1.06,67.96,0.0,0.0
2015-06-03,,,,,0.42,67.54,0.0,0.0
2015-06-04,,,,,0.56,66.98,0.0,0.0
2015-06-05,,,,,1.31,68.29,0.0,0.0
2015-06-08,,,,,0.63,67.66,0.0,0.0
2015-06-09,,,,,0.48,68.14,0.0,0.0
2015-06-10,,,,,0.39,68.53,0.0,0.0
2015-06-11,,,,,0.43,68.1,0.0,0.0
2015-06-12,,,,,0.87,67.23,0.0,0.0
2015-06-15,,,,,0.46,67.69,0.0,0.0
2015-06-16,,,,,0.31,68.0,0.0,0.0
2015-06-17,,,,,0.01,67.99,0.0,0.0
2015-06-18,,,,,0.28,68.27,0.0,0.0
2015-06-19,,,,,0.71,67.56,0.0,0.0
2015-06-22,,,,,0.76,68.32,0.0,0.0
2015-06-23,,,,,0.53,67.79,0.0,0.0
2015-06-24,,,,,0.44,67.35,0.0,0.0
2015-06-25,,,,,0.18,67.17,0.0,0.0
2015-06-26,,,,,0.18,67.35,0.0,0.0
2015-06-29,,,,,0.52,66.83,0.0,0.0
2015-06-30,,,,,0.18,67.01,0.0,0.0
2015-07-01,,,,,0.42,66.59,0.0,0.0
2015-07-02,,,,,0.09,66.5,0.0,0.0
2015-07-06,,,,,2.76,63.74,0.0,0.0
2015-07-07,,,,,0.18,63.92,0.0,0.0
2015-07-08,,,,,0.25,64.17,0.0,0.0
2015-07-09,,,,,0.91,65.08,0.0,0.0
2015-07-10,,,,,0.88,65.96,0.0,0.0
2015-07-13,,,,,0.24,66.2,0.0,0.0
2015-07-14,,,,,0.09,66.11,0.0,0.0
2015-07-15,,,,,1.1,65.01,0.0,0.0
2015-07-16,,,,,0.55,64.46,0.0,0.0
2015-07-17,,,,,0.33,64.13,0.0,0.0
2015-07-20,,,,,0.1,64.03,0.0,0.0
2015-07-21,,,,,0.72,64.75,0.0,0.0
2015-07-22,,,,,0.98,63.77,0.0,0.0
2015-07-23,,,,,0.74,63.03,0.0,0.0
2015-07-24,,,,,0.78,62.25,0.0,0.0
2015-07-27,,,,,0.04,62.21,0.0,0.0
2015-07-28,,,,,0.12,62.33,0.0,0.0
2015-07-29,,,,,0.02,62.31,0.0,0.0
2015-07-30,,,,,0.01,62.32,0.0,0.0
2015-07-31,,,,,0.42,61.9,0.0,0.0
2015-08-03,,,,,1.12,60.78,0.0,0.0
2015-08-04,,,,,0.03,60.81,0.0,0.0
2015-08-05,,,,,0.24,60.57,0.0,0.0
2015-08-06,,,,,0.5,61.07,0.0,0.0
2015-08-07,,,,,0.64,60.43,0.0,0.0
2015-08-10,,,,,0.99,61.42,0.0,0.0
2015-08-11,,,,,0.04,61.38,0.0,0.0
2015-08-12,,,,,0.57,61.95,0.0,0.0
2015-08-13,,,,,0.24,62.19,0.0,0.0
2015-08-14,,,,,0.52,62.71,0.0,0.0
2015-08-17,,,,,0.44,62.27,0.0,0.0
2015-08-18,,,,,0.42,61.85,0.0,0.0
2015-08-19,,,,,1.44,60.41,0.0,0.0
2015-08-20,,,,,1.45,58.96,0.0,0.0
2015-08-21,,,,,2.08,56.88,0.0,0.0
2015-08-24,,,,,1.38,55.5,0.0,0.0
2015-08-25,,,,,0.8,56.3,0.0,0.0
2015-08-26,,,,,0.52,56.82,0.0,0.0
2015-08-27,,,,,3.19,60.01,0.0,0.0
2015-08-28,,,,,1.23,61.24,0.0,0.0
2015-08-31,,,,,1.84,63.08,0.0,0.0
2015-09-01,,,,,3.77,59.31,0.0,0.0
2015-09-02,,,,,0.96,60.27,0.0,0.0
2015-09-03,,,,,0.18,60.09,0.0,0.0
2015-09-04,,,,,1.05,59.04,0.0,0.0
2015-09-08,,,,,0.69,59.73,0.0,0.0
2015-09-09,,,,,1.02,58.71,0.0,0.0
2015-09-10,,,,,1.07,59.78,0.0,0.0
2015-09-11,,,,,0.5,59.28,0.0,0.0
2015-09-14,,,,,1.24,58.04,0.0,0.0
2015-09-15,,,,,0.48,58.52,0.0,0.0
2015-09-16,,,,,0.82,59.34,0.0,0.0
2015-09-17,,,,,0.37,58.97,0.0,0.0
2015-09-18,,,,,1.21,57.76,0.0,0.0
2015-09-21,,,,,1.36,59.12,0.0,0.0
2015-09-22,,,,,0.17,59.29,0.0,0.0
2015-09-23,,,,,1.33,57.96,0.0,0.0
2015-09-24,,,,,0.57,58.53,0.0,0.0
2015-09-25,,,,,0.31,58.84,0.0,0.0
2015-09-28,,,,,1.27,57.57,0.0,0.0
2015-09-29,,,,,0.01,57.56,0.0,0.0
2015-09-30,,,,,0.16,57.72,0.0,0.0
2015-10-01,,,,,1.12,56.6,0.0,0.0
2015-10-02,,,,,0.06,56.66,0.0,0.0
2015-10-05,,,,,0.88,57.54,0.0,0.0
2015-10-06,,,,,1.31,58.85,0.0,0.0
2015-10-07,,,,,0.28,58.57,0.0,0.0
2015-10-08,,,,,0.45,58.12,0.0,0.0
2015-10-09,,,,,0.69,58.81,0.0,0.0
2015-10-12,,,,,0.81,58.0,0.0,0.0
2015-10-13,,,,,0.22,58.22,0.0,0.0
2015-10-14,,,,,0.34,58.56,0.0,0.0
2015-10-15,,,,,0.11,58.67,0.0,0.0
2015-10-16,,,,,0.33,59.0,0.0,0.0
2015-10-19,,,,,0.9,58.1,0.0,0.0
2015-10-20,,,,,0.38,58.48,0.0,0.0
2015-10-21,,,,,0.38,58.1,0.0,0.0
2015-10-22,,,,,0.55,58.65,0.0,0.0
2015-10-23,,,,,0.66,57.99,0.0,0.0
2015-10-26,,,,,0.04,58.03,0.0,0.0
2015-10-27,,,,,0.71,57.32,0.0,0.0
2015-10-28,,,,,1.36,58.68,0.0,0.0
2015-10-29,,,,,0.37,58.31,0.0,0.0
2015-10-30,,,,,0.33,58.64,0.0,0.0
2015-11-02,,,,,0.25,58.39,0.0,0.0
2015-11-03,,,,,0.72,59.11,0.0,0.0
2015-11-04,,,,,1.08,58.03,0.0,0.0
2015-11-05,,,,,0.24,57.79,0.0,0.0
2015-11-06,,,,,0.31,57.48,0.0,0.0
2015-11-09,,,,,0.04,57.52,0.0,0.0
2015-11-10,,,,,0.3,57.82,0.0,0.0
2015-11-11,,,,,0.89,56.93,0.0,0.0
2015-11-12,,,,,0.15,56.78,0.0,0.0
2015-11-13,,,,,0.15,56.63,0.0,0.0
2015-11-16,,,,,0.11,56.74,0.0,0.0
2015-11-17,,,,,0.93,55.81,0.0,0.0
2015-11-18,,,,,0.03,55.84,0.0,0.0
2015-11-19,,,,,0.32,55.52,0.0,0.0
2015-11-20,,,,,0.06,55.58,0.0,0.0
2015-11-23,,,,,0.29,55.87,0.0,0.0
2015-11-24,,,,,1.19,57.06,0.0,0.0
2015-11-25,,,,,0.03,57.03,0.0,0.0
2015-11-27,,,,,0.56,56.47,0.0,0.0
2015-11-30,,,,,0.21,56.26,0.0,0.0
2015-12-01,,,,,0.08,56.18,0.0,0.0
2015-12-02,,,,,0.38,55.8,0.0,0.0
2015-12-03,,,,,0.6,56.4,0.0,0.0
2015-12-04,,,,,0.19,56.21,0.0,0.0
2015-12-07,,,,,0.33,55.88,0.0,0.0
2015-12-08,,,,,0.1,55.78,0.0,0.0
2015-12-09,,,,,0.1,55.68,0.0,0.0
2015-12-10,,,,,0.26,55.94,0.0,0.0
2015-12-11,,,,,0.7,55.24,0.0,0.0
2015-12-14,,,,,1.1,54.14,0.0,0.0
2015-12-15,,,,,0.11,54.25,0.0,0.0
2015-12-16,,,,,0.44,53.81,0.0,0.0
2015-12-17,,,,,0.18,53.63,0.0,0.0
2015-12-18,,,,,0.3,53.33,0.0,0.0
2015-12-21,,,,,0.75,52.58,0.0,0.0
2015-12-22,,,,,0.83,51.75,0.0,0.0
2015-12-23,,,,,0.22,51.97,0.0,0.0
2015-12-24,,,,,0.94,52.91,0.0,0.0
2015-12-28,,,,,0.37,52.54,0.0,0.0
2015-12-29,,,,,0.73,53.27,0.0,0.0
2015-12-30,,,,,0.67,52.6,0.0,0.0
2015-12-31,,,,,0.55,53.15,0.0,0.0
2016-01-04,,,,,0.13,53.02,0.0,0.0
2016-01-05,,,,,0.51,52.51,0.0,0.0
2016-01-06,,,,,1.17,51.34,0.0,0.0
2016-01-07,,,,,0.93,50.41,0.0,0.0
2016-01-08,,,,,0.08,50.33,0.0,0.0
2016-01-11,,,,,1.32,49.01,0.0,0.0
2016-01-12,,,,,1.31,47.7,0.0,0.0
2016-01-13,,,,,0.96,46.74,0.0,0.0
2016-01-14,,,,,0.57,47.31,0.0,0.0
2016-01-15,,,,,2.29,45.02,0.0,0.0
2016-01-19,,,,,1.17,43.85,0.0,0.0
2016-01-20,,,,,0.52,43.33,0.0,0.0
2016-01-21,,,,,0.4,43.73,0.0,0.0
2016-01-22,,,,,2.17,45.9,0.0,0.0
2016-01-25,,,,,0.05,45.95,0.0,0.0
2016-01-26,,,,,0.76,46.71,0.0,0.0
2016-01-27,,,,,0.65,47.36,0.0,0.0
2016-01-28,,,,,0.57,47.93,0.0,0.0
2016-01-29,,,,,0.96,48.89,0.0,0.0
2016-02-01,,,,,1.22,47.67,0.0,0.0
2016-02-02,,,,,0.76,46.91,0.0,0.0
2016-02-03,,,,,0.89,47.8,0.0,0.0
2016-02-04,,,,,0.37,48.17,0.0,0.0
2016-02-05,,,,,0.07,48.1,0.0,0.0
2016-02-08,,,,,0.4,47.7,0.0,0.0
2016-02-09,,,,,2.51,45.19,0.0,0.0
2016-02-10,,,,,0.41,45.6,0.0,0.0
2016-02-11,,,,,0.01,45.61,0.0,0.0
2016-02-12,,,,,2.51,48.12,0.0,0.0
2016-02-16,,,,,1.19,46.93,0.0,0.0
2016-02-17,,,,,0.96,47.89,0.0,0.0
2016-02-18,,,,,0.54,47.35,0.0,0.0
2016-02-19,,,,,0.95,46.4,0.0,0.0
2016-02-22,,,,,0.99,47.39,0.0,0.0
2016-02-23,,,,,1.11,46.28,0.0,0.0
2016-02-24,,,,,0.35,46.63,0.0,0.0
2016-02-25,,,,,0.19,46.82,0.0,0.0
2016-02-26,,,,,0.86,45.96,0.0,0.0
2016-02-29,,,,,1.08,47.04,0.0,0.0
2016-03-01,,,,,0.21,47.25,0.0,0.0
2016-03-02,,,,,0.21,47.04,0.0,0.0
2016-03-03,,,,,0.18,46.86,0.0,0.0
2016-03-04,,,,,0.77,47.63,0.0,0.0
2016-03-07,,,,,1.34,48.97,0.0,0.0
2016-03-08,,,,,0.87,48.1,0.0,0.0
2016-03-09,,,,,0.92,49.02,0.0,0.0
2016-03-10,,,,,0.31,48.71,0.0,0.0
2016-03-11,,,,,0.32,49.03,0.0,0.0
2016-03-14,,,,,0.87,48.16,0.0,0.0
2016-03-15,,,,,0.2,47.96,0.0,0.0
2016-03-16,,,,,0.64,48.6,0.0,0.0
2016-03-17,,,,,0.16,48.76,0.0,0.0
2016-03-18,,,,,0.26,49.02,0.0,0.0
2016-03-21,,,,,0.21,49.23,0.0,0.0
2016-03-22,,,,,0.18,49.41,0.0,0.0
2016-03-23,,,,,0.5,48.91,0.0,0.0
2016-03-24,,,,,0.28,48.63,0.0,0.0
2016-03-28,,,,,0.17,48.46,0.0,0.0
2016-03-29,,,,,0.03,48.43,0.0,0.0
2016-03-30,,,,,0.67,49.1,0.0,0.0
2016-03-31,,,,,0.32,49.42,0.0,0.0
2016-04-01,,,,,1.24,48.18,0.0,0.0
2016-04-04,,,,,0.95,47.23,0.0,0.0
2016-04-05,,,,,0.42,46.81,0.0,0.0
2016-04-06,,,,,1.12,47.93,0.0,0.0
2016-04-07,,,,,0.86,47.07,0.0,0.0
2016-04-08,,,,,1.59,48.66,0.0,0.0
2016-04-11,,,,,0.62,49.28,0.0,0.0
2016-04-12,,,,,0.93,50.21,0.0,0.0
