Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-20,,,,,0.0,80.13,0.0,0.0
2014-11-21,,,,,0.87,81.0,0.0,0.0
2014-11-24,,,,,0.29,80.71,0.0,0.0
2014-11-25,,,,,0.41,80.3,0.0,0.0
2014-11-26,,,,,0.48,80.78,0.0,0.0
2014-11-28,,,,,3.15,77.63,0.0,0.0
2014-12-01,,,,,1.78,79.41,0.0,0.0
2014-12-02,,,,,1.23,78.18,0.0,0.0
2014-12-03,,,,,0.09,78.09,0.0,0.0
2014-12-04,,,,,1.81,76.28,0.0,0.0
2014-12-05,,,,,1.55,74.73,0.0,0.0
2014-12-08,,,,,2.17,72.56,0.0,0.0
2014-12-09,,,,,0.15,72.71,0.0,0.0
2014-12-10,,,,,1.44,71.27,0.0,0.0
2014-12-11,,,,,0.15,71.12,0.0,0.0
2014-12-12,,,,,1.96,69.16,0.0,0.0
2014-12-15,,,,,1.48,67.68,0.0,0.0
2014-12-16,,,,,1.11,66.57,0.0,0.0
2014-12-17,,,,,0.41,66.98,0.0,0.0
2014-12-18,,,,,0.65,67.63,0.0,0.0
2014-12-19,,,,,2.86,70.49,0.0,0.0
2014-12-22,,,,,0.17,70.32,0.0,0.0
2014-12-23,,,,,1.26,71.58,0.0,0.0
2014-12-24,,,,,0.21,71.79,0.0,0.0
2014-12-26,,,,,0.37,71.42,0.0,0.0
2014-12-29,,,,,0.8,70.62,0.0,0.0
2014-12-30,,,,,0.08,70.54,0.0,0.0
2014-12-31,,,,,0.09,70.45,0.0,0.0
2015-01-02,,,,,0.5,69.95,0.0,0.0
2015-01-05,,,,,1.33,68.62,0.0,0.0
2015-01-06,,,,,1.76,66.86,0.0,0.0
2015-01-07,,,,,0.6,66.26,0.0,0.0
2015-01-08,,,,,0.02,66.28,0.0,0.0
2015-01-09,,,,,1.25,67.53,0.0,0.0
2015-01-12,,,,,0.7,66.83,0.0,0.0
2015-01-13,,,,,0.73,67.56,0.0,0.0
2015-01-14,,,,,0.49,68.05,0.0,0.0
2015-01-15,,,,,2.26,65.79,0.0,0.0
2015-01-16,,,,,1.21,67.0,0.0,0.0
2015-01-20,,,,,1.44,65.56,0.0,0.0
2015-01-21,,,,,0.45,66.01,0.0,0.0
2015-01-22,,,,,0.6,65.41,0.0,0.0
2015-01-23,,,,,0.43,65.84,0.0,0.0
2015-01-26,,,,,0.25,65.59,0.0,0.0
2015-01-27,,,,,1.05,66.64,0.0,0.0
2015-01-28,,,,,0.64,66.0,0.0,0.0
2015-01-29,,,,,1.06,67.06,0.0,0.0
2015-01-30,,,,,2.25,69.31,0.0,0.0
2015-02-02,,,,,0.54,69.85,0.0,0.0
2015-02-03,,,,,1.34,71.19,0.0,0.0
2015-02-04,,,,,1.68,69.51,0.0,0.0
2015-02-05,,,,,0.75,70.26,0.0,0.0
2015-02-06,,,,,0.71,69.55,0.0,0.0
2015-02-09,,,,,0.42,69.97,0.0,0.0
2015-02-10,,,,,0.63,69.34,0.0,0.0
2015-02-11,,,,,0.26,69.6,0.0,0.0
2015-02-12,,,,,1.12,70.72,0.0,0.0
2015-02-13,,,,,0.94,69.78,0.0,0.0
2015-02-17,,,,,0.36,69.42,0.0,0.0
2015-02-18,,,,,0.28,69.14,0.0,0.0
2015-02-19,,,,,0.58,68.56,0.0,0.0
2015-02-20,,,,,1.09,69.65,0.0,0.0
2015-02-23,,,,,0.17,69.48,0.0,0.0
2015-02-24,,,,,0.52,70.0,0.0,0.0
2015-02-25,,,,,0.62,70.62,0.0,0.0
2015-02-26,,,,,0.33,70.29,0.0,0.0
2015-02-27,,,,,0.04,70.25,0.0,0.0
2015-03-02,,,,,0.41,69.84,0.0,0.0
2015-03-03,,,,,0.53,70.37,0.0,0.0
2015-03-04,,,,,1.22,69.15,0.0,0.0
2015-03-05,,,,,0.5,68.65,0.0,0.0
2015-03-06,,,,,0.72,67.93,0.0,0.0
2015-03-09,,,,,0.52,67.41,0.0,0.0
2015-03-10,,,,,0.52,66.89,0.0,0.0
2015-03-11,,,,,0.2,67.09,0.0,0.0
