Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2011-11-18,0.0,0.0,0.0,,,93.36,0.0,0.0
2011-11-21,0.0,0.0,0.0,,,92.85,0.0,0.0
2011-11-22,0.0,0.0,0.0,,,94.1,0.0,0.0
2011-11-23,0.0,0.0,0.0,,,93.17,0.0,0.0
2011-11-25,0.0,0.0,0.0,,,91.8,0.0,0.0
2011-11-28,0.0,0.0,0.0,,,91.68,0.0,0.0
2011-11-29,0.0,0.0,0.0,,,91.09,0.0,0.0
2011-11-30,0.0,0.0,0.0,,,92.01,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,93.29,0.0,0.0
2011-12-02,0.0,0.0,0.0,,,94.15,0.0,0.0
2011-12-05,0.0,0.0,0.0,,,93.97,0.0,0.0
2011-12-06,0.0,0.0,0.0,,,93.93,0.0,0.0
2011-12-07,0.0,0.0,0.0,,,94.71,0.0,0.0
2011-12-08,0.0,0.0,0.0,,,94.06,0.0,0.0
2011-12-09,0.0,0.0,0.0,,,92.94,0.0,0.0
2011-12-12,0.0,0.0,0.0,,,92.64,0.0,0.0
2011-12-13,0.0,0.0,0.0,,,92.78,0.0,0.0
2011-12-14,0.0,0.0,0.0,,,90.4,0.0,0.0
2011-12-15,0.0,0.0,0.0,,,89.82,0.0,0.0
2011-12-16,0.0,0.0,0.0,,,90.29,0.0,0.0
2011-12-19,0.0,0.0,0.0,,,89.27,0.0,0.0
2011-12-20,0.0,0.0,0.0,,,90.95,0.0,0.0
2011-12-21,0.0,0.0,0.0,,,92.25,0.0,0.0
2011-12-22,0.0,0.0,0.0,,,91.87,0.0,0.0
2011-12-23,0.0,0.0,0.0,,,91.69,0.0,0.0
2011-12-27,0.0,0.0,0.0,,,92.38,0.0,0.0
2011-12-28,0.0,0.0,0.0,,,91.97,0.0,0.0
2011-12-29,0.0,0.0,0.0,,,92.79,0.0,0.0
2011-12-30,0.0,0.0,0.0,,,91.99,0.0,0.0
2012-01-03,0.0,0.0,0.0,,,92.85,0.0,0.0
2012-01-04,0.0,0.0,0.0,,,94.57,0.0,0.0
2012-01-05,0.0,0.0,0.0,,,94.6,0.0,0.0
2012-01-06,0.0,0.0,0.0,,,95.66,0.0,0.0
2012-01-09,0.0,0.0,0.0,,,95.99,0.0,0.0
2012-01-10,0.0,0.0,0.0,,,94.6,0.0,0.0
2012-01-11,0.0,0.0,0.0,,,94.04,0.0,0.0
2012-01-12,0.0,0.0,0.0,,,92.07,0.0,0.0
2012-01-13,0.0,0.0,0.0,,,91.44,0.0,0.0
2012-01-17,0.0,0.0,0.0,,,92.22,0.0,0.0
2012-01-18,0.0,0.0,0.0,,,91.8,0.0,0.0
2012-01-19,0.0,0.0,0.0,,,92.24,0.0,0.0
2012-01-20,0.0,0.0,0.0,,,90.83,0.0,0.0
2012-01-23,0.0,0.0,0.0,,,91.6,0.0,0.0
2012-01-24,0.0,0.0,0.0,,,92.26,0.0,0.0
2012-01-25,0.0,0.0,0.0,,,91.24,0.0,0.0
2012-01-26,0.0,0.0,0.0,,,90.94,0.0,0.0
2012-01-27,0.0,0.0,0.0,,,89.73,0.0,0.0
2012-01-30,0.0,0.0,0.0,,,89.4,0.0,0.0
2012-01-31,0.0,0.0,0.0,,,88.95,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,89.64,0.0,0.0
2012-02-02,0.0,0.0,0.0,,,89.48,0.0,0.0
2012-02-03,0.0,0.0,0.0,,,90.95,0.0,0.0
2012-02-06,0.0,0.0,0.0,,,91.9,0.0,0.0
2012-02-07,0.0,0.0,0.0,,,90.2,0.0,0.0
2012-02-08,0.0,0.0,0.0,,,90.6,0.0,0.0
2012-02-09,0.0,0.0,0.0,,,91.58,0.0,0.0
2012-02-10,0.0,0.0,0.0,,,90.01,0.0,0.0
