Date,Open,High,Low,Close,Adj Close,Volume
8/22/2014,11.88,12.48,11.47,11.47,11.47,0
8/25/2014,11.58,11.77,11.24,11.7,11.7,0
8/26/2014,11.33,11.93,11.33,11.63,11.63,0
8/27/2014,11.69,11.93,11.54,11.78,11.78,0
8/28/2014,12.38,12.73,12.05,12.05,12.05,0
8/29/2014,11.86,12.44,11.78,12.09,12.09,0
9/2/2014,12.32,13.41,12.23,12.25,12.25,0
9/3/2014,12.03,12.55,11.91,12.36,12.36,0
9/4/2014,12.4,12.99,11.7,12.64,12.64,0
9/5/2014,12.37,13.18,11.96,12.09,12.09,0
9/8/2014,12.64,13.09,12.4,12.66,12.66,0
9/9/2014,12.7,13.91,12.7,13.5,13.5,0
9/10/2014,13.36,14.06,12.86,12.88,12.88,0
9/11/2014,13.53,13.67,12.66,12.8,12.8,0
9/12/2014,12.85,14.27,12.85,13.31,13.31,0
9/15/2014,13.54,14.19,13.54,14.12,14.12,0
9/16/2014,14.48,14.53,12.72,12.73,12.73,0
9/17/2014,13.06,14.53,11.73,12.65,12.65,0
9/18/2014,12.55,12.58,11.98,12.03,12.03,0
9/19/2014,11.73,12.61,11.52,12.11,12.11,0
9/22/2014,13.14,13.98,13.13,13.69,13.69,0
9/23/2014,14.82,14.94,13.83,14.93,14.93,0
9/24/2014,14.62,14.93,13.24,13.27,13.27,0
9/25/2014,14.11,16.690001,14.03,15.64,15.64,0
9/26/2014,15.77,15.98,14.31,14.85,14.85,0
9/29/2014,16.959999,17.08,15.45,15.98,15.98,0
9/30/2014,15.49,16.43,15.18,16.309999,16.309999,0
10/1/2014,16.440001,17.559999,16.08,16.709999,16.709999,0
10/2/2014,16.700001,17.98,15.9,16.16,16.16,0
10/3/2014,15.16,15.43,14.44,14.55,14.55,0
10/6/2014,14.46,15.77,14.05,15.46,15.46,0
10/7/2014,16.18,17.459999,15.97,17.200001,17.200001,0
10/8/2014,17.35,18.030001,14.97,15.11,15.11,0
10/9/2014,15.64,19.379999,15.34,18.76,18.76,0
10/10/2014,19.110001,22.059999,18.139999,21.24,21.24,0
10/13/2014,21.16,24.639999,20.52,24.639999,24.639999,0
10/14/2014,23.77,24.549999,21.48,22.790001,22.790001,0
10/15/2014,26.360001,31.059999,24.639999,25.27,25.27,0
10/16/2014,29.26,29.41,24.610001,25.200001,25.200001,0
10/17/2014,21.68,23.08,20.23,21.99,21.99,0
10/20/2014,22.110001,22.16,18.51,18.57,18.57,0
10/21/2014,17.719999,17.75,16.030001,16.08,16.08,0
10/22/2014,16.059999,18.43,15.56,17.870001,17.870001,0
10/23/2014,16.07,17.059999,15.68,16.530001,16.530001,0
10/24/2014,16.43,18.059999,16.09,16.110001,16.110001,0
10/27/2014,17.24,17.870001,16,16.040001,16.040001,0
10/28/2014,15.69,15.78,14.39,14.39,14.39,0
10/29/2014,14.61,16.280001,14.19,15.15,15.15,0
10/30/2014,15.31,15.75,14.07,14.52,14.52,0
10/31/2014,13.84,14.83,13.72,14.03,14.03,0
11/3/2014,14.41,14.99,14.23,14.73,14.73,0
11/4/2014,15.05,15.93,14.83,14.89,14.89,0
11/5/2014,14.15,14.99,14.15,14.17,14.17,0
11/6/2014,14.46,15.08,13.67,13.67,13.67,0
11/7/2014,13.71,14.16,13.01,13.12,13.12,0
11/10/2014,13.16,13.25,12.38,12.67,12.67,0
11/11/2014,12.71,13.18,12.6,12.92,12.92,0
11/12/2014,13.76,13.76,12.99,13.02,13.02,0
11/13/2014,13.33,14.31,12.87,13.79,13.79,0
11/14/2014,13.79,14.15,13.31,13.31,13.31,0
11/17/2014,14.7,14.73,13.84,13.99,13.99,0
11/18/2014,13.86,13.99,13.13,13.86,13.86,0
11/19/2014,14.01,14.78,13.83,13.96,13.96,0
11/20/2014,14.66,15.74,13.58,13.58,13.58,0
11/21/2014,13.16,13.8,12.9,12.9,12.9,0
11/24/2014,12.92,13.02,12.43,12.62,12.62,0
11/25/2014,12.55,13.02,12.23,12.25,12.25,0
11/26/2014,12.27,12.4,11.91,12.07,12.07,0
11/28/2014,12.64,13.49,12.36,13.33,13.33,0
12/1/2014,14.16,14.75,13.94,14.16,14.16,0
12/2/2014,14.1,14.17,12.85,12.85,12.85,0
12/3/2014,12.75,12.88,12.21,12.5,12.5,0
12/4/2014,12.7,13.23,12.09,12.38,12.38,0
12/5/2014,12.08,12.28,11.53,11.89,11.89,0
12/8/2014,13.05,14.67,12.55,14.21,14.21,0
12/9/2014,16.23,16.68,15.12,15.35,15.35,0
12/10/2014,15.56,18.92,15.4,18.530001,18.530001,0
12/11/2014,17.68,20.129999,15.94,20.08,20.08,0
12/12/2014,20.51,23.059999,18.34,21.08,21.08,0
12/15/2014,19.59,24.83,17.77,20.42,20.42,0
12/16/2014,23.549999,25.200001,19.6,23.57,23.57,0
12/17/2014,23.9,24.610001,19.26,19.440001,19.440001,0
12/18/2014,17.139999,18.51,16.07,16.809999,16.809999,0
12/19/2014,16.57,17.200001,16.110001,16.49,16.49,0
12/22/2014,16.32,16.879999,15.03,15.25,15.25,0
12/23/2014,14.47,15.21,14.32,14.8,14.8,0
12/24/2014,14.52,14.54,14.01,14.37,14.37,0
12/26/2014,14.6,14.84,14.13,14.5,14.5,0
12/29/2014,16.040001,16.139999,15.06,15.06,15.06,0
12/30/2014,15.9,16.200001,15.48,15.92,15.92,0
12/31/2014,15.91,19.91,15.86,19.200001,19.200001,0
1/2/2015,17.76,20.139999,17.049999,17.790001,17.790001,0
1/5/2015,19.190001,21.290001,19.190001,19.92,19.92,0
1/6/2015,20.33,22.9,19.52,21.120001,21.120001,0
1/7/2015,20.15,20.719999,19.040001,19.309999,19.309999,0
1/8/2015,17.93,18.09,16.99,17.01,17.01,0
1/9/2015,16.440001,18.42,16.440001,17.549999,17.549999,0
1/12/2015,18.02,20.440001,18.02,19.6,19.6,0
1/13/2015,18.209999,21.58,17.65,20.559999,20.559999,0
1/14/2015,22.870001,23.34,21.32,21.48,21.48,0
1/15/2015,21.23,23.309999,20.860001,22.389999,22.389999,0
1/16/2015,22.799999,23.43,20.950001,20.950001,20.950001,0
1/20/2015,20.07,21.370001,19.58,19.889999,19.889999,0
1/21/2015,20.92,21.280001,18.639999,18.85,18.85,0
1/22/2015,17.98,19.23,16.07,16.4,16.4,0
1/23/2015,16.790001,17.09,15.81,16.66,16.66,0
